URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.22.26 absorption remainder  2.seq/502.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.22.26 absorption remainder  2
Name	Asgr int 3
Number	7
Position	RA7
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/27/2026 4:19:44 AM -04:00
Volume (µl)	2.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003367
Time Max. (min)	107.503367
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-256,446.000000
Signal Max.	20,665,784.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003367	n.a.	3,810.000000
0.006700	0.2	3,810.000000
0.010033	0.2	3,810.000000
0.013367	0.2	3,810.000000
0.016700	0.2	3,810.000000
0.020033	0.2	3,810.000000
0.023367	0.2	3,810.000000
0.026700	0.2	3,810.000000
0.030033	0.2	3,810.000000
0.033367	0.2	3,810.000000
0.036700	0.2	-56,260.000000
0.040033	0.2	-56,352.000000
0.043367	0.2	-56,465.000000
0.046700	0.2	-56,564.000000
0.050033	0.2	-56,641.000000
0.053367	0.2	-56,694.000000
0.056700	0.2	-56,721.000000
0.060033	0.2	-56,728.000000
0.063367	0.2	-56,718.000000
0.066700	0.2	-56,683.000000
0.070033	0.2	-56,619.000000
0.073367	0.2	-56,524.000000
0.076700	0.2	-56,406.000000
0.080033	0.2	-56,285.000000
0.083367	0.2	-56,176.000000
0.086700	0.2	-56,076.000000
0.090033	0.2	-55,980.000000
0.093367	0.2	-55,898.000000
0.096700	0.2	-55,837.000000
0.100033	0.2	-55,801.000000
0.103367	0.2	-55,796.000000
0.106700	0.2	-55,820.000000
0.110033	0.2	-55,866.000000
0.113367	0.2	-55,936.000000
0.116700	0.2	-56,032.000000
0.120033	0.2	-56,147.000000
0.123367	0.2	-56,272.000000
0.126700	0.2	-56,396.000000
0.130033	0.2	-56,507.000000
0.133367	0.2	-56,598.000000
0.136700	0.2	-56,667.000000
0.140033	0.2	-56,713.000000
0.143367	0.2	-56,741.000000
0.146700	0.2	-56,763.000000
0.150033	0.2	-56,785.000000
0.153367	0.2	-56,810.000000
0.156700	0.2	-56,828.000000
0.160033	0.2	-56,833.000000
0.163367	0.2	-56,821.000000
0.166700	0.2	-56,792.000000
0.170033	0.2	-56,755.000000
0.173367	0.2	-56,711.000000
0.176700	0.2	-56,660.000000
0.180033	0.2	-56,603.000000
0.183367	0.2	-56,550.000000
0.186700	0.2	-56,511.000000
0.190033	0.2	-56,494.000000
0.193367	0.2	-56,490.000000
0.196700	0.2	-56,489.000000
0.200033	0.2	-56,489.000000
0.203367	0.2	-56,485.000000
0.206700	0.2	-56,464.000000
0.210033	0.2	-56,418.000000
0.213367	0.2	-56,350.000000
0.216700	0.2	-56,265.000000
0.220033	0.2	-56,157.000000
0.223367	0.2	-56,035.000000
0.226700	0.2	-55,914.000000
0.230033	0.2	-55,805.000000
0.233367	0.2	-55,718.000000
0.236700	0.2	-55,649.000000
0.240033	0.2	-55,595.000000
0.243367	0.2	-55,560.000000
0.246700	0.2	-55,538.000000
0.250033	0.2	-55,529.000000
0.253367	0.2	-55,531.000000
0.256700	0.2	-55,539.000000
0.260033	0.2	-55,541.000000
0.263367	0.2	-55,536.000000
0.266700	0.2	-55,537.000000
0.270033	0.2	-55,547.000000
0.273367	0.2	-55,560.000000
0.276700	0.2	-55,577.000000
0.280033	0.2	-55,600.000000
0.283367	0.2	-55,637.000000
0.286700	0.2	-55,692.000000
0.290033	0.2	-55,764.000000
0.293367	0.2	-55,848.000000
0.296700	0.2	-55,944.000000
0.300033	0.2	-56,061.000000
0.303367	0.2	-56,202.000000
0.306700	0.2	-56,359.000000
0.310033	0.2	-56,511.000000
0.313367	0.2	-56,634.000000
0.316700	0.2	-56,709.000000
0.320033	0.2	-56,725.000000
0.323367	0.2	-56,684.000000
0.326700	0.2	-56,596.000000
0.330033	0.2	-56,464.000000
0.333367	0.2	-56,289.000000
0.336700	0.2	-56,082.000000
0.340033	0.2	-55,861.000000
0.343367	0.2	-55,640.000000
0.346700	0.2	-55,440.000000
0.350033	0.2	-55,275.000000
0.353367	0.2	-55,160.000000
0.356700	0.2	-55,104.000000
0.360033	0.2	-55,114.000000
0.363367	0.2	-55,181.000000
0.366700	0.2	-55,284.000000
0.370033	0.2	-55,406.000000
0.373367	0.2	-55,530.000000
0.376700	0.2	-55,646.000000
0.380033	0.2	-55,738.000000
0.383367	0.2	-55,802.000000
0.386700	0.2	-55,851.000000
0.390033	0.2	-55,893.000000
0.393367	0.2	-55,935.000000
0.396700	0.2	-55,973.000000
0.400033	0.2	-56,004.000000
0.403367	0.2	-56,032.000000
0.406700	0.2	-56,057.000000
0.410033	0.2	-56,084.000000
0.413367	0.2	-56,120.000000
0.416700	0.2	-56,169.000000
0.420033	0.2	-56,244.000000
0.423367	0.2	-56,354.000000
0.426700	0.2	-56,486.000000
0.430033	0.2	-56,623.000000
0.433367	0.2	-56,752.000000
0.436700	0.2	-56,864.000000
0.440033	0.2	-56,945.000000
0.443367	0.2	-56,987.000000
0.446700	0.2	-56,976.000000
0.450033	0.2	-56,906.000000
0.453367	0.2	-56,785.000000
0.456700	0.2	-56,630.000000
0.460033	0.2	-56,464.000000
0.463367	0.2	-56,306.000000
0.466700	0.2	-56,165.000000
0.470033	0.2	-56,060.000000
0.473367	0.2	-56,008.000000
0.476700	0.2	-55,999.000000
0.480033	0.2	-56,020.000000
0.483367	0.2	-56,060.000000
