URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.6.26Finish rep 1 intestines wiht reruns.seq/433.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.6.26Finish rep 1 intestines wiht reruns
Name	asgr int 3
Number	3
Position	RA3
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/7/2026 8:26:02 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003383
Time Max. (min)	107.503383
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-2,485,782.000000
Signal Max.	36,963,037.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003383	n.a.	3,429.000000
0.006717	0.2	3,429.000000
0.010050	0.2	3,429.000000
0.013383	0.2	3,429.000000
0.016717	0.2	3,429.000000
0.020050	0.2	3,429.000000
0.023383	0.2	3,429.000000
0.026717	0.2	3,429.000000
0.030050	0.2	3,429.000000
0.033383	0.2	3,429.000000
0.036717	0.2	-24,800.000000
0.040050	0.2	-24,870.000000
0.043383	0.2	-24,957.000000
0.046717	0.2	-25,046.000000
0.050050	0.2	-25,130.000000
0.053383	0.2	-25,204.000000
0.056717	0.2	-25,267.000000
0.060050	0.2	-25,317.000000
0.063383	0.2	-25,351.000000
0.066717	0.2	-25,368.000000
0.070050	0.2	-25,369.000000
0.073383	0.2	-25,354.000000
0.076717	0.2	-25,331.000000
0.080050	0.2	-25,309.000000
0.083383	0.2	-25,297.000000
0.086717	0.2	-25,302.000000
0.090050	0.2	-25,321.000000
0.093383	0.2	-25,353.000000
0.096717	0.2	-25,393.000000
0.100050	0.2	-25,438.000000
0.103383	0.2	-25,483.000000
0.106717	0.2	-25,519.000000
0.110050	0.2	-25,541.000000
0.113383	0.2	-25,550.000000
0.116717	0.2	-25,545.000000
0.120050	0.2	-25,529.000000
0.123383	0.2	-25,507.000000
0.126717	0.2	-25,480.000000
0.130050	0.2	-25,456.000000
0.133383	0.2	-25,433.000000
0.136717	0.2	-25,408.000000
0.140050	0.2	-25,382.000000
0.143383	0.2	-25,356.000000
0.146717	0.2	-25,332.000000
0.150050	0.2	-25,314.000000
0.153383	0.2	-25,301.000000
0.156717	0.2	-25,293.000000
