URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.22.26 absorption remainder.seq/664.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.22.26 absorption remainder
Name	asgr int 6
Number	2
Position	RB2
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/22/2026 9:36:13 PM -04:00
Volume (µl)	2.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003383
Time Max. (min)	107.503383
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-258,075.000000
Signal Max.	19,285,870.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003383	n.a.	3,429.000000
0.006717	0.2	3,429.000000
0.010050	0.2	3,429.000000
0.013383	0.2	3,429.000000
0.016717	0.2	3,429.000000
0.020050	0.2	3,429.000000
0.023383	0.2	3,429.000000
0.026717	0.2	3,429.000000
0.030050	0.2	3,429.000000
0.033383	0.2	3,429.000000
0.036717	0.2	-55,083.000000
0.040050	0.2	-55,139.000000
0.043383	0.2	-55,207.000000
0.046717	0.2	-55,277.000000
0.050050	0.2	-55,354.000000
0.053383	0.2	-55,450.000000
0.056717	0.2	-55,564.000000
0.060050	0.2	-55,686.000000
0.063383	0.2	-55,805.000000
0.066717	0.2	-55,905.000000
0.070050	0.2	-55,972.000000
0.073383	0.2	-55,999.000000
0.076717	0.2	-55,988.000000
0.080050	0.2	-55,950.000000
0.083383	0.2	-55,899.000000
0.086717	0.2	-55,847.000000
0.090050	0.2	-55,805.000000
0.093383	0.2	-55,787.000000
0.096717	0.2	-55,798.000000
0.100050	0.2	-55,842.000000
0.103383	0.2	-55,916.000000
0.106717	0.2	-56,015.000000
0.110050	0.2	-56,128.000000
0.113383	0.2	-56,233.000000
0.116717	0.2	-56,321.000000
0.120050	0.2	-56,384.000000
0.123383	0.2	-56,421.000000
0.126717	0.2	-56,443.000000
0.130050	0.2	-56,457.000000
0.133383	0.2	-56,457.000000
0.136717	0.2	-56,440.000000
0.140050	0.2	-56,410.000000
0.143383	0.2	-56,379.000000
0.146717	0.2	-56,356.000000
0.150050	0.2	-56,345.000000
0.153383	0.2	-56,336.000000
0.156717	0.2	-56,322.000000
0.160050	0.2	-56,303.000000
