URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.6.26Finish rep 1 intestines wiht reruns.seq/341.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.6.26Finish rep 1 intestines wiht reruns
Name	asgr int 7
Number	8
Position	RA8
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/8/2026 5:29:55 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003183
Time Max. (min)	107.503183
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-1,588,240.000000
Signal Max.	19,764,373.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003183	n.a.	1,905.000000
0.006517	0.2	1,905.000000
0.009850	0.2	1,905.000000
0.013183	0.2	1,905.000000
0.016517	0.2	1,905.000000
0.019850	0.2	1,905.000000
0.023183	0.2	1,905.000000
0.026517	0.2	1,905.000000
0.029850	0.2	1,905.000000
0.033183	0.2	1,905.000000
0.036517	0.2	-36,611.000000
0.039850	0.2	-36,689.000000
0.043183	0.2	-36,796.000000
0.046517	0.2	-36,917.000000
0.049850	0.2	-37,044.000000
0.053183	0.2	-37,169.000000
0.056517	0.2	-37,287.000000
0.059850	0.2	-37,398.000000
0.063183	0.2	-37,496.000000
0.066517	0.2	-37,576.000000
0.069850	0.2	-37,634.000000
0.073183	0.2	-37,675.000000
0.076517	0.2	-37,705.000000
0.079850	0.2	-37,726.000000
0.083183	0.2	-37,742.000000
0.086517	0.2	-37,757.000000
0.089850	0.2	-37,775.000000
0.093183	0.2	-37,798.000000
0.096517	0.2	-37,827.000000
0.099850	0.2	-37,865.000000
0.103183	0.2	-37,904.000000
0.106517	0.2	-37,941.000000
0.109850	0.2	-37,972.000000
0.113183	0.2	-37,996.000000
0.116517	0.2	-38,014.000000
0.119850	0.2	-38,025.000000
0.123183	0.2	-38,028.000000
0.126517	0.2	-38,030.000000
0.129850	0.2	-38,033.000000
0.133183	0.2	-38,034.000000
0.136517	0.2	-38,033.000000
0.139850	0.2	-38,035.000000
0.143183	0.2	-38,041.000000
0.146517	0.2	-38,052.000000
0.149850	0.2	-38,064.000000
0.153183	0.2	-38,070.000000
0.156517	0.2	-38,070.000000
0.159850	0.2	-38,071.000000
0.163183	0.2	-38,078.000000
0.166517	0.2	-38,091.000000
0.169850	0.2	-38,108.000000
0.173183	0.2	-38,127.000000
0.176517	0.2	-38,145.000000
0.179850	0.2	-38,159.000000
0.183183	0.2	-38,172.000000
0.186517	0.2	-38,184.000000
0.189850	0.2	-38,194.000000
0.193183	0.2	-38,202.000000
0.196517	0.2	-38,207.000000
0.199850	0.2	-38,207.000000
0.203183	0.2	-38,198.000000
0.206517	0.2	-38,184.000000
0.209850	0.2	-38,167.000000
0.213183	0.2	-38,149.000000
0.216517	0.2	-38,131.000000
0.219850	0.2	-38,114.000000
0.223183	0.2	-38,105.000000
0.226517	0.2	-38,104.000000
0.229850	0.2	-38,107.000000
0.233183	0.2	-38,103.000000
0.236517	0.2	-38,091.000000
0.239850	0.2	-38,072.000000
0.243183	0.2	-38,047.000000
0.246517	0.2	-38,021.000000
0.249850	0.2	-37,995.000000
0.253183	0.2	-37,973.000000
0.256517	0.2	-37,958.000000
0.259850	0.2	-37,951.000000
0.263183	0.2	-37,954.000000
0.266517	0.2	-37,967.000000
0.269850	0.2	-37,986.000000
0.273183	0.2	-38,011.000000
0.276517	0.2	-38,040.000000
0.279850	0.2	-38,069.000000
0.283183	0.2	-38,095.000000
0.286517	0.2	-38,115.000000
0.289850	0.2	-38,128.000000
0.293183	0.2	-38,133.000000
0.296517	0.2	-38,134.000000
0.299850	0.2	-38,133.000000
0.303183	0.2	-38,133.000000
0.306517	0.2	-38,135.000000
0.309850	0.2	-38,135.000000
0.313183	0.2	-38,127.000000
0.316517	0.2	-38,112.000000
0.319850	0.2	-38,095.000000
0.323183	0.2	-38,077.000000
0.326517	0.2	-38,058.000000
0.329850	0.2	-38,034.000000
0.333183	0.2	-38,007.000000
0.336517	0.2	-37,986.000000
0.339850	0.2	-37,978.000000
0.343183	0.2	-37,981.000000
0.346517	0.2	-37,992.000000
0.349850	0.2	-38,006.000000
0.353183	0.2	-38,022.000000
0.356517	0.2	-38,040.000000
0.359850	0.2	-38,059.000000
0.363183	0.2	-38,081.000000
0.366517	0.2	-38,104.000000
0.369850	0.2	-38,124.000000
0.373183	0.2	-38,139.000000
0.376517	0.2	-38,148.000000
0.379850	0.2	-38,150.000000
0.383183	0.2	-38,143.000000
0.386517	0.2	-38,125.000000
0.389850	0.2	-38,096.000000
0.393183	0.2	-38,063.000000
0.396517	0.2	-38,031.000000
0.399850	0.2	-38,004.000000
0.403183	0.2	-37,982.000000
0.406517	0.2	-37,966.000000
0.409850	0.2	-37,954.000000
0.413183	0.2	-37,942.000000
0.416517	0.2	-37,927.000000
0.419850	0.2	-37,913.000000
0.423183	0.2	-37,902.000000
0.426517	0.2	-37,898.000000
0.429850	0.2	-37,901.000000
0.433183	0.2	-37,906.000000
0.436517	0.2	-37,910.000000
0.439850	0.2	-37,913.000000
0.443183	0.2	-37,915.000000
0.446517	0.2	-37,921.000000
0.449850	0.2	-37,934.000000
0.453183	0.2	-37,956.000000
0.456517	0.2	-37,984.000000
0.459850	0.2	-38,018.000000
0.463183	0.2	-38,054.000000
0.466517	0.2	-38,084.000000
0.469850	0.2	-38,104.000000
0.473183	0.2	-38,112.000000
0.476517	0.2	-38,109.000000
0.479850	0.2	-38,100.000000
0.483183	0.2	-38,089.000000
0.486517	0.2	-38,078.000000
0.489850	0.2	-38,069.000000
0.493183	0.2	-38,061.000000
0.496517	0.2	-38,058.000000
0.499850	0.2	-38,062.000000
0.503183	0.2	-38,069.000000
0.506517	0.2	-38,075.000000
0.509850	0.2	-38,076.000000
0.513183	0.2	-38,071.000000
0.516517	0.2	-38,062.000000
0.519850	0.2	-38,054.000000
0.523183	0.2	-38,048.000000
0.526517	0.2	-38,040.000000
0.529850	0.2	-38,027.000000
0.533183	0.2	-38,013.000000
0.536517	0.2	-38,000.000000
0.539850	0.2	-37,992.000000
0.543183	0.2	-37,990.000000
0.546517	0.2	-37,996.000000
0.549850	0.2	-38,007.000000
0.553183	0.2	-38,019.000000
0.556517	0.2	-38,024.000000
0.559850	0.2	-38,022.000000
0.563183	0.2	-38,007.000000
0.566517	0.2	-37,981.000000
0.569850	0.2	-37,950.000000
0.573183	0.2	-37,920.000000
0.576517	0.2	-37,896.000000
0.579850	0.2	-37,880.000000
0.583183	0.2	-37,872.000000
0.586517	0.2	-37,874.000000
0.589850	0.2	-37,881.000000
0.593183	0.2	-37,889.000000
0.596517	0.2	-37,893.000000
0.599850	0.2	-37,887.000000
0.603183	0.2	-37,862.000000
0.606517	0.2	-37,800.000000
0.609850	0.2	-37,663.000000
0.613183	0.2	-37,403.000000
0.616517	0.2	-36,978.000000
0.619850	0.2	-36,359.000000
0.623183	0.2	-35,536.000000
0.626517	0.2	-34,525.000000
0.629850	0.2	-33,359.000000
0.633183	0.2	-32,087.000000
0.636517	0.2	-30,769.000000
0.639850	0.2	-29,473.000000
0.643183	0.2	-28,268.000000
0.646517	0.2	-27,211.000000
0.649850	0.2	-26,345.000000
0.653183	0.2	-25,687.000000
0.656517	0.2	-25,242.000000
0.659850	0.2	-24,996.000000
0.663183	0.2	-24,921.000000
0.666517	0.2	-24,978.000000
0.669850	0.2	-25,120.000000
0.673183	0.2	-25,303.000000
0.676517	0.2	-25,487.000000
0.679850	0.2	-25,640.000000
0.683183	0.2	-25,737.000000
0.686517	0.2	-25,756.000000
0.689850	0.2	-25,680.000000
0.693183	0.2	-25,487.000000
0.696517	0.2	-25,152.000000
0.699850	0.2	-24,654.000000
0.703183	0.2	-23,976.000000
0.706517	0.2	-23,119.000000
0.709850	0.2	-22,084.000000
0.713183	0.2	-20,885.000000
0.716517	0.2	-19,539.000000
0.719850	0.2	-18,066.000000
0.723183	0.2	-16,484.000000
0.726517	0.2	-14,809.000000
0.729850	0.2	-13,061.000000
0.733183	0.2	-11,265.000000
0.736517	0.2	-9,449.000000
0.739850	0.2	-7,651.000000
0.743183	0.2	-5,909.000000
0.746517	0.2	-4,259.000000
0.749850	0.2	-2,737.000000
0.753183	0.2	-1,379.000000
0.756517	0.2	-209.000000
0.759850	0.2	758.000000
0.763183	0.2	1,516.000000
0.766517	0.2	2,077.000000
0.769850	0.2	2,465.000000
0.773183	0.2	2,700.000000
0.776517	0.2	2,802.000000
0.779850	0.2	2,803.000000
0.783183	0.2	2,735.000000
0.786517	0.2	2,626.000000
0.789850	0.2	2,489.000000
0.793183	0.2	2,328.000000
0.796517	0.2	2,136.000000
0.799850	0.2	1,908.000000
0.803183	0.2	1,636.000000
0.806517	0.2	1,303.000000
0.809850	0.2	901.000000
0.813183	0.2	437.000000
0.816517	0.2	-79.000000
0.819850	0.2	-634.000000
0.823183	0.2	-1,203.000000
0.826517	0.2	-1,753.000000
0.829850	0.2	-2,247.000000
0.833183	0.2	-2,656.000000
0.836517	0.2	-2,962.000000
0.839850	0.2	-3,154.000000
0.843183	0.2	-3,249.000000
0.846517	0.2	-3,276.000000
0.849850	0.2	-3,261.000000
0.853183	0.2	-3,233.000000
0.856517	0.2	-3,216.000000
0.859850	0.2	-3,231.000000
0.863183	0.2	-3,310.000000
0.866517	0.2	-3,484.000000
0.869850	0.2	-3,783.000000
0.873183	0.2	-4,224.000000
0.876517	0.2	-4,809.000000
0.879850	0.2	-5,523.000000
0.883183	0.2	-6,350.000000
0.886517	0.2	-7,268.000000
0.889850	0.2	-8,249.000000
0.893183	0.2	-9,270.000000
0.896517	0.2	-10,316.000000
0.899850	0.2	-11,378.000000
0.903183	0.2	-12,461.000000
0.906517	0.2	-13,574.000000
0.909850	0.2	-14,731.000000
0.913183	0.2	-15,941.000000
0.916517	0.2	-17,203.000000
0.919850	0.2	-18,505.000000
0.923183	0.2	-19,826.000000
