URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/5.6.26 absorption rerurns.seq/673.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	5.6.26 absorption rerurns
Name	asgr int 8
Number	4
Position	RA4
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	5/6/2026 3:54:23 PM -04:00
Volume (µl)	2.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003333
Time Max. (min)	107.503333
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-69,890.000000
Signal Max.	363,492.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003333	n.a.	-1,143.000000
0.006667	0.2	-1,143.000000
0.010000	0.2	-1,143.000000
0.013333	0.2	-1,143.000000
0.016667	0.2	-1,143.000000
0.020000	0.2	-1,143.000000
0.023333	0.2	-1,143.000000
0.026667	0.2	-1,143.000000
0.030000	0.2	-1,143.000000
0.033333	0.2	-1,143.000000
0.036667	0.2	-38,320.000000
0.040000	0.2	-38,430.000000
0.043333	0.2	-38,572.000000
0.046667	0.2	-38,724.000000
0.050000	0.2	-38,873.000000
0.053333	0.2	-39,014.000000
0.056667	0.2	-39,149.000000
0.060000	0.2	-39,281.000000
0.063333	0.2	-39,410.000000
0.066667	0.2	-39,533.000000
0.070000	0.2	-39,649.000000
0.073333	0.2	-39,751.000000
0.076667	0.2	-39,837.000000
0.080000	0.2	-39,904.000000
0.083333	0.2	-39,952.000000
0.086667	0.2	-39,985.000000
0.090000	0.2	-40,006.000000
0.093333	0.2	-40,016.000000
0.096667	0.2	-40,015.000000
0.100000	0.2	-40,011.000000
0.103333	0.2	-40,003.000000
0.106667	0.2	-39,991.000000
0.110000	0.2	-39,972.000000
0.113333	0.2	-39,946.000000
0.116667	0.2	-39,919.000000
0.120000	0.2	-39,893.000000
0.123333	0.2	-39,870.000000
0.126667	0.2	-39,849.000000
0.130000	0.2	-39,832.000000
0.133333	0.2	-39,817.000000
0.136667	0.2	-39,807.000000
0.140000	0.2	-39,803.000000
0.143333	0.2	-39,808.000000
0.146667	0.2	-39,822.000000
0.150000	0.2	-39,845.000000
0.153333	0.2	-39,875.000000
0.156667	0.2	-39,908.000000
0.160000	0.2	-39,938.000000
0.163333	0.2	-39,962.000000
0.166667	0.2	-39,978.000000
0.170000	0.2	-39,985.000000
0.173333	0.2	-39,986.000000
0.176667	0.2	-39,984.000000
0.180000	0.2	-39,981.000000
0.183333	0.2	-39,979.000000
0.186667	0.2	-39,973.000000
0.190000	0.2	-39,964.000000
0.193333	0.2	-39,952.000000
0.196667	0.2	-39,941.000000
0.200000	0.2	-39,930.000000
0.203333	0.2	-39,915.000000
0.206667	0.2	-39,896.000000
0.210000	0.2	-39,871.000000
0.213333	0.2	-39,838.000000
0.216667	0.2	-39,794.000000
0.220000	0.2	-39,742.000000
0.223333	0.2	-39,687.000000
0.226667	0.2	-39,635.000000
0.230000	0.2	-39,586.000000
0.233333	0.2	-39,539.000000
0.236667	0.2	-39,496.000000
0.240000	0.2	-39,461.000000
0.243333	0.2	-39,442.000000
0.246667	0.2	-39,441.000000
0.250000	0.2	-39,457.000000
0.253333	0.2	-39,488.000000
0.256667	0.2	-39,525.000000
0.260000	0.2	-39,561.000000
0.263333	0.2	-39,595.000000
