URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.22.26 absorption remainder.seq/502.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.22.26 absorption remainder
Name	asgr int 8
Number	7
Position	RB7
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/23/2026 6:40:43 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003400
Time Max. (min)	107.503400
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-1,065,318.000000
Signal Max.	36,739,602.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003400	n.a.	-1,524.000000
0.006733	0.2	-1,524.000000
0.010067	0.2	-1,524.000000
0.013400	0.2	-1,524.000000
0.016733	0.2	-1,524.000000
0.020067	0.2	-1,524.000000
0.023400	0.2	-1,524.000000
0.026733	0.2	-1,524.000000
0.030067	0.2	-1,524.000000
0.033400	0.2	-1,524.000000
0.036733	0.2	-57,601.000000
0.040067	0.2	-57,738.000000
0.043400	0.2	-57,916.000000
0.046733	0.2	-58,106.000000
0.050067	0.2	-58,283.000000
0.053400	0.2	-58,432.000000
0.056733	0.2	-58,561.000000
0.060067	0.2	-58,686.000000
0.063400	0.2	-58,815.000000
0.066733	0.2	-58,937.000000
0.070067	0.2	-59,059.000000
0.073400	0.2	-59,188.000000
0.076733	0.2	-59,331.000000
0.080067	0.2	-59,475.000000
0.083400	0.2	-59,606.000000
0.086733	0.2	-59,708.000000
0.090067	0.2	-59,774.000000
0.093400	0.2	-59,807.000000
0.096733	0.2	-59,802.000000
0.100067	0.2	-59,757.000000
0.103400	0.2	-59,668.000000
0.106733	0.2	-59,552.000000
0.110067	0.2	-59,428.000000
0.113400	0.2	-59,307.000000
0.116733	0.2	-59,191.000000
0.120067	0.2	-59,089.000000
0.123400	0.2	-59,010.000000
0.126733	0.2	-58,956.000000
0.130067	0.2	-58,919.000000
0.133400	0.2	-58,882.000000
0.136733	0.2	-58,845.000000
0.140067	0.2	-58,813.000000
0.143400	0.2	-58,797.000000
0.146733	0.2	-58,800.000000
0.150067	0.2	-58,819.000000
0.153400	0.2	-58,855.000000
0.156733	0.2	-58,902.000000
0.160067	0.2	-58,960.000000
0.163400	0.2	-59,028.000000
0.166733	0.2	-59,107.000000
0.170067	0.2	-59,193.000000
0.173400	0.2	-59,285.000000
0.176733	0.2	-59,380.000000
0.180067	0.2	-59,475.000000
0.183400	0.2	-59,559.000000
0.186733	0.2	-59,623.000000
0.190067	0.2	-59,678.000000
0.193400	0.2	-59,726.000000
0.196733	0.2	-59,760.000000
0.200067	0.2	-59,773.000000
0.203400	0.2	-59,760.000000
0.206733	0.2	-59,727.000000
0.210067	0.2	-59,680.000000
0.213400	0.2	-59,624.000000
0.216733	0.2	-59,560.000000
0.220067	0.2	-59,489.000000
0.223400	0.2	-59,406.000000
0.226733	0.2	-59,305.000000
0.230067	0.2	-59,188.000000
0.233400	0.2	-59,068.000000
0.236733	0.2	-58,973.000000
0.240067	0.2	-58,924.000000
0.243400	0.2	-58,929.000000
0.246733	0.2	-58,983.000000
0.250067	0.2	-59,072.000000
0.253400	0.2	-59,175.000000
0.256733	0.2	-59,267.000000
0.260067	0.2	-59,330.000000
0.263400	0.2	-59,367.000000
0.266733	0.2	-59,380.000000
0.270067	0.2	-59,372.000000
0.273400	0.2	-59,349.000000
0.276733	0.2	-59,316.000000
0.280067	0.2	-59,280.000000
0.283400	0.2	-59,248.000000
0.286733	0.2	-59,233.000000
0.290067	0.2	-59,243.000000
0.293400	0.2	-59,274.000000
0.296733	0.2	-59,316.000000
0.300067	0.2	-59,366.000000
0.303400	0.2	-59,425.000000
0.306733	0.2	-59,494.000000
0.310067	0.2	-59,562.000000
0.313400	0.2	-59,615.000000
0.316733	0.2	-59,656.000000
0.320067	0.2	-59,687.000000
0.323400	0.2	-59,717.000000
0.326733	0.2	-59,746.000000
0.330067	0.2	-59,768.000000
0.333400	0.2	-59,776.000000
0.336733	0.2	-59,779.000000
0.340067	0.2	-59,779.000000
0.343400	0.2	-59,789.000000
0.346733	0.2	-59,826.000000
0.350067	0.2	-59,893.000000
0.353400	0.2	-59,970.000000
0.356733	0.2	-60,042.000000
0.360067	0.2	-60,103.000000
0.363400	0.2	-60,147.000000
0.366733	0.2	-60,176.000000
0.370067	0.2	-60,195.000000
0.373400	0.2	-60,215.000000
0.376733	0.2	-60,234.000000
0.380067	0.2	-60,239.000000
0.383400	0.2	-60,222.000000
0.386733	0.2	-60,163.000000
0.390067	0.2	-60,062.000000
0.393400	0.2	-59,939.000000
0.396733	0.2	-59,813.000000
