URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.6.26Finish rep 1 intestines wiht reruns.seq/713.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.6.26Finish rep 1 intestines wiht reruns
Name	asgr1 int 1
Number	7
Position	RA1
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/8/2026 3:40:55 AM -04:00
Volume (µl)	2.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003383
Time Max. (min)	107.503383
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-315,583.000000
Signal Max.	6,476,172.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003383	n.a.	2,286.000000
0.006717	0.2	2,286.000000
0.010050	0.2	2,286.000000
0.013383	0.2	2,286.000000
0.016717	0.2	2,286.000000
0.020050	0.2	2,286.000000
0.023383	0.2	2,286.000000
0.026717	0.2	2,286.000000
0.030050	0.2	2,286.000000
0.033383	0.2	2,286.000000
0.036717	0.2	-25,950.000000
0.040050	0.2	-25,999.000000
0.043383	0.2	-26,065.000000
0.046717	0.2	-26,144.000000
0.050050	0.2	-26,233.000000
0.053383	0.2	-26,327.000000
0.056717	0.2	-26,420.000000
0.060050	0.2	-26,503.000000
0.063383	0.2	-26,569.000000
0.066717	0.2	-26,614.000000
0.070050	0.2	-26,637.000000
0.073383	0.2	-26,637.000000
0.076717	0.2	-26,617.000000
0.080050	0.2	-26,587.000000
0.083383	0.2	-26,554.000000
0.086717	0.2	-26,529.000000
0.090050	0.2	-26,515.000000
0.093383	0.2	-26,506.000000
0.096717	0.2	-26,498.000000
0.100050	0.2	-26,489.000000
0.103383	0.2	-26,478.000000
0.106717	0.2	-26,468.000000
0.110050	0.2	-26,459.000000
0.113383	0.2	-26,451.000000
0.116717	0.2	-26,446.000000
0.120050	0.2	-26,447.000000
0.123383	0.2	-26,457.000000
0.126717	0.2	-26,476.000000
0.130050	0.2	-26,504.000000
0.133383	0.2	-26,535.000000
0.136717	0.2	-26,567.000000
0.140050	0.2	-26,600.000000
0.143383	0.2	-26,633.000000
0.146717	0.2	-26,663.000000
0.150050	0.2	-26,688.000000
0.153383	0.2	-26,707.000000
0.156717	0.2	-26,721.000000
0.160050	0.2	-26,729.000000
0.163383	0.2	-26,730.000000
0.166717	0.2	-26,724.000000
