URL	chrom://farber-hplc/test001/McKenna/4.03.26 Monica DY_test.seq/396.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.03.26 Monica DY_test
Name	asgr1 int 2
Number	7
Position	RA7
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/3/2026 9:02:24 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003400
Time Max. (min)	107.503400
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-266,495.000000
Signal Max.	5,392,280.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003400	n.a.	-381.000000
0.006733	0.2	-381.000000
0.010067	0.2	-381.000000
0.013400	0.2	-381.000000
0.016733	0.2	-381.000000
0.020067	0.2	-381.000000
0.023400	0.2	-381.000000
0.026733	0.2	-381.000000
0.030067	0.2	-381.000000
0.033400	0.2	-381.000000
0.036733	0.2	-97,672.000000
0.040067	0.2	-97,642.000000
0.043400	0.2	-97,629.000000
0.046733	0.2	-97,649.000000
0.050067	0.2	-97,695.000000
0.053400	0.2	-97,746.000000
0.056733	0.2	-97,788.000000
0.060067	0.2	-97,797.000000
0.063400	0.2	-97,760.000000
0.066733	0.2	-97,682.000000
0.070067	0.2	-97,589.000000
0.073400	0.2	-97,500.000000
0.076733	0.2	-97,431.000000
0.080067	0.2	-97,399.000000
0.083400	0.2	-97,413.000000
0.086733	0.2	-97,475.000000
0.090067	0.2	-97,567.000000
0.093400	0.2	-97,672.000000
0.096733	0.2	-97,773.000000
0.100067	0.2	-97,871.000000
0.103400	0.2	-97,956.000000
0.106733	0.2	-98,011.000000
0.110067	0.2	-98,023.000000
0.113400	0.2	-98,008.000000
0.116733	0.2	-97,971.000000
0.120067	0.2	-97,922.000000
0.123400	0.2	-97,872.000000
0.126733	0.2	-97,817.000000
0.130067	0.2	-97,746.000000
0.133400	0.2	-97,662.000000
0.136733	0.2	-97,570.000000
0.140067	0.2	-97,481.000000
0.143400	0.2	-97,405.000000
0.146733	0.2	-97,338.000000
0.150067	0.2	-97,276.000000
0.153400	0.2	-97,217.000000
0.156733	0.2	-97,160.000000
0.160067	0.2	-97,110.000000
0.163400	0.2	-97,073.000000
0.166733	0.2	-97,054.000000
0.170067	0.2	-97,058.000000
0.173400	0.2	-97,087.000000
0.176733	0.2	-97,140.000000
0.180067	0.2	-97,201.000000
0.183400	0.2	-97,256.000000
0.186733	0.2	-97,298.000000
0.190067	0.2	-97,323.000000
0.193400	0.2	-97,335.000000
0.196733	0.2	-97,348.000000
0.200067	0.2	-97,368.000000
0.203400	0.2	-97,390.000000
0.206733	0.2	-97,408.000000
0.210067	0.2	-97,409.000000
0.213400	0.2	-97,384.000000
0.216733	0.2	-97,343.000000
0.220067	0.2	-97,290.000000
0.223400	0.2	-97,239.000000
0.226733	0.2	-97,202.000000
0.230067	0.2	-97,182.000000
0.233400	0.2	-97,176.000000
0.236733	0.2	-97,173.000000
0.240067	0.2	-97,177.000000
0.243400	0.2	-97,177.000000
0.246733	0.2	-97,168.000000
0.250067	0.2	-97,162.000000
0.253400	0.2	-97,169.000000
0.256733	0.2	-97,185.000000
0.260067	0.2	-97,200.000000
0.263400	0.2	-97,214.000000
0.266733	0.2	-97,226.000000
0.270067	0.2	-97,243.000000
0.273400	0.2	-97,266.000000
0.276733	0.2	-97,301.000000
0.280067	0.2	-97,342.000000
0.283400	0.2	-97,387.000000
0.286733	0.2	-97,436.000000
0.290067	0.2	-97,477.000000
0.293400	0.2	-97,498.000000
0.296733	0.2	-97,489.000000
0.300067	0.2	-97,458.000000
0.303400	0.2	-97,424.000000
0.306733	0.2	-97,388.000000
0.310067	0.2	-97,352.000000
0.313400	0.2	-97,322.000000
0.316733	0.2	-97,299.000000
0.320067	0.2	-97,276.000000
0.323400	0.2	-97,249.000000
0.326733	0.2	-97,220.000000
0.330067	0.2	-97,201.000000
0.333400	0.2	-97,205.000000
0.336733	0.2	-97,242.000000
0.340067	0.2	-97,315.000000
0.343400	0.2	-97,414.000000
0.346733	0.2	-97,518.000000
0.350067	0.2	-97,606.000000
0.353400	0.2	-97,672.000000
0.356733	0.2	-97,727.000000
0.360067	0.2	-97,774.000000
0.363400	0.2	-97,798.000000
0.366733	0.2	-97,792.000000
0.370067	0.2	-97,756.000000
0.373400	0.2	-97,694.000000
0.376733	0.2	-97,609.000000
0.380067	0.2	-97,505.000000
0.383400	0.2	-97,392.000000
0.386733	0.2	-97,266.000000
0.390067	0.2	-97,127.000000
0.393400	0.2	-96,991.000000
0.396733	0.2	-96,878.000000
0.400067	0.2	-96,812.000000
0.403400	0.2	-96,785.000000
0.406733	0.2	-96,780.000000
0.410067	0.2	-96,782.000000
0.413400	0.2	-96,774.000000
0.416733	0.2	-96,761.000000
0.420067	0.2	-96,752.000000
0.423400	0.2	-96,754.000000
0.426733	0.2	-96,772.000000
0.430067	0.2	-96,806.000000
0.433400	0.2	-96,853.000000
0.436733	0.2	-96,912.000000
0.440067	0.2	-96,984.000000
0.443400	0.2	-97,062.000000
0.446733	0.2	-97,125.000000
0.450067	0.2	-97,159.000000
0.453400	0.2	-97,159.000000
0.456733	0.2	-97,126.000000
0.460067	0.2	-97,069.000000
0.463400	0.2	-96,997.000000
0.466733	0.2	-96,911.000000
0.470067	0.2	-96,818.000000
0.473400	0.2	-96,731.000000
0.476733	0.2	-96,668.000000
0.480067	0.2	-96,640.000000
0.483400	0.2	-96,648.000000
0.486733	0.2	-96,685.000000
0.490067	0.2	-96,739.000000
0.493400	0.2	-96,798.000000
0.496733	0.2	-96,856.000000
0.500067	0.2	-96,900.000000
0.503400	0.2	-96,925.000000
0.506733	0.2	-96,933.000000
0.510067	0.2	-96,922.000000
0.513400	0.2	-96,881.000000
0.516733	0.2	-96,811.000000
0.520067	0.2	-96,722.000000
0.523400	0.2	-96,630.000000
0.526733	0.2	-96,543.000000
0.530067	0.2	-96,470.000000
0.533400	0.2	-96,433.000000
0.536733	0.2	-96,447.000000
0.540067	0.2	-96,516.000000
0.543400	0.2	-96,631.000000
0.546733	0.2	-96,771.000000
0.550067	0.2	-96,916.000000
0.553400	0.2	-97,057.000000
0.556733	0.2	-97,188.000000
0.560067	0.2	-97,293.000000
0.563400	0.2	-97,361.000000
0.566733	0.2	-97,393.000000
0.570067	0.2	-97,388.000000
0.573400	0.2	-97,353.000000
0.576733	0.2	-97,289.000000
0.580067	0.2	-97,195.000000
0.583400	0.2	-97,073.000000
0.586733	0.2	-96,935.000000
0.590067	0.2	-96,803.000000
0.593400	0.2	-96,710.000000
0.596733	0.2	-96,689.000000
0.600067	0.2	-96,742.000000
0.603400	0.2	-96,839.000000
0.606733	0.2	-96,946.000000
0.610067	0.2	-97,039.000000
0.613400	0.2	-97,104.000000
0.616733	0.2	-97,135.000000
0.620067	0.2	-97,127.000000
0.623400	0.2	-97,078.000000
0.626733	0.2	-96,990.000000
0.630067	0.2	-96,873.000000
0.633400	0.2	-96,739.000000
0.636733	0.2	-96,584.000000
0.640067	0.2	-96,391.000000
0.643400	0.2	-96,131.000000
0.646733	0.2	-95,776.000000
0.650067	0.2	-95,314.000000
0.653400	0.2	-94,750.000000
0.656733	0.2	-94,103.000000
0.660067	0.2	-93,420.000000
0.663400	0.2	-92,755.000000
0.666733	0.2	-92,154.000000
0.670067	0.2	-91,654.000000
0.673400	0.2	-91,264.000000
0.676733	0.2	-90,984.000000
0.680067	0.2	-90,799.000000
0.683400	0.2	-90,682.000000
0.686733	0.2	-90,612.000000
0.690067	0.2	-90,573.000000
0.693400	0.2	-90,558.000000
0.696733	0.2	-90,555.000000
0.700067	0.2	-90,555.000000
0.703400	0.2	-90,565.000000
0.706733	0.2	-90,595.000000
0.710067	0.2	-90,643.000000
0.713400	0.2	-90,692.000000
0.716733	0.2	-90,738.000000
0.720067	0.2	-90,798.000000
0.723400	0.2	-90,917.000000
0.726733	0.2	-91,166.000000
0.730067	0.2	-91,609.000000
0.733400	0.2	-92,260.000000
0.736733	0.2	-93,077.000000
0.740067	0.2	-93,978.000000
0.743400	0.2	-94,863.000000
0.746733	0.2	-95,637.000000
0.750067	0.2	-96,227.000000
0.753400	0.2	-96,582.000000
0.756733	0.2	-96,677.000000
0.760067	0.2	-96,494.000000
0.763400	0.2	-96,028.000000
0.766733	0.2	-95,298.000000
0.770067	0.2	-94,347.000000
0.773400	0.2	-93,228.000000
0.776733	0.2	-91,995.000000
0.780067	0.2	-90,693.000000
0.783400	0.2	-89,373.000000
0.786733	0.2	-88,077.000000
0.790067	0.2	-86,850.000000
0.793400	0.2	-85,727.000000
0.796733	0.2	-84,726.000000
0.800067	0.2	-83,867.000000
0.803400	0.2	-83,180.000000
0.806733	0.2	-82,683.000000
0.810067	0.2	-82,364.000000
0.813400	0.2	-82,178.000000
0.816733	0.2	-82,093.000000
0.820067	0.2	-82,093.000000
0.823400	0.2	-82,155.000000
0.826733	0.2	-82,256.000000
0.830067	0.2	-82,384.000000
0.833400	0.2	-82,541.000000
0.836733	0.2	-82,727.000000
0.840067	0.2	-82,940.000000
0.843400	0.2	-83,184.000000
0.846733	0.2	-83,454.000000
0.850067	0.2	-83,734.000000
0.853400	0.2	-84,013.000000
0.856733	0.2	-84,287.000000
0.860067	0.2	-84,569.000000
0.863400	0.2	-84,876.000000
0.866733	0.2	-85,220.000000
0.870067	0.2	-85,613.000000
0.873400	0.2	-86,068.000000
0.876733	0.2	-86,588.000000
0.880067	0.2	-87,156.000000
0.883400	0.2	-87,757.000000
0.886733	0.2	-88,372.000000
0.890067	0.2	-88,979.000000
0.893400	0.2	-89,558.000000
0.896733	0.2	-90,087.000000
0.900067	0.2	-90,548.000000
0.903400	0.2	-90,937.000000
0.906733	0.2	-91,264.000000
0.910067	0.2	-91,547.000000
0.913400	0.2	-91,789.000000
0.916733	0.2	-91,971.000000
0.920067	0.2	-92,100.000000
0.923400	0.2	-92,198.000000
0.926733	0.2	-92,283.000000
0.930067	0.2	-92,369.000000
0.933400	0.2	-92,466.000000
0.936733	0.2	-92,587.000000
0.940067	0.2	-92,737.000000
0.943400	0.2	-92,911.000000
0.946733	0.2	-93,104.000000
0.950067	0.2	-93,301.000000
0.953400	0.2	-93,491.000000
0.956733	0.2	-93,671.000000
0.960067	0.2	-93,847.000000
0.963400	0.2	-94,016.000000
0.966733	0.2	-94,174.000000
0.970067	0.2	-94,330.000000
0.973400	0.2	-94,489.000000
0.976733	0.2	-94,655.000000
0.980067	0.2	-94,829.000000
0.983400	0.2	-95,004.000000
0.986733	0.2	-95,175.000000
0.990067	0.2	-95,338.000000
0.993400	0.2	-95,474.000000
0.996733	0.2	-95,575.000000
1.000067	0.2	-95,658.000000
1.003400	0.2	-95,722.000000
1.006733	0.2	-95,755.000000
1.010067	0.2	-95,744.000000
1.013400	0.2	-95,690.000000
1.016733	0.2	-95,605.000000
1.020067	0.2	-95,499.000000
1.023400	0.2	-95,380.000000
1.026733	0.2	-95,262.000000
1.030067	0.2	-95,156.000000
1.033400	0.2	-95,075.000000
1.036733	0.2	-95,029.000000
1.040067	0.2	-95,014.000000
1.043400	0.2	-95,016.000000
1.046733	0.2	-95,029.000000
1.050067	0.2	-95,049.000000
1.053400	0.2	-95,081.000000
1.056733	0.2	-95,130.000000
1.060067	0.2	-95,195.000000
1.063400	0.2	-95,271.000000
1.066733	0.2	-95,341.000000
1.070067	0.2	-95,397.000000
1.073400	0.2	-95,434.000000
1.076733	0.2	-95,451.000000
1.080067	0.2	-95,447.000000
1.083400	0.2	-95,418.000000
1.086733	0.2	-95,364.000000
1.090067	0.2	-95,289.000000
1.093400	0.2	-95,191.000000
1.096733	0.2	-95,081.000000
1.100067	0.2	-94,974.000000
1.103400	0.2	-94,867.000000
1.106733	0.2	-94,757.000000
1.110067	0.2	-94,647.000000
1.113400	0.2	-94,537.000000
1.116733	0.2	-94,421.000000
1.120067	0.2	-94,299.000000
1.123400	0.2	-94,177.000000
1.126733	0.2	-94,063.000000
1.130067	0.2	-93,960.000000
1.133400	0.2	-93,866.000000
1.136733	0.2	-93,777.000000
1.140067	0.2	-93,689.000000
1.143400	0.2	-93,616.000000
1.146733	0.2	-93,568.000000
1.150067	0.2	-93,551.000000
1.153400	0.2	-93,565.000000
1.156733	0.2	-93,618.000000
1.160067	0.2	-93,709.000000
1.163400	0.2	-93,833.000000
1.166733	0.2	-93,969.000000
1.170067	0.2	-94,103.000000
1.173400	0.2	-94,238.000000
1.176733	0.2	-94,366.000000
1.180067	0.2	-94,475.000000
1.183400	0.2	-94,564.000000
1.186733	0.2	-94,619.000000
1.190067	0.2	-94,642.000000
1.193400	0.2	-94,649.000000
1.196733	0.2	-94,660.000000
1.200067	0.2	-94,692.000000
1.203400	0.2	-94,752.000000
1.206733	0.2	-94,831.000000
1.210067	0.2	-94,919.000000
1.213400	0.2	-95,007.000000
1.216733	0.2	-95,087.000000
1.220067	0.2	-95,150.000000
1.223400	0.2	-95,197.000000
1.226733	0.2	-95,232.000000
1.230067	0.2	-95,247.000000
1.233400	0.2	-95,249.000000
1.236733	0.2	-95,258.000000
1.240067	0.2	-95,287.000000
1.243400	0.2	-95,334.000000
1.246733	0.2	-95,396.000000
1.250067	0.2	-95,468.000000
1.253400	0.2	-95,552.000000
1.256733	0.2	-95,640.000000
1.260067	0.2	-95,720.000000
1.263400	0.2	-95,791.000000
1.266733	0.2	-95,854.000000
1.270067	0.2	-95,908.000000
1.273400	0.2	-95,962.000000
1.276733	0.2	-96,027.000000
1.280067	0.2	-96,087.000000
1.283400	0.2	-96,131.000000
1.286733	0.2	-96,160.000000
1.290067	0.2	-96,174.000000
1.293400	0.2	-96,177.000000
1.296733	0.2	-96,161.000000
1.300067	0.2	-96,121.000000
1.303400	0.2	-96,061.000000
1.306733	0.2	-95,984.000000
1.310067	0.2	-95,902.000000
1.313400	0.2	-95,809.000000
1.316733	0.2	-95,698.000000
1.320067	0.2	-95,575.000000
1.323400	0.2	-95,457.000000
1.326733	0.2	-95,360.000000
1.330067	0.2	-95,302.000000
1.333400	0.2	-95,281.000000
1.336733	0.2	-95,279.000000
1.340067	0.2	-95,294.000000
1.343400	0.2	-95,333.000000
1.346733	0.2	-95,411.000000
1.350067	0.2	-95,527.000000
1.353400	0.2	-95,656.000000
1.356733	0.2	-95,778.000000
1.360067	0.2	-95,879.000000
1.363400	0.2	-95,937.000000
1.366733	0.2	-95,944.000000
1.370067	0.2	-95,904.000000
1.373400	0.2	-95,835.000000
1.376733	0.2	-95,768.000000
1.380067	0.2	-95,726.000000
1.383400	0.2	-95,715.000000
1.386733	0.2	-95,728.000000
1.390067	0.2	-95,759.000000
1.393400	0.2	-95,796.000000
1.396733	0.2	-95,835.000000
1.400067	0.2	-95,872.000000
1.403400	0.2	-95,912.000000
1.406733	0.2	-95,952.000000
1.410067	0.2	-95,981.000000
1.413400	0.2	-96,000.000000
1.416733	0.2	-96,014.000000
1.420067	0.2	-96,030.000000
1.423400	0.2	-96,058.000000
1.426733	0.2	-96,108.000000
1.430067	0.2	-96,174.000000
1.433400	0.2	-96,244.000000
1.436733	0.2	-96,313.000000
1.440067	0.2	-96,379.000000
1.443400	0.2	-96,436.000000
1.446733	0.2	-96,469.000000
1.450067	0.2	-96,457.000000
1.453400	0.2	-96,396.000000
1.456733	0.2	-96,303.000000
1.460067	0.2	-96,187.000000
1.463400	0.2	-96,058.000000
1.466733	0.2	-95,938.000000
1.470067	0.2	-95,846.000000
1.473400	0.2	-95,783.000000
1.476733	0.2	-95,756.000000
1.480067	0.2	-95,768.000000
1.483400	0.2	-95,809.000000
1.486733	0.2	-95,871.000000
1.490067	0.2	-95,932.000000
1.493400	0.2	-95,976.000000
1.496733	0.2	-96,001.000000
1.500067	0.2	-96,014.000000
1.503400	0.2	-96,020.000000
1.506733	0.2	-96,023.000000
1.510067	0.2	-96,028.000000
1.513400	0.2	-96,042.000000
1.516733	0.2	-96,067.000000
1.520067	0.2	-96,104.000000
1.523400	0.2	-96,151.000000
1.526733	0.2	-96,202.000000
1.530067	0.2	-96,232.000000
