URL	chrom://farber-hplc/test001/McKenna/4.03.26 Monica DY_test.seq/770.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.03.26 Monica DY_test
Name	asgr1 int 5
Number	9
Position	RB1
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD_end
Type	Unknown
Status	Finished
Inject Time	4/4/2026 12:40:26 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003150
Time Max. (min)	107.503150
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-246,548.000000
Signal Max.	2,154,158.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003150	n.a.	3,429.000000
0.006483	0.2	3,429.000000
0.009817	0.2	3,429.000000
0.013150	0.2	3,429.000000
0.016483	0.2	3,429.000000
0.019817	0.2	3,429.000000
0.023150	0.2	3,429.000000
0.026483	0.2	3,429.000000
0.029817	0.2	3,429.000000
0.033150	0.2	3,429.000000
0.036483	0.2	-112,631.000000
0.039817	0.2	-112,706.000000
0.043150	0.2	-112,793.000000
0.046483	0.2	-112,876.000000
0.049817	0.2	-112,947.000000
0.053150	0.2	-112,997.000000
0.056483	0.2	-113,030.000000
0.059817	0.2	-113,050.000000
0.063150	0.2	-113,058.000000
0.066483	0.2	-113,055.000000
0.069817	0.2	-113,040.000000
0.073150	0.2	-113,017.000000
0.076483	0.2	-112,992.000000
0.079817	0.2	-112,960.000000
0.083150	0.2	-112,926.000000
0.086483	0.2	-112,888.000000
0.089817	0.2	-112,839.000000
0.093150	0.2	-112,783.000000
0.096483	0.2	-112,734.000000
0.099817	0.2	-112,717.000000
0.103150	0.2	-112,742.000000
0.106483	0.2	-112,792.000000
0.109817	0.2	-112,843.000000
0.113150	0.2	-112,880.000000
0.116483	0.2	-112,897.000000
0.119817	0.2	-112,897.000000
0.123150	0.2	-112,885.000000
0.126483	0.2	-112,863.000000
0.129817	0.2	-112,832.000000
0.133150	0.2	-112,789.000000
0.136483	0.2	-112,741.000000
0.139817	0.2	-112,706.000000
0.143150	0.2	-112,687.000000
0.146483	0.2	-112,676.000000
0.149817	0.2	-112,670.000000
0.153150	0.2	-112,666.000000
0.156483	0.2	-112,673.000000
0.159817	0.2	-112,689.000000
0.163150	0.2	-112,710.000000
0.166483	0.2	-112,740.000000
0.169817	0.2	-112,786.000000
0.173150	0.2	-112,851.000000
0.176483	0.2	-112,917.000000
0.179817	0.2	-112,966.000000
0.183150	0.2	-113,000.000000
0.186483	0.2	-113,030.000000
0.189817	0.2	-113,057.000000
0.193150	0.2	-113,079.000000
0.196483	0.2	-113,096.000000
0.199817	0.2	-113,105.000000
0.203150	0.2	-113,101.000000
0.206483	0.2	-113,081.000000
0.209817	0.2	-113,046.000000
0.213150	0.2	-113,007.000000
0.216483	0.2	-112,963.000000
0.219817	0.2	-112,913.000000
0.223150	0.2	-112,867.000000
0.226483	0.2	-112,847.000000
0.229817	0.2	-112,871.000000
0.233150	0.2	-112,944.000000
0.236483	0.2	-113,059.000000
0.239817	0.2	-113,198.000000
0.243150	0.2	-113,333.000000
0.246483	0.2	-113,441.000000
0.249817	0.2	-113,509.000000
0.253150	0.2	-113,532.000000
0.256483	0.2	-113,517.000000
0.259817	0.2	-113,476.000000
0.263150	0.2	-113,422.000000
0.266483	0.2	-113,351.000000
0.269817	0.2	-113,260.000000
0.273150	0.2	-113,156.000000
0.276483	0.2	-113,046.000000
0.279817	0.2	-112,936.000000
0.283150	0.2	-112,820.000000
0.286483	0.2	-112,707.000000
0.289817	0.2	-112,607.000000
0.293150	0.2	-112,527.000000
0.296483	0.2	-112,472.000000
0.299817	0.2	-112,455.000000
0.303150	0.2	-112,484.000000
0.306483	0.2	-112,563.000000
0.309817	0.2	-112,693.000000
0.313150	0.2	-112,859.000000
0.316483	0.2	-113,035.000000
0.319817	0.2	-113,195.000000
0.323150	0.2	-113,312.000000
0.326483	0.2	-113,368.000000
0.329817	0.2	-113,353.000000
0.333150	0.2	-113,270.000000
0.336483	0.2	-113,139.000000
0.339817	0.2	-112,984.000000
0.343150	0.2	-112,831.000000
0.346483	0.2	-112,702.000000
0.349817	0.2	-112,609.000000
0.353150	0.2	-112,553.000000
0.356483	0.2	-112,529.000000
0.359817	0.2	-112,534.000000
0.363150	0.2	-112,561.000000
0.366483	0.2	-112,592.000000
0.369817	0.2	-112,609.000000
0.373150	0.2	-112,598.000000
0.376483	0.2	-112,568.000000
0.379817	0.2	-112,536.000000
0.383150	0.2	-112,516.000000
0.386483	0.2	-112,512.000000
0.389817	0.2	-112,512.000000
0.393150	0.2	-112,517.000000
0.396483	0.2	-112,525.000000
0.399817	0.2	-112,537.000000
0.403150	0.2	-112,554.000000
0.406483	0.2	-112,565.000000
0.409817	0.2	-112,562.000000
0.413150	0.2	-112,547.000000
0.416483	0.2	-112,537.000000
0.419817	0.2	-112,538.000000
0.423150	0.2	-112,549.000000
0.426483	0.2	-112,578.000000
0.429817	0.2	-112,635.000000
0.433150	0.2	-112,717.000000
0.436483	0.2	-112,808.000000
0.439817	0.2	-112,875.000000
0.443150	0.2	-112,897.000000
0.446483	0.2	-112,877.000000
0.449817	0.2	-112,825.000000
0.453150	0.2	-112,761.000000
0.456483	0.2	-112,711.000000
0.459817	0.2	-112,695.000000
0.463150	0.2	-112,708.000000
0.466483	0.2	-112,738.000000
0.469817	0.2	-112,780.000000
0.473150	0.2	-112,832.000000
0.476483	0.2	-112,891.000000
0.479817	0.2	-112,948.000000
0.483150	0.2	-112,997.000000
0.486483	0.2	-113,041.000000
0.489817	0.2	-113,089.000000
0.493150	0.2	-113,140.000000
0.496483	0.2	-113,202.000000
0.499817	0.2	-113,271.000000
0.503150	0.2	-113,330.000000
0.506483	0.2	-113,373.000000
0.509817	0.2	-113,405.000000
0.513150	0.2	-113,431.000000
0.516483	0.2	-113,452.000000
0.519817	0.2	-113,472.000000
0.523150	0.2	-113,488.000000
0.526483	0.2	-113,488.000000
0.529817	0.2	-113,461.000000
0.533150	0.2	-113,398.000000
0.536483	0.2	-113,312.000000
0.539817	0.2	-113,210.000000
0.543150	0.2	-113,094.000000
0.546483	0.2	-112,968.000000
0.549817	0.2	-112,830.000000
0.553150	0.2	-112,675.000000
0.556483	0.2	-112,496.000000
0.559817	0.2	-112,293.000000
0.563150	0.2	-112,080.000000
0.566483	0.2	-111,884.000000
0.569817	0.2	-111,738.000000
0.573150	0.2	-111,657.000000
0.576483	0.2	-111,630.000000
0.579817	0.2	-111,642.000000
0.583150	0.2	-111,684.000000
0.586483	0.2	-111,752.000000
0.589817	0.2	-111,831.000000
0.593150	0.2	-111,895.000000
0.596483	0.2	-111,929.000000
0.599817	0.2	-111,924.000000
0.603150	0.2	-111,865.000000
0.606483	0.2	-111,719.000000
0.609817	0.2	-111,456.000000
0.613150	0.2	-111,048.000000
0.616483	0.2	-110,466.000000
0.619817	0.2	-109,690.000000
0.623150	0.2	-108,722.000000
0.626483	0.2	-107,591.000000
0.629817	0.2	-106,340.000000
0.633150	0.2	-105,021.000000
0.636483	0.2	-103,700.000000
0.639817	0.2	-102,451.000000
0.643150	0.2	-101,355.000000
0.646483	0.2	-100,462.000000
0.649817	0.2	-99,787.000000
0.653150	0.2	-99,331.000000
0.656483	0.2	-99,087.000000
0.659817	0.2	-99,031.000000
0.663150	0.2	-99,122.000000
0.666483	0.2	-99,300.000000
0.669817	0.2	-99,515.000000
0.673150	0.2	-99,717.000000
0.676483	0.2	-99,878.000000
0.679817	0.2	-99,978.000000
0.683150	0.2	-100,021.000000
0.686483	0.2	-100,000.000000
0.689817	0.2	-99,898.000000
0.693150	0.2	-99,696.000000
0.696483	0.2	-99,394.000000
0.699817	0.2	-99,031.000000
0.703150	0.2	-98,680.000000
0.706483	0.2	-98,414.000000
0.709817	0.2	-98,278.000000
0.713150	0.2	-98,277.000000
0.716483	0.2	-98,361.000000
0.719817	0.2	-98,440.000000
0.723150	0.2	-98,421.000000
0.726483	0.2	-98,224.000000
0.729817	0.2	-97,767.000000
0.733150	0.2	-96,990.000000
0.736483	0.2	-95,857.000000
0.739817	0.2	-94,386.000000
0.743150	0.2	-92,631.000000
0.746483	0.2	-90,646.000000
0.749817	0.2	-88,497.000000
0.753150	0.2	-86,250.000000
0.756483	0.2	-83,989.000000
0.759817	0.2	-81,798.000000
0.763150	0.2	-79,747.000000
0.766483	0.2	-77,898.000000
0.769817	0.2	-76,277.000000
0.773150	0.2	-74,891.000000
0.776483	0.2	-73,737.000000
0.779817	0.2	-72,806.000000
0.783150	0.2	-72,085.000000
0.786483	0.2	-71,538.000000
0.789817	0.2	-71,115.000000
0.793150	0.2	-70,800.000000
0.796483	0.2	-70,577.000000
0.799817	0.2	-70,435.000000
0.803150	0.2	-70,376.000000
0.806483	0.2	-70,405.000000
0.809817	0.2	-70,517.000000
0.813150	0.2	-70,710.000000
0.816483	0.2	-70,974.000000
0.819817	0.2	-71,287.000000
0.823150	0.2	-71,643.000000
0.826483	0.2	-72,030.000000
0.829817	0.2	-72,437.000000
0.833150	0.2	-72,868.000000
0.836483	0.2	-73,327.000000
0.839817	0.2	-73,816.000000
0.843150	0.2	-74,328.000000
0.846483	0.2	-74,852.000000
0.849817	0.2	-75,386.000000
0.853150	0.2	-75,934.000000
0.856483	0.2	-76,498.000000
0.859817	0.2	-77,066.000000
0.863150	0.2	-77,622.000000
0.866483	0.2	-78,148.000000
0.869817	0.2	-78,639.000000
0.873150	0.2	-79,104.000000
0.876483	0.2	-79,561.000000
0.879817	0.2	-80,033.000000
0.883150	0.2	-80,522.000000
0.886483	0.2	-81,032.000000
0.889817	0.2	-81,572.000000
0.893150	0.2	-82,164.000000
0.896483	0.2	-82,834.000000
0.899817	0.2	-83,605.000000
0.903150	0.2	-84,484.000000
0.906483	0.2	-85,453.000000
0.909817	0.2	-86,493.000000
0.913150	0.2	-87,589.000000
0.916483	0.2	-88,718.000000
0.919817	0.2	-89,857.000000
0.923150	0.2	-90,979.000000
0.926483	0.2	-92,058.000000
0.929817	0.2	-93,074.000000
0.933150	0.2	-94,025.000000
0.936483	0.2	-94,923.000000
0.939817	0.2	-95,780.000000
0.943150	0.2	-96,601.000000
0.946483	0.2	-97,389.000000
0.949817	0.2	-98,154.000000
0.953150	0.2	-98,902.000000
0.956483	0.2	-99,634.000000
0.959817	0.2	-100,348.000000
0.963150	0.2	-101,046.000000
0.966483	0.2	-101,721.000000
0.969817	0.2	-102,362.000000
0.973150	0.2	-102,965.000000
0.976483	0.2	-103,525.000000
0.979817	0.2	-104,035.000000
0.983150	0.2	-104,485.000000
0.986483	0.2	-104,873.000000
0.989817	0.2	-105,198.000000
0.993150	0.2	-105,472.000000
0.996483	0.2	-105,716.000000
0.999817	0.2	-105,950.000000
1.003150	0.2	-106,181.000000
1.006483	0.2	-106,415.000000
1.009817	0.2	-106,643.000000
1.013150	0.2	-106,861.000000
1.016483	0.2	-107,062.000000
1.019817	0.2	-107,235.000000
1.023150	0.2	-107,361.000000
1.026483	0.2	-107,435.000000
1.029817	0.2	-107,461.000000
1.033150	0.2	-107,451.000000
1.036483	0.2	-107,434.000000
1.039817	0.2	-107,442.000000
1.043150	0.2	-107,486.000000
1.046483	0.2	-107,556.000000
1.049817	0.2	-107,646.000000
1.053150	0.2	-107,758.000000
1.056483	0.2	-107,884.000000
1.059817	0.2	-108,018.000000
1.063150	0.2	-108,146.000000
1.066483	0.2	-108,259.000000
1.069817	0.2	-108,347.000000
1.073150	0.2	-108,415.000000
1.076483	0.2	-108,470.000000
1.079817	0.2	-108,503.000000
1.083150	0.2	-108,508.000000
1.086483	0.2	-108,485.000000
1.089817	0.2	-108,434.000000
1.093150	0.2	-108,357.000000
1.096483	0.2	-108,256.000000
1.099817	0.2	-108,134.000000
1.103150	0.2	-107,994.000000
1.106483	0.2	-107,851.000000
1.109817	0.2	-107,732.000000
1.113150	0.2	-107,649.000000
1.116483	0.2	-107,598.000000
1.119817	0.2	-107,578.000000
1.123150	0.2	-107,591.000000
1.126483	0.2	-107,627.000000
1.129817	0.2	-107,669.000000
1.133150	0.2	-107,701.000000
1.136483	0.2	-107,723.000000
1.139817	0.2	-107,753.000000
1.143150	0.2	-107,807.000000
1.146483	0.2	-107,887.000000
1.149817	0.2	-107,993.000000
1.153150	0.2	-108,113.000000
1.156483	0.2	-108,235.000000
1.159817	0.2	-108,355.000000
1.163150	0.2	-108,476.000000
1.166483	0.2	-108,599.000000
1.169817	0.2	-108,720.000000
1.173150	0.2	-108,827.000000
1.176483	0.2	-108,909.000000
1.179817	0.2	-108,960.000000
1.183150	0.2	-108,972.000000
1.186483	0.2	-108,941.000000
1.189817	0.2	-108,870.000000
1.193150	0.2	-108,760.000000
1.196483	0.2	-108,630.000000
1.199817	0.2	-108,506.000000
1.203150	0.2	-108,405.000000
1.206483	0.2	-108,336.000000
1.209817	0.2	-108,302.000000
1.213150	0.2	-108,298.000000
1.216483	0.2	-108,327.000000
1.219817	0.2	-108,403.000000
1.223150	0.2	-108,526.000000
1.226483	0.2	-108,692.000000
1.229817	0.2	-108,888.000000
1.233150	0.2	-109,098.000000
1.236483	0.2	-109,301.000000
1.239817	0.2	-109,483.000000
1.243150	0.2	-109,643.000000
1.246483	0.2	-109,778.000000
1.249817	0.2	-109,896.000000
1.253150	0.2	-110,002.000000
1.256483	0.2	-110,091.000000
1.259817	0.2	-110,139.000000
1.263150	0.2	-110,137.000000
1.266483	0.2	-110,095.000000
1.269817	0.2	-110,034.000000
1.273150	0.2	-109,980.000000
1.276483	0.2	-109,951.000000
1.279817	0.2	-109,955.000000
1.283150	0.2	-109,987.000000
1.286483	0.2	-110,040.000000
1.289817	0.2	-110,111.000000
1.293150	0.2	-110,194.000000
1.296483	0.2	-110,284.000000
1.299817	0.2	-110,373.000000
1.303150	0.2	-110,448.000000
1.306483	0.2	-110,505.000000
1.309817	0.2	-110,547.000000
1.313150	0.2	-110,579.000000
1.316483	0.2	-110,610.000000
1.319817	0.2	-110,646.000000
1.323150	0.2	-110,679.000000
1.326483	0.2	-110,683.000000
1.329817	0.2	-110,637.000000
1.333150	0.2	-110,536.000000
1.336483	0.2	-110,395.000000
1.339817	0.2	-110,227.000000
1.343150	0.2	-110,042.000000
1.346483	0.2	-109,859.000000
1.349817	0.2	-109,689.000000
1.353150	0.2	-109,545.000000
1.356483	0.2	-109,444.000000
1.359817	0.2	-109,381.000000
1.363150	0.2	-109,354.000000
1.366483	0.2	-109,364.000000
1.369817	0.2	-109,407.000000
1.373150	0.2	-109,475.000000
1.376483	0.2	-109,558.000000
1.379817	0.2	-109,638.000000
1.383150	0.2	-109,706.000000
1.386483	0.2	-109,755.000000
1.389817	0.2	-109,779.000000
1.393150	0.2	-109,774.000000
1.396483	0.2	-109,737.000000
1.399817	0.2	-109,676.000000
1.403150	0.2	-109,611.000000
1.406483	0.2	-109,572.000000
1.409817	0.2	-109,578.000000
1.413150	0.2	-109,635.000000
1.416483	0.2	-109,730.000000
