URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.22.26 absorption remainder  2.seq/673.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	4.22.26 absorption remainder  2
Name	AB  liver 7
Number	4
Position	RA4
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/26/2026 10:52:59 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500167
Data Points	63839
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.545573
Signal Max.	49.814890
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103716

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.009568
0.001667	0.1	-0.001015
0.003333	0.1	-0.020378
0.005000	0.1	-0.039573
0.006667	0.1	-0.051307
0.008333	0.1	-0.046627
0.010000	0.1	-0.029001
0.011667	0.1	-0.010134
0.013333	0.1	-0.000218
0.015000	0.1	0.001725
0.016667	0.1	0.000551
0.018333	0.1	-0.000313
0.020033	0.102	0.003972
0.021700	0.1	0.010242
0.023367	0.1	0.009513
0.025033	0.1	-0.002822
0.026700	0.1	-0.016102
0.028367	0.1	-0.024461
0.030417	0.123	-0.033819
0.032033	0.097	-0.052004
0.033700	0.1	-0.071752
0.035383	0.101	-0.083270
0.037033	0.099	-0.082064
0.038700	0.1	-0.075675
0.040367	0.1	-0.067862
0.042033	0.1	-0.059035
0.043700	0.1	-0.048857
0.045367	0.1	-0.046741
0.047033	0.1	-0.057003
0.048700	0.1	-0.069844
0.050367	0.1	-0.076425
0.052033	0.1	-0.076612
0.053700	0.1	-0.073628
0.055367	0.1	-0.066954
0.057033	0.1	-0.055452
0.058700	0.1	-0.053645
0.060367	0.1	-0.066380
0.062417	0.123	-0.080680
0.064117	0.102	-0.087901
0.065750	0.098	-0.090530
0.067417	0.1	-0.091612
0.069083	0.1	-0.080937
0.070750	0.1	-0.058710
0.072417	0.1	-0.036755
0.074100	0.101	-0.019616
0.075750	0.099	-0.007341
0.077417	0.1	-0.001395
0.079083	0.1	-0.001718
0.080750	0.1	-0.002847
0.082417	0.1	-0.001354
0.084083	0.1	-0.001494
0.085750	0.1	-0.011487
0.087417	0.1	-0.027812
0.089083	0.1	-0.045388
0.090817	0.104	-0.060998
0.092500	0.101	-0.071123
0.094167	0.1	-0.072688
0.096167	0.12	-0.066406
0.097833	0.1	-0.055399
0.099500	0.1	-0.053120
0.101167	0.1	-0.057328
0.102833	0.1	-0.054456
0.104500	0.1	-0.046785
0.106167	0.1	-0.042134
0.107833	0.1	-0.037346
0.109517	0.101	-0.029765
0.111167	0.099	-0.028203
0.112833	0.1	-0.037933
0.114500	0.1	-0.045675
0.116167	0.1	-0.045314
0.117833	0.1	-0.045968
0.119500	0.1	-0.045894
0.121167	0.1	-0.040040
0.122833	0.1	-0.035852
0.124500	0.1	-0.034084
0.126183	0.101	-0.030237
0.127833	0.099	-0.028055
0.129833	0.12	-0.031083
0.131500	0.1	-0.032843
0.133200	0.102	-0.029525
0.134833	0.098	-0.023937
0.136500	0.1	-0.019279
0.138167	0.1	-0.014895
0.139833	0.1	-0.011779
0.141500	0.1	-0.012449
0.143167	0.1	-0.016196
0.144833	0.1	-0.024911
0.146500	0.1	-0.030107
0.148167	0.1	-0.024590
0.149833	0.1	-0.012838
0.151500	0.1	0.004512
0.153167	0.1	0.020351
0.154833	0.1	0.024487
0.156500	0.1	0.020888
0.158167	0.1	0.016427
0.159833	0.1	0.011001
0.161500	0.1	0.003234
0.163533	0.122	0.001103
0.165200	0.1	0.003890
0.166833	0.098	0.002100
0.168517	0.101	-0.006599
