URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.22.26 absorption remainder.seq/391.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	4.22.26 absorption remainder
Name	AB liver 10
Number	9
Position	RC1
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Interrupted
Inject Time	4/23/2026 10:18:28 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	60.449533
Data Points	35898
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.101747
Signal Max.	57.108030
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.128
Average Step (s)	0.1010383

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.038867
0.001650	0.099	-0.028271
0.003317	0.1	-0.007054
0.005017	0.102	0.019684
0.006650	0.098	0.036312
0.008317	0.1	0.032617
0.009983	0.1	0.014623
0.011650	0.1	-0.002627
0.013317	0.1	-0.015318
0.014967	0.099	-0.028412
0.016633	0.1	-0.038972
0.018300	0.1	-0.040377
0.019967	0.1	-0.028164
0.021633	0.1	-0.008620
0.023300	0.1	0.008987
0.024967	0.1	0.017974
0.026633	0.1	0.011357
0.028300	0.1	-0.010340
0.029967	0.1	-0.035593
0.031983	0.121	-0.058139
0.033633	0.099	-0.077775
0.035283	0.099	-0.093807
0.036950	0.1	-0.101747
0.038617	0.1	-0.100644
0.040283	0.1	-0.091341
0.041950	0.1	-0.077714
0.043617	0.1	-0.065107
0.045283	0.1	-0.057178
0.046950	0.1	-0.052788
0.048617	0.1	-0.049394
0.050283	0.1	-0.048961
0.051950	0.1	-0.053374
0.053617	0.1	-0.062169
0.055283	0.1	-0.062679
0.056950	0.1	-0.050278
0.058617	0.1	-0.033849
0.060283	0.1	-0.022050
0.061950	0.1	-0.014761
0.063617	0.1	-0.008282
0.065633	0.121	0.001911
0.067283	0.099	0.014056
0.068950	0.1	0.017808
0.070633	0.101	0.014935
0.072283	0.099	0.011317
0.073950	0.1	0.007155
0.075617	0.1	0.003297
0.077283	0.1	0.000616
0.078950	0.1	0.002093
0.080617	0.1	0.011279
0.082283	0.1	0.020305
0.083950	0.1	0.016746
0.085617	0.1	0.007782
0.087283	0.1	0.002924
0.088950	0.1	-0.008514
0.090617	0.1	-0.024735
0.092283	0.1	-0.034343
0.093950	0.1	-0.037479
0.095617	0.1	-0.034841
0.097283	0.1	-0.023759
0.099283	0.12	-0.009727
0.100983	0.102	-0.003758
0.102617	0.098	-0.008031
0.104283	0.1	-0.021533
0.105950	0.1	-0.035825
0.107617	0.1	-0.045570
0.109300	0.101	-0.049045
0.110950	0.099	-0.047805
0.112617	0.1	-0.045696
0.114283	0.1	-0.038566
0.115950	0.1	-0.020073
0.117617	0.1	-0.000247
0.119283	0.1	0.006636
0.120950	0.1	0.010418
0.122617	0.1	0.018412
0.124283	0.1	0.026742
0.125950	0.1	0.029547
0.127617	0.1	0.026559
0.129283	0.1	0.028672
0.130950	0.1	0.040571
0.132967	0.121	0.053073
0.134700	0.104	0.058246
0.136283	0.095	0.058750
0.137967	0.101	0.049374
0.139617	0.099	0.025063
0.141283	0.1	-0.002578
0.142950	0.1	-0.020410
0.144617	0.1	-0.026506
0.146283	0.1	-0.023968
0.147950	0.1	-0.017271
0.149617	0.1	-0.012632
0.151283	0.1	-0.007105
0.152950	0.1	-0.000131
0.154617	0.1	0.003134
0.156283	0.1	0.002104
0.157950	0.1	0.006931
0.159617	0.1	0.014762
0.161283	0.1	0.014372
0.162950	0.1	0.008330
0.164667	0.103	0.003026
0.166650	0.119	0.002871
0.168317	0.1	0.010467
0.169983	0.1	0.021170
0.171667	0.101	0.023390
0.173317	0.099	0.007585
0.174983	0.1	-0.015967
0.176650	0.1	-0.028480
0.178317	0.1	-0.025773
0.179983	0.1	-0.015501
0.181650	0.1	-0.008108
0.183317	0.1	-0.003403
0.184983	0.1	0.006425
0.186650	0.1	0.019934
