URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/3.31.26 Livers asgr1.seq/433.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	3.31.26 Livers asgr1
Name	AB liver 1
Number	3
Position	RA3
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	3/31/2026 9:17:03 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.501333
Data Points	63842
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.561008
Signal Max.	85.948740
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103351

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.017821
0.001667	0.1	-0.023931
0.003333	0.1	-0.034680
0.005000	0.1	-0.040719
0.006733	0.104	-0.036863
0.008367	0.098	-0.023539
0.010033	0.1	-0.006272
0.011700	0.1	0.001166
0.013367	0.1	-0.000287
0.015033	0.1	-0.004458
0.016700	0.1	-0.005579
0.018367	0.1	-0.001453
0.020033	0.1	0.003289
0.021700	0.1	0.005522
0.023400	0.102	0.009118
0.025033	0.098	0.010255
0.026700	0.1	0.000114
0.028367	0.1	-0.019688
0.030400	0.122	-0.040331
0.032033	0.098	-0.053279
0.033700	0.1	-0.058201
0.035367	0.1	-0.056729
0.037033	0.1	-0.058228
0.038700	0.1	-0.063617
0.040367	0.1	-0.063406
0.042033	0.1	-0.052857
0.043700	0.1	-0.039702
0.045367	0.1	-0.032659
0.047033	0.1	-0.033519
0.048700	0.1	-0.040944
0.050367	0.1	-0.050234
0.052033	0.1	-0.052789
0.053700	0.1	-0.041986
0.055367	0.1	-0.027972
0.057033	0.1	-0.024133
0.058683	0.099	-0.029060
0.060350	0.1	-0.036634
0.062017	0.1	-0.043155
0.064017	0.12	-0.050273
0.065683	0.1	-0.056544
0.067350	0.1	-0.052642
0.069017	0.1	-0.040882
0.070683	0.1	-0.028183
0.072350	0.1	-0.018047
0.074000	0.099	-0.010365
0.075667	0.1	-0.005348
0.077333	0.1	-0.008701
0.079000	0.1	-0.019327
0.080667	0.1	-0.033489
0.082333	0.1	-0.038610
0.084000	0.1	-0.029185
0.085667	0.1	-0.012984
0.087333	0.1	-0.003436
0.089000	0.1	-0.002275
0.090667	0.1	-0.002419
0.092333	0.1	-0.000053
0.094000	0.1	-0.000616
0.095667	0.1	-0.011059
0.097667	0.12	-0.024545
0.099333	0.1	-0.030855
0.101033	0.102	-0.030485
0.102667	0.098	-0.027700
0.104333	0.1	-0.024913
0.106000	0.1	-0.025729
0.107667	0.1	-0.027578
0.109333	0.1	-0.028401
0.111000	0.1	-0.027959
0.112667	0.1	-0.021755
0.114333	0.1	-0.016671
0.116000	0.1	-0.023781
0.117667	0.1	-0.034963
0.119333	0.1	-0.037725
0.121000	0.1	-0.030557
0.122667	0.1	-0.018980
0.124333	0.1	-0.008716
0.126000	0.1	-0.006464
0.127667	0.1	-0.011698
0.129717	0.123	-0.012123
0.131367	0.099	-0.006804
0.133000	0.098	-0.001287
0.134667	0.1	0.005576
0.136333	0.1	0.007464
0.138017	0.101	-0.001004
0.139667	0.099	-0.009286
0.141333	0.1	-0.014022
0.143000	0.1	-0.014819
0.144667	0.1	-0.013938
0.146350	0.101	-0.017655
0.148000	0.099	-0.024641
0.149667	0.1	-0.029968
0.151333	0.1	-0.034835
0.153000	0.1	-0.037217
0.154667	0.1	-0.036603
0.156333	0.1	-0.034950
0.158000	0.1	-0.027638
0.159667	0.1	-0.013645
0.161333	0.1	-0.000899
0.163367	0.122	0.007900
0.165000	0.098	0.015432
0.166667	0.1	0.023159
0.168333	0.1	0.028693
0.170083	0.105	0.028280
0.171667	0.095	0.023870
0.173333	0.1	0.017588
0.175000	0.1	0.014214
0.176667	0.1	0.009697
0.178333	0.1	0.003480
0.180017	0.101	0.001443
0.181667	0.099	0.003075
0.183333	0.1	0.005037
0.185000	0.1	0.004075
0.186667	0.1	-0.002786
0.188333	0.1	-0.010119
0.190000	0.1	-0.008043
0.191667	0.1	-0.001833
0.193333	0.1	0.000332
0.195000	0.1	-0.001810
0.197000	0.12	-0.001895
0.198667	0.1	0.000661
0.200333	0.1	-0.001283
0.202000	0.1	-0.006972
0.203667	0.1	-0.010326
0.205333	0.1	-0.005132
0.207000	0.1	0.006872
0.208667	0.1	0.020159
0.210333	0.1	0.023035
0.212000	0.1	0.014434
0.213667	0.1	0.004752
0.215333	0.1	-0.004538
0.217000	0.1	-0.009891
0.218667	0.1	-0.013674
0.220333	0.1	-0.016453
0.222000	0.1	-0.013322
0.223667	0.1	-0.005354
0.225367	0.102	-0.002650
0.227033	0.1	-0.009701
0.228700	0.1	-0.022824
0.230700	0.12	-0.036814
0.232367	0.1	-0.045442
0.234033	0.1	-0.044298
0.235717	0.101	-0.030302
0.237367	0.099	-0.008524
0.239033	0.1	0.014035
0.240700	0.1	0.025806
0.242367	0.1	0.023350
0.244033	0.1	0.009480
0.245700	0.1	-0.004890
0.247367	0.1	-0.011069
0.249033	0.1	-0.010038
0.250700	0.1	-0.010018
0.252367	0.1	-0.013996
0.254033	0.1	-0.014907
0.255700	0.1	-0.013123
0.257367	0.1	-0.015162
0.259033	0.1	-0.019924
0.260700	0.1	-0.018723
0.262367	0.1	-0.011266
0.264383	0.121	-0.003210
0.266067	0.101	-0.000025
0.267733	0.1	-0.007120
0.269367	0.098	-0.023508
0.271050	0.101	-0.033849
0.272700	0.099	-0.030302
0.274367	0.1	-0.022006
0.276050	0.101	-0.016784
0.277700	0.099	-0.014227
