URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/3.30.26 Gwyn 3-4 days.seq/136.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	3.30.26 Gwyn 3-4 days
Name	AB liver 2
Number	8
Position	RA8
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD_end
Type	Unknown
Status	Finished
Inject Time	3/31/2026 5:46:18 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500133
Data Points	63842
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.447478
Signal Max.	45.240040
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103238

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.014953
0.001700	0.102	0.017321
0.003333	0.098	0.019013
0.005017	0.101	0.012939
0.006667	0.099	0.000653
0.008350	0.101	-0.011497
0.010000	0.099	-0.020231
0.011683	0.101	-0.026352
0.013333	0.099	-0.027448
0.015017	0.101	-0.024889
0.016667	0.099	-0.020105
0.018350	0.101	-0.011293
0.020000	0.099	-0.001703
0.021683	0.101	0.001767
0.023333	0.099	-0.004161
0.025017	0.101	-0.025127
0.026667	0.099	-0.061926
0.028350	0.101	-0.097391
0.029983	0.098	-0.117516
0.031983	0.12	-0.127127
0.033650	0.1	-0.138804
0.035317	0.1	-0.152533
0.037000	0.101	-0.160141
0.038650	0.099	-0.156992
0.040317	0.1	-0.148068
0.041983	0.1	-0.141731
0.043650	0.1	-0.143974
0.045317	0.1	-0.150288
0.046967	0.099	-0.151562
0.048633	0.1	-0.146561
0.050300	0.1	-0.141506
0.051967	0.1	-0.139896
0.053650	0.101	-0.137416
0.055300	0.099	-0.135010
0.056967	0.1	-0.135707
0.058633	0.1	-0.131761
0.060300	0.1	-0.118226
0.061967	0.1	-0.099613
0.063633	0.1	-0.085600
0.065633	0.12	-0.081046
0.067300	0.1	-0.080754
0.068967	0.1	-0.082300
0.070633	0.1	-0.080733
0.072300	0.1	-0.074495
0.073967	0.1	-0.070173
0.075633	0.1	-0.072945
0.077300	0.1	-0.077224
0.078967	0.1	-0.075394
0.080633	0.1	-0.069424
0.082300	0.1	-0.061181
0.083967	0.1	-0.055009
0.085633	0.1	-0.055150
0.087300	0.1	-0.058489
0.088967	0.1	-0.061586
0.090633	0.1	-0.063921
0.092300	0.1	-0.063070
0.093967	0.1	-0.057644
0.095633	0.1	-0.053832
0.097717	0.125	-0.053201
0.099333	0.097	-0.052007
0.100967	0.098	-0.052238
0.102633	0.1	-0.052342
0.104300	0.1	-0.051674
0.105967	0.1	-0.050472
0.107667	0.102	-0.039599
0.109300	0.098	-0.022626
0.110967	0.1	-0.013616
0.112633	0.1	-0.015370
0.114300	0.1	-0.022522
0.115967	0.1	-0.029104
0.117633	0.1	-0.027889
0.119300	0.1	-0.021186
0.120967	0.1	-0.016370
0.122633	0.1	-0.015938
0.124300	0.1	-0.015185
0.125967	0.1	-0.015861
0.127633	0.1	-0.018223
0.129300	0.1	-0.020270
0.131300	0.12	-0.023307
0.132967	0.1	-0.027367
0.134700	0.104	-0.028099
0.136300	0.096	-0.026964
0.137967	0.1	-0.025018
0.139633	0.1	-0.017709
0.141300	0.1	-0.008487
0.142967	0.1	-0.005805
0.144633	0.1	-0.016299
0.146300	0.1	-0.029282
0.148000	0.102	-0.034666
0.149683	0.101	-0.030543
0.151333	0.099	-0.018895
0.153000	0.1	-0.010421
0.154667	0.1	-0.013061
0.156333	0.1	-0.023378
0.158000	0.1	-0.027321
0.159667	0.1	-0.019646
0.161333	0.1	-0.008665
0.163000	0.1	-0.002773
0.165000	0.12	-0.002148
0.166667	0.1	-0.001970
0.168333	0.1	-0.003612
