URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/3.31.26 Livers asgr1.seq/347.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	3.31.26 Livers asgr1
Name	AB liver 4
Number	5
Position	RA5
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/1/2026 12:55:05 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500667
Data Points	63842
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.600684
Signal Max.	34.866080
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103288

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.034604
0.001667	0.1	-0.025053
0.003333	0.1	-0.012938
0.005000	0.1	0.001452
0.006667	0.1	0.015796
0.008333	0.1	0.026541
0.010000	0.1	0.028721
0.011667	0.1	0.019553
0.013317	0.099	0.004102
0.014983	0.1	-0.014084
0.016650	0.1	-0.031048
0.018317	0.1	-0.043885
0.019983	0.1	-0.053849
0.021650	0.1	-0.058092
0.023317	0.1	-0.049346
0.025017	0.102	-0.033637
0.026650	0.098	-0.027237
0.028317	0.1	-0.034253
0.029967	0.099	-0.044048
0.031967	0.12	-0.048598
0.033633	0.1	-0.049838
0.035300	0.1	-0.050437
0.036967	0.1	-0.052021
0.038633	0.1	-0.059325
0.040300	0.1	-0.068767
0.041967	0.1	-0.069286
0.043633	0.1	-0.062882
0.045300	0.1	-0.058929
0.046967	0.1	-0.057457
0.048633	0.1	-0.054578
0.050300	0.1	-0.047911
0.051967	0.1	-0.039881
0.053633	0.1	-0.036063
0.055300	0.1	-0.030285
0.056967	0.1	-0.021138
0.058633	0.1	-0.022096
0.060300	0.1	-0.040293
0.061967	0.1	-0.067133
0.063633	0.1	-0.088586
0.065633	0.12	-0.092551
0.067300	0.1	-0.079376
0.069017	0.103	-0.059126
0.070650	0.098	-0.041003
0.072300	0.099	-0.030577
0.073967	0.1	-0.026485
0.075633	0.1	-0.027626
0.077300	0.1	-0.028706
0.079000	0.102	-0.028611
0.080633	0.098	-0.030461
0.082300	0.1	-0.034558
0.083967	0.1	-0.036025
0.085633	0.1	-0.034348
0.087300	0.1	-0.029954
0.088967	0.1	-0.016764
0.090633	0.1	0.002207
0.092300	0.1	0.016794
0.093967	0.1	0.020499
0.095633	0.1	0.014951
0.097300	0.1	0.010650
0.099300	0.12	0.011596
0.100967	0.1	0.006528
0.102650	0.101	-0.011191
0.104317	0.1	-0.030339
0.105967	0.099	-0.043378
0.107633	0.1	-0.052042
0.109300	0.1	-0.055097
0.110967	0.1	-0.052620
0.112633	0.1	-0.048742
0.114300	0.1	-0.046649
0.115967	0.1	-0.047373
0.117633	0.1	-0.049037
0.119300	0.1	-0.045008
0.120967	0.1	-0.037522
0.122633	0.1	-0.030827
0.124300	0.1	-0.025454
0.125967	0.1	-0.020873
0.127633	0.1	-0.017937
0.129333	0.102	-0.018694
0.131367	0.122	-0.023202
0.133000	0.098	-0.028420
0.134667	0.1	-0.022379
0.136333	0.1	-0.005599
0.138000	0.1	0.007797
0.139667	0.1	0.008328
0.141333	0.1	-0.000947
0.143000	0.1	-0.008662
0.144667	0.1	-0.014452
0.146333	0.1	-0.019425
0.148000	0.1	-0.019273
0.149667	0.1	-0.016944
0.151333	0.1	-0.015372
0.153000	0.1	-0.014389
0.154667	0.1	-0.017560
0.156333	0.1	-0.021834
0.158000	0.1	-0.023673
0.159667	0.1	-0.028831
0.161333	0.1	-0.035408
0.163000	0.1	-0.040762
0.165033	0.122	-0.046171
0.166717	0.101	-0.050248
0.168383	0.1	-0.044996
0.170067	0.101	-0.028870
0.171717	0.099	-0.009373
0.173400	0.101	0.003495
0.175050	0.099	0.006223
0.176717	0.1	0.003882
0.178383	0.1	0.003935
0.180050	0.1	0.006705
0.181800	0.105	0.004592
0.183383	0.095	-0.001147
0.185050	0.1	-0.000727
0.186717	0.1	0.004829
0.188383	0.1	0.010147
0.190050	0.1	0.011820
0.191717	0.1	0.009002
0.193383	0.1	0.003281
0.195050	0.1	-0.001020
0.196717	0.1	-0.005969
0.198783	0.124	-0.015531
0.200383	0.096	-0.031914
0.202050	0.1	-0.045721
0.203717	0.1	-0.048386
0.205383	0.1	-0.038016
0.207050	0.1	-0.021462
0.208717	0.1	-0.006948
0.210383	0.1	0.001384
0.212050	0.1	0.000372
0.213717	0.1	-0.006387
0.215383	0.1	-0.016397
0.217050	0.1	-0.021691
0.218717	0.1	-0.024409
0.220383	0.1	-0.025593
0.222050	0.1	-0.020676
0.223717	0.1	-0.011487
0.225383	0.1	0.000208
0.227050	0.1	0.009232
0.228750	0.102	0.011305
0.230417	0.1	0.009813
0.232417	0.12	0.008213
0.234167	0.105	0.008094
0.235833	0.1	0.010126
0.237500	0.1	0.007192
0.239133	0.098	-0.006418
0.240817	0.101	-0.022442
0.242467	0.099	-0.030914
0.244150	0.101	-0.027329
0.245800	0.099	-0.011833
0.247483	0.101	0.005544
0.249133	0.099	0.015213
0.250817	0.101	0.013077
0.252467	0.099	0.002683
0.254150	0.101	-0.009055
0.255800	0.099	-0.011149
0.257483	0.101	-0.003891
0.259133	0.099	0.004516
0.260817	0.101	0.002843
