URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.22.26 absorption remainder  2.seq/937.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	4.22.26 absorption remainder  2
Name	AB liver 6
Number	3
Position	RA3
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/26/2026 9:03:58 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500000
Data Points	63838
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.531855
Signal Max.	50.400460
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103858

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.020287
0.001667	0.1	-0.019573
0.003333	0.1	-0.017135
0.005000	0.1	-0.020083
0.006667	0.1	-0.027869
0.008333	0.1	-0.033874
0.010000	0.1	-0.036019
0.011667	0.1	-0.031041
0.013333	0.1	-0.020963
0.015000	0.1	-0.016293
0.016667	0.1	-0.015228
0.018333	0.1	-0.018742
0.020000	0.1	-0.025109
0.021667	0.1	-0.033704
0.023333	0.1	-0.043514
0.025000	0.1	-0.053487
0.026667	0.1	-0.068151
0.028333	0.1	-0.082626
0.030000	0.1	-0.091980
0.032000	0.12	-0.095519
0.033667	0.1	-0.094240
0.035333	0.1	-0.089442
0.037000	0.1	-0.082701
0.038667	0.1	-0.078732
0.040333	0.1	-0.079494
0.042000	0.1	-0.075572
0.043667	0.1	-0.063655
0.045333	0.1	-0.054993
0.047000	0.1	-0.057980
0.048667	0.1	-0.063916
0.050333	0.1	-0.063999
0.052000	0.1	-0.056466
0.053700	0.102	-0.044092
0.055367	0.1	-0.034912
0.057033	0.1	-0.037837
0.058700	0.1	-0.051297
