URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.22.26 absorption remainder  2.seq/709.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	4.22.26 absorption remainder  2
Name	AB liver 8
Number	5
Position	RA5
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/27/2026 12:42:00 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.501567
Data Points	63840
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.540524
Signal Max.	51.335300
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103689

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.021072
0.001650	0.099	0.030673
0.003317	0.1	0.029362
0.004983	0.1	0.016043
0.006650	0.1	0.001037
0.008317	0.1	-0.005105
0.009983	0.1	-0.001491
0.011650	0.1	0.003853
0.013317	0.1	0.008464
0.014983	0.1	0.011917
0.016650	0.1	0.007764
0.018317	0.1	0.004379
0.019983	0.1	0.005774
0.021650	0.1	0.003824
0.023317	0.1	-0.006757
0.024983	0.1	-0.023219
0.026650	0.1	-0.037243
0.028317	0.1	-0.042957
0.029983	0.1	-0.047384
0.031650	0.1	-0.056532
0.033667	0.121	-0.067324
0.035317	0.099	-0.076982
0.037000	0.101	-0.085775
0.038667	0.1	-0.093195
0.040333	0.1	-0.092507
0.041983	0.099	-0.079060
0.043650	0.1	-0.061431
0.045317	0.1	-0.047415
0.046983	0.1	-0.041626
0.048650	0.1	-0.047671
0.050317	0.1	-0.062798
0.051983	0.1	-0.075217
0.053650	0.1	-0.078291
0.055317	0.1	-0.074051
0.056983	0.1	-0.063351
0.058650	0.1	-0.049881
0.060317	0.1	-0.043893
0.061983	0.1	-0.047950
0.063650	0.1	-0.054287
0.065317	0.1	-0.052047
0.067317	0.12	-0.038301
0.068983	0.1	-0.022839
0.070650	0.1	-0.011115
0.072333	0.101	-0.005941
0.073983	0.099	-0.008772
0.075650	0.1	-0.016849
0.077317	0.1	-0.025353
0.078983	0.1	-0.030317
0.080650	0.1	-0.037592
0.082317	0.1	-0.045318
0.083983	0.1	-0.044726
0.085650	0.1	-0.041316
0.087317	0.1	-0.039092
0.088983	0.1	-0.039542
0.090650	0.1	-0.037854
0.092317	0.1	-0.026857
0.093983	0.1	-0.007116
0.095650	0.1	0.009293
0.097317	0.1	0.015327
0.098983	0.1	0.015811
0.101033	0.123	0.009456
0.102650	0.097	-0.003936
0.104367	0.103	-0.022467
0.105983	0.097	-0.034252
0.107700	0.103	-0.031888
0.109317	0.097	-0.021932
0.111017	0.102	-0.012542
0.112683	0.1	-0.006032
0.114350	0.1	-0.001377
0.116017	0.1	0.003229
0.117683	0.1	0.005066
0.119350	0.1	-0.000736
0.121017	0.1	-0.009794
0.122683	0.1	-0.011629
