URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.22.26 absorption remainder.seq/937.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	4.22.26 absorption remainder
Name	AB liver 9
Number	3
Position	RB3
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/22/2026 11:25:14 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500533
Data Points	63842
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.817671
Signal Max.	28.774010
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.13
Average Step (s)	0.10103275

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.006479
0.001667	0.1	0.002450
0.003333	0.1	0.003769
0.005000	0.1	0.009436
0.006667	0.1	0.012405
0.008333	0.1	0.010463
0.010000	0.1	0.001605
0.011667	0.1	-0.011962
0.013333	0.1	-0.026802
0.015000	0.1	-0.031086
0.016667	0.1	-0.026779
0.018333	0.1	-0.014889
0.020000	0.1	-0.002480
0.021667	0.1	-0.014090
0.023317	0.099	-0.053736
0.024983	0.1	-0.097597
0.026650	0.1	-0.132503
0.028317	0.1	-0.155054
0.029983	0.1	-0.167748
0.031983	0.12	-0.175278
0.033650	0.1	-0.177892
0.035317	0.1	-0.183563
0.036983	0.1	-0.196095
0.038633	0.099	-0.212346
0.040300	0.1	-0.218201
0.041967	0.1	-0.208155
0.043633	0.1	-0.189409
0.045300	0.1	-0.175292
0.046967	0.1	-0.169027
0.048633	0.1	-0.173046
0.050300	0.1	-0.183725
0.051967	0.1	-0.185278
0.053633	0.1	-0.174184
0.055300	0.1	-0.159548
0.056967	0.1	-0.144476
0.058633	0.1	-0.127782
0.060300	0.1	-0.113596
0.061967	0.1	-0.108879
0.063633	0.1	-0.109273
0.065633	0.12	-0.105533
0.067300	0.1	-0.101903
0.068967	0.1	-0.104894
0.070633	0.1	-0.114085
0.072300	0.1	-0.129038
0.073983	0.101	-0.139461
0.075633	0.099	-0.128561
0.077300	0.1	-0.097959
0.078967	0.1	-0.066276
0.080633	0.1	-0.049875
0.082300	0.1	-0.044518
0.083967	0.1	-0.043111
0.085633	0.1	-0.040538
0.087300	0.1	-0.038944
