URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/3.31.26 Livers asgr1.seq/402.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	3.31.26 Livers asgr1
Name	Ab liver 3
Number	6
Position	RA6
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/1/2026 2:44:06 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500567
Data Points	63842
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.438075
Signal Max.	62.132210
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103278

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.028587
0.001667	0.1	0.023469
0.003333	0.1	0.021927
0.005000	0.1	0.022433
0.006667	0.1	0.021841
0.008333	0.1	0.020636
0.010000	0.1	0.014386
0.011667	0.1	0.001424
0.013333	0.1	-0.010626
0.015000	0.1	-0.016345
0.016667	0.1	-0.018140
0.018333	0.1	-0.018281
0.020000	0.1	-0.011646
0.021650	0.099	0.003352
0.023317	0.1	0.015888
0.024983	0.1	0.013351
0.026650	0.1	-0.003908
0.028317	0.1	-0.026361
0.029983	0.1	-0.049169
0.031983	0.12	-0.067671
0.033650	0.1	-0.073010
0.035317	0.1	-0.067321
0.036983	0.1	-0.057685
0.038633	0.099	-0.047535
0.040300	0.1	-0.039028
0.041967	0.1	-0.031599
0.043633	0.1	-0.025182
0.045300	0.1	-0.020469
0.046967	0.1	-0.020086
0.048633	0.1	-0.023321
0.050300	0.1	-0.029463
0.051967	0.1	-0.037365
0.053633	0.1	-0.042672
0.055300	0.1	-0.039312
0.056967	0.1	-0.032010
0.058633	0.1	-0.029869
0.060300	0.1	-0.029604
0.061967	0.1	-0.022502
0.063633	0.1	-0.015476
0.065633	0.12	-0.012989
