URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/3.31.26 Livers asgr1.seq/837.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	3.31.26 Livers asgr1
Name	asgr liver 1
Number	4
Position	RA4
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	3/31/2026 11:06:05 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.501150
Data Points	63836
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.330423
Signal Max.	62.015910
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.095
Max. Step (s)	0.129
Average Step (s)	0.10104283

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.029385
0.001650	0.099	0.026668
0.003317	0.1	0.023315
0.004983	0.1	0.026046
0.006667	0.101	0.024676
0.008317	0.099	0.007596
0.009983	0.1	-0.009534
0.011650	0.1	-0.015113
0.013317	0.1	-0.008225
0.014983	0.1	0.005822
0.016650	0.1	0.014598
0.018317	0.1	0.013407
0.019983	0.1	0.004668
0.021650	0.1	-0.007446
0.023317	0.1	-0.015723
0.024983	0.1	-0.017055
0.026650	0.1	-0.016185
0.028317	0.1	-0.016704
0.029983	0.1	-0.026071
0.031650	0.1	-0.047795
0.033650	0.12	-0.068457
0.035350	0.102	-0.075527
0.037017	0.1	-0.075356
0.038667	0.099	-0.072432
0.040317	0.099	-0.067130
0.041983	0.1	-0.060218
0.043650	0.1	-0.055836
0.045317	0.1	-0.057144
0.046983	0.1	-0.057164
0.048650	0.1	-0.053701
0.050317	0.1	-0.047162
0.051983	0.1	-0.047823
0.053650	0.1	-0.059626
0.055317	0.1	-0.072295
0.056983	0.1	-0.077532
0.058650	0.1	-0.070458
0.060317	0.1	-0.055975
0.061983	0.1	-0.043815
0.063650	0.1	-0.037015
0.065317	0.1	-0.034298
0.067317	0.12	-0.037816
0.068983	0.1	-0.041995
0.070650	0.1	-0.039379
0.072317	0.1	-0.027197
0.073983	0.1	-0.014223
0.075650	0.1	-0.011671
0.077317	0.1	-0.013885
0.078983	0.1	-0.015271
0.080650	0.1	-0.023705
0.082317	0.1	-0.032777
0.083983	0.1	-0.035231
0.085650	0.1	-0.033828
0.087317	0.1	-0.032506
0.088983	0.1	-0.025275
0.090650	0.1	-0.013649
0.092317	0.1	-0.013812
0.093983	0.1	-0.025557
0.095650	0.1	-0.036142
0.097317	0.1	-0.038565
0.099367	0.123	-0.033733
0.101033	0.1	-0.024072
