URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/3.30.26 Gwyn 3-4 days.seq/146.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	3.30.26 Gwyn 3-4 days
Name	asgr liver 4
Number	9
Position	RB1
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD_end
Type	Unknown
Status	Finished
Inject Time	3/31/2026 7:35:19 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500217
Data Points	63837
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.829025
Signal Max.	69.432160
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10104037

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.828948
0.001667	0.1	-0.828961
0.003333	0.1	-0.828959
0.005000	0.1	-0.828952
0.006667	0.1	-0.828975
0.008333	0.1	-0.829012
0.010000	0.1	-0.829007
0.011667	0.1	-0.828960
0.013333	0.1	-0.828918
0.014983	0.099	-0.828903
0.016667	0.101	-0.828921
0.018317	0.099	-0.828963
0.019983	0.1	-0.828991
0.021650	0.1	-0.828994
0.023317	0.1	-0.829006
0.024983	0.1	-0.829025
0.026650	0.1	-0.829006
0.028317	0.1	-0.828955
0.030333	0.121	-0.828926
0.031983	0.099	-0.828932
0.033650	0.1	-0.828961
0.035317	0.1	-0.828992
0.036983	0.1	-0.828991
0.038650	0.1	-0.828967
0.040317	0.1	-0.828950
0.041983	0.1	-0.828874
0.043667	0.101	-0.828575
0.045317	0.099	-0.828032
0.046983	0.1	-0.827343
0.048633	0.099	-0.826494
0.050300	0.1	-0.825457
0.051967	0.1	-0.824188
0.053633	0.1	-0.822465
0.055300	0.1	-0.820322
0.056967	0.1	-0.818047
0.058633	0.1	-0.815457
0.060300	0.1	-0.812152
0.062367	0.124	-0.808225
0.063967	0.096	-0.803903
0.065633	0.1	-0.799115
0.067300	0.1	-0.793620
0.068983	0.101	-0.787385
0.070633	0.099	-0.780419
0.072300	0.1	-0.772523
0.073967	0.1	-0.763974
0.075633	0.1	-0.755196
0.077300	0.1	-0.745914
0.078967	0.1	-0.734521
0.080633	0.1	-0.720577
0.082300	0.1	-0.705806
0.083967	0.1	-0.691097
0.085633	0.1	-0.676514
0.087300	0.1	-0.661330
0.088967	0.1	-0.643452
0.090633	0.1	-0.623027
0.092300	0.1	-0.601043
0.093967	0.1	-0.579062
0.095967	0.12	-0.558030
0.097633	0.1	-0.537524
0.099333	0.102	-0.517515
0.100967	0.098	-0.496314
0.102633	0.1	-0.471428
0.104300	0.1	-0.444217
0.105967	0.1	-0.418820
0.107633	0.1	-0.394281
0.109300	0.1	-0.367794
0.110967	0.1	-0.335807
0.112633	0.1	-0.298516
0.114300	0.1	-0.262510
0.115967	0.1	-0.234279
0.117633	0.1	-0.212138
0.119300	0.1	-0.189138
0.120967	0.1	-0.163484
0.122633	0.1	-0.137768
0.124300	0.1	-0.113888
0.125967	0.1	-0.090529
0.127633	0.1	-0.068226
0.129633	0.12	-0.047726
0.131300	0.1	-0.026697
0.132967	0.1	-0.005802
0.134633	0.1	0.009736
0.136300	0.1	0.021635
0.137967	0.1	0.028415
0.139633	0.1	0.034089
0.141300	0.1	0.043359
0.142967	0.1	0.059736
0.144633	0.1	0.076924
0.146300	0.1	0.088329
0.147967	0.1	0.100047
0.149667	0.102	0.112178
0.151333	0.1	0.122073
0.153000	0.1	0.128562
0.154667	0.1	0.129812
0.156333	0.1	0.127469
0.158000	0.1	0.125266
0.159667	0.1	0.128186
0.161333	0.1	0.136453
0.163383	0.123	0.144027
0.165017	0.098	0.150710
0.166667	0.099	0.161404
0.168333	0.1	0.173286
0.170000	0.1	0.187648
0.171667	0.1	0.204176
0.173333	0.1	0.215870
0.175000	0.1	0.225014
0.176667	0.1	0.240471
0.178333	0.1	0.265704
0.180000	0.1	0.294620
0.181667	0.1	0.321736
0.183333	0.1	0.347276
0.185000	0.1	0.369388
0.186667	0.1	0.380766
0.188333	0.1	0.382431
0.190000	0.1	0.382935
0.191667	0.1	0.383003
0.193333	0.1	0.389516
0.195000	0.1	0.404314
0.197000	0.12	0.416550
0.198667	0.1	0.411140
0.200350	0.101	0.387853
0.202033	0.101	0.360262
0.203667	0.098	0.338113
0.205333	0.1	0.325689
0.207000	0.1	0.326253
0.208667	0.1	0.341517
0.210333	0.1	0.362037
0.212000	0.1	0.375090
0.213667	0.1	0.380193
0.215317	0.099	0.373058
0.216983	0.1	0.348306
0.218650	0.1	0.320697
0.220317	0.1	0.300721
0.221983	0.1	0.287915
0.223650	0.1	0.279673
0.225317	0.1	0.271586
0.226983	0.1	0.268333
0.228667	0.101	0.274527
0.230667	0.12	0.288664
0.232333	0.1	0.304670
0.233983	0.099	0.312614
0.235633	0.099	0.308240
0.237317	0.101	0.301778
0.238967	0.099	0.297178
0.240650	0.101	0.281689
0.242300	0.099	0.260117
0.243983	0.101	0.254868
0.245633	0.099	0.269271
0.247317	0.101	0.287478
0.248967	0.099	0.296848
0.250650	0.101	0.295635
0.252300	0.099	0.281497
0.253983	0.101	0.261360
0.255633	0.099	0.249752
0.257317	0.101	0.242416
0.258967	0.099	0.235808
0.260650	0.101	0.234779
0.262700	0.123	0.240577
0.264300	0.096	0.251689
0.265967	0.1	0.265884
0.267633	0.1	0.274275
0.269317	0.101	0.272671
0.270967	0.099	0.259037
0.272633	0.1	0.236429
0.274300	0.1	0.217145
0.275967	0.1	0.208760
0.277633	0.1	0.208124
0.279300	0.1	0.208515
0.280967	0.1	0.206967
0.282633	0.1	0.206529
0.284300	0.1	0.211325
0.285967	0.1	0.218187
0.287633	0.1	0.222366
0.289300	0.1	0.221629
0.290967	0.1	0.220321
0.292633	0.1	0.224401
0.294300	0.1	0.231242
0.296317	0.121	0.230030
0.297967	0.099	0.223967
0.299633	0.1	0.223016
0.301300	0.1	0.221049
0.302967	0.1	0.214925
0.304633	0.1	0.206488
0.306300	0.1	0.204708
0.307967	0.1	0.211059
0.309633	0.1	0.213170
0.311300	0.1	0.207326
0.312967	0.1	0.204640
0.314633	0.1	0.211867
0.316300	0.1	0.221774
0.317967	0.1	0.222523
0.319633	0.1	0.217575
0.321300	0.1	0.217134
0.322967	0.1	0.222225
0.324633	0.1	0.226341
0.326300	0.1	0.228901
0.327967	0.1	0.231122
0.329967	0.12	0.236673
0.331633	0.1	0.245282
0.333300	0.1	0.251065
0.334967	0.1	0.249446
0.336633	0.1	0.243260
0.338300	0.1	0.240829
0.339967	0.1	0.242888
0.341633	0.1	0.248638
0.343300	0.1	0.255772
0.344967	0.1	0.257185
0.346633	0.1	0.252748
0.348333	0.102	0.252077
0.350000	0.1	0.254106
0.351667	0.1	0.257258
0.353333	0.1	0.263700
0.355000	0.1	0.270699
0.356667	0.1	0.270861
0.358350	0.101	0.265383
0.360000	0.099	0.262291
0.361667	0.1	0.261304
0.363667	0.12	0.260063
0.365350	0.101	0.255352
0.367000	0.099	0.250039
0.368683	0.101	0.251493
0.370333	0.099	0.254147
0.372000	0.1	0.256114
0.373667	0.1	0.258504
0.375333	0.1	0.261555
0.377000	0.1	0.263427
0.378667	0.1	0.264474
0.380333	0.1	0.258351
0.382000	0.1	0.250330
0.383667	0.1	0.251994
0.385350	0.101	0.257621
0.387000	0.099	0.255431
0.388667	0.1	0.250547
0.390333	0.1	0.252290
0.392000	0.1	0.255919
0.393667	0.1	0.257585
0.395333	0.1	0.256618
0.397333	0.12	0.251750
0.398983	0.099	0.254269
0.400650	0.1	0.262999
0.402317	0.1	0.263174
0.403983	0.1	0.257509
0.405650	0.1	0.256682
0.407317	0.1	0.258344
0.408983	0.1	0.259305
0.410650	0.1	0.264268
0.412333	0.101	0.265195
0.413983	0.099	0.251250
0.415650	0.1	0.232649
0.417317	0.1	0.219780
0.418983	0.1	0.216590
0.420650	0.1	0.226702
0.422317	0.1	0.242727
0.423983	0.1	0.253388
0.425650	0.1	0.251735
0.427317	0.1	0.243118
0.428983	0.1	0.239109
0.431000	0.121	0.241295
0.432667	0.1	0.246283
0.434300	0.098	0.251948
0.435983	0.101	0.257984
0.437633	0.099	0.267109
0.439317	0.101	0.275174
0.440967	0.099	0.276315
0.442633	0.1	0.272443
0.444300	0.1	0.266778
0.445967	0.1	0.253699
0.447633	0.1	0.242297
0.449300	0.1	0.242326
0.450967	0.1	0.250007
0.452633	0.1	0.259721
0.454300	0.1	0.267073
0.455967	0.1	0.271094
0.457633	0.1	0.269202
0.459300	0.1	0.258740
0.460967	0.1	0.247528
0.463017	0.123	0.236615
0.464750	0.104	0.225347
0.466450	0.102	0.223933
0.468083	0.098	0.235913
0.469783	0.102	0.251563
0.471417	0.098	0.261034
