URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/3.30.26 Gwyn 3-4 days.seq/713.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	3.30.26 Gwyn 3-4 days
Name	asgr liver 5
Number	7
Position	RA7
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	3/31/2026 3:57:16 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500917
Data Points	63839
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.275691
Signal Max.	52.277840
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103786

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.023576
0.001683	0.101	-0.018792
0.003333	0.099	-0.008628
0.005017	0.101	-0.003096
0.006667	0.099	-0.003950
0.008350	0.101	-0.009430
0.010000	0.099	-0.017692
0.011683	0.101	-0.025138
0.013333	0.099	-0.023128
0.015017	0.101	-0.018868
0.016667	0.099	-0.023361
0.018333	0.1	-0.031420
0.019983	0.099	-0.038186
0.021667	0.101	-0.046612
0.023317	0.099	-0.050951
0.025000	0.101	-0.050625
0.026650	0.099	-0.054224
0.028333	0.101	-0.065328
0.029983	0.099	-0.083268
0.031983	0.12	-0.100972
0.033650	0.1	-0.112707
0.035333	0.101	-0.114221
0.037000	0.1	-0.112289
0.038633	0.098	-0.112114
0.040300	0.1	-0.110536
0.041967	0.1	-0.102193
0.043633	0.1	-0.088259
0.045317	0.101	-0.077149
0.046967	0.099	-0.073757
0.048633	0.1	-0.073929
0.050300	0.1	-0.071588
0.051967	0.1	-0.067098
0.053633	0.1	-0.070072
0.055300	0.1	-0.081682
0.056967	0.1	-0.089642
0.058633	0.1	-0.086375
0.060300	0.1	-0.076732
0.061967	0.1	-0.069653
0.063633	0.1	-0.065638
0.065633	0.12	-0.061187
0.067300	0.1	-0.060474
0.069000	0.102	-0.065197
0.070633	0.098	-0.069629
0.072300	0.1	-0.070309
0.073967	0.1	-0.069257
0.075633	0.1	-0.070847
0.077300	0.1	-0.072370
0.078967	0.1	-0.068953
0.080633	0.1	-0.062842
0.082300	0.1	-0.056173
0.083967	0.1	-0.054497
0.085633	0.1	-0.060894
0.087300	0.1	-0.069694
0.088967	0.1	-0.072738
0.090633	0.1	-0.070317
0.092300	0.1	-0.068549
0.093967	0.1	-0.060433
0.095633	0.1	-0.042203
0.097300	0.1	-0.019386
0.099300	0.12	-0.004582
0.100967	0.1	-0.007688
0.102633	0.1	-0.020917
0.104317	0.101	-0.030806
0.105983	0.1	-0.038611
0.107633	0.099	-0.047236
0.109300	0.1	-0.056334
0.110967	0.1	-0.065831
0.112633	0.1	-0.076958
0.114300	0.1	-0.078032
0.115967	0.1	-0.061108
0.117633	0.1	-0.037130
0.119300	0.1	-0.021777
0.120967	0.1	-0.017296
0.122633	0.1	-0.020941
0.124300	0.1	-0.025135
0.125967	0.1	-0.023591
0.127633	0.1	-0.015704
0.129300	0.1	-0.010856
0.130967	0.1	-0.012696
0.132967	0.12	-0.018222
0.134633	0.1	-0.018754
0.136350	0.103	-0.014103
0.137967	0.097	-0.005721
0.139633	0.1	0.006093
0.141300	0.1	0.015127
0.142967	0.1	0.012153
0.144633	0.1	-0.002878
0.146300	0.1	-0.024269
0.147967	0.1	-0.043615
0.149633	0.1	-0.055665
0.151333	0.102	-0.062928
0.153000	0.1	-0.063215
0.154667	0.1	-0.056850
0.156333	0.1	-0.053471
0.158017	0.101	-0.057272
0.159667	0.099	-0.063049
0.161333	0.1	-0.060729
0.163000	0.1	-0.049392
0.165000	0.12	-0.039994
0.166667	0.1	-0.034722
0.168333	0.1	-0.025173
0.170000	0.1	-0.012383
0.171667	0.1	-0.000254
0.173333	0.1	0.006003
0.175000	0.1	-0.001319
0.176667	0.1	-0.016322
0.178333	0.1	-0.023405
0.180000	0.1	-0.017294
0.181667	0.1	-0.006272
0.183333	0.1	-0.001928
0.185000	0.1	-0.009018
0.186667	0.1	-0.018288
0.188333	0.1	-0.020124
0.190000	0.1	-0.020080
0.191667	0.1	-0.023959
0.193333	0.1	-0.030306
0.195000	0.1	-0.031385
0.196667	0.1	-0.025726
0.198667	0.12	-0.017283
0.200333	0.1	-0.017164
0.201983	0.099	-0.025067
0.203683	0.102	-0.031852
0.205367	0.101	-0.027112
0.206983	0.097	-0.018568
0.208650	0.1	-0.025041
0.210317	0.1	-0.043593
0.212017	0.102	-0.055392
0.213650	0.098	-0.053318
0.215317	0.1	-0.047301
0.217000	0.101	-0.039343
0.218633	0.098	-0.030472
0.220300	0.1	-0.028837
0.221967	0.1	-0.030603
0.223633	0.1	-0.029980
0.225300	0.1	-0.025866
0.226967	0.1	-0.020777
0.228633	0.1	-0.014373
0.230300	0.1	-0.013128
0.232300	0.12	-0.022350
0.233967	0.1	-0.031638
0.235667	0.102	-0.030588
0.237317	0.099	-0.023845
0.238967	0.099	-0.019446
0.240633	0.1	-0.015883
0.242300	0.1	-0.014159
0.243967	0.1	-0.012384
0.245633	0.1	-0.009052
0.247317	0.101	-0.008126
0.248967	0.099	-0.008089
0.250633	0.1	-0.007389
0.252300	0.1	-0.004428
0.253967	0.1	-0.001432
0.255633	0.1	-0.002891
0.257300	0.1	-0.010686
0.258967	0.1	-0.022693
0.260633	0.1	-0.027782
0.262300	0.1	-0.024360
0.264017	0.103	-0.020617
0.265967	0.117	-0.019583
0.267633	0.1	-0.021957
0.269300	0.1	-0.027351
0.270967	0.1	-0.035085
0.272633	0.1	-0.045471
0.274300	0.1	-0.050729
0.275967	0.1	-0.050977
0.277633	0.1	-0.048733
0.279300	0.1	-0.035872
0.280967	0.1	-0.010804
0.282633	0.1	0.010544
0.284300	0.1	0.012590
0.285967	0.1	-0.003701
0.287633	0.1	-0.020145
