URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.22.26 absorption remainder.seq/781.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	4.22.26 absorption remainder
Name	asgr liver 6
Number	1
Position	RB1
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/22/2026 7:47:30 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500750
Data Points	63839
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.669715
Signal Max.	57.104750
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.095
Max. Step (s)	0.129
Average Step (s)	0.1010377

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.027751
0.001667	0.1	0.019595
0.003333	0.1	0.019231
0.005000	0.1	0.023115
0.006667	0.1	0.019018
0.008333	0.1	0.006714
0.010000	0.1	-0.000922
0.011683	0.101	-0.002701
0.013333	0.099	-0.001972
0.015000	0.1	-0.006030
0.016667	0.1	-0.012793
0.018333	0.1	-0.011993
0.020000	0.1	-0.004424
0.021667	0.1	0.000168
0.023333	0.1	-0.005613
0.025000	0.1	-0.012986
0.026667	0.1	-0.018886
0.028400	0.104	-0.027328
0.030083	0.101	-0.040968
0.031750	0.1	-0.060338
0.033767	0.121	-0.080406
0.035417	0.099	-0.095720
0.037083	0.1	-0.096954
0.038750	0.1	-0.084065
0.040417	0.1	-0.074884
0.042083	0.1	-0.072847
0.043750	0.1	-0.075470
0.045417	0.1	-0.078640
0.047083	0.1	-0.082843
0.048750	0.1	-0.086683
0.050417	0.1	-0.088516
0.052083	0.1	-0.083931
0.053750	0.1	-0.071591
0.055417	0.1	-0.063987
0.057083	0.1	-0.061599
0.058750	0.1	-0.056031
0.060417	0.1	-0.049746
0.062083	0.1	-0.048721
0.063750	0.1	-0.046341
0.065417	0.1	-0.039840
0.067417	0.12	-0.029830
0.069117	0.102	-0.021785
0.070767	0.099	-0.017654
0.072450	0.101	-0.008651
0.074083	0.098	0.000052
0.075750	0.1	-0.001811
0.077417	0.1	-0.014701
0.079083	0.1	-0.028445
0.080750	0.1	-0.028011
0.082417	0.1	-0.019251
0.084083	0.1	-0.020651
0.085750	0.1	-0.023658
0.087417	0.1	-0.023060
0.089083	0.1	-0.015935
0.090750	0.1	0.001714
0.092417	0.1	0.021297
0.094083	0.1	0.031939
0.095750	0.1	0.032891
0.097417	0.1	0.021343
0.099083	0.1	-0.005595
0.101083	0.12	-0.029903
0.102750	0.1	-0.038303
0.104417	0.1	-0.035742
0.106083	0.1	-0.028500
0.107750	0.1	-0.018975
0.109417	0.1	-0.016921
0.111083	0.1	-0.022517
0.112750	0.1	-0.028568
0.114417	0.1	-0.030076
0.116083	0.1	-0.028080
0.117783	0.102	-0.023845
0.119450	0.1	-0.020989
0.121117	0.1	-0.018209
0.122783	0.1	-0.012744
0.124467	0.101	-0.006127
0.126117	0.099	-0.001489
0.127783	0.1	-0.000110
0.129450	0.1	0.004340
0.131117	0.1	0.005261
0.133133	0.121	-0.000286
0.134783	0.099	0.000094
0.136450	0.1	0.007304
0.138117	0.1	0.007465
0.139817	0.102	-0.002378
0.141450	0.098	-0.017107
0.143117	0.1	-0.032448
0.144783	0.1	-0.048724
0.146450	0.1	-0.063915
0.148117	0.1	-0.066909
0.149817	0.102	-0.060105
0.151433	0.097	-0.048674
0.153100	0.1	-0.030391
0.154767	0.1	-0.005857
0.156433	0.1	0.019722
0.158100	0.1	0.039847
0.159767	0.1	0.047114
0.161450	0.101	0.040906
0.163100	0.099	0.026239
0.164767	0.1	0.014341
0.166783	0.121	0.010834
0.168417	0.098	0.010006
0.170117	0.102	0.008011
0.171750	0.098	0.005730
0.173433	0.101	0.004010
