URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.6.26Finish rep 1 intestines wiht reruns.seq/908.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	4.6.26Finish rep 1 intestines wiht reruns
Name	asgr liver 7
Number	9
Position	RB1
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/8/2026 7:18:56 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.501367
Data Points	63839
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.377880
Signal Max.	45.081910
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.13
Average Step (s)	0.10103828

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.006615
0.001667	0.1	0.005969
0.003333	0.1	0.012019
0.005000	0.1	0.024222
0.006667	0.1	0.027287
0.008333	0.1	0.014978
0.010000	0.1	-0.003222
0.011667	0.1	-0.015810
0.013333	0.1	-0.016130
0.015000	0.1	-0.008934
0.016667	0.1	-0.003295
0.018333	0.1	0.000142
0.020000	0.1	0.002440
0.021667	0.1	0.002351
0.023333	0.1	0.002688
0.025050	0.103	0.005169
0.026667	0.097	0.005913
0.028717	0.123	-0.000527
0.030333	0.097	-0.016172
0.032033	0.102	-0.033803
0.033733	0.102	-0.044991
0.035417	0.101	-0.048837
0.037083	0.1	-0.049453
0.038750	0.1	-0.047807
0.040417	0.1	-0.043883
0.042083	0.1	-0.040919
0.043750	0.1	-0.037750
0.045417	0.1	-0.036360
0.047083	0.1	-0.042500
0.048750	0.1	-0.055501
0.050417	0.1	-0.064767
0.052083	0.1	-0.067374
0.053750	0.1	-0.064812
0.055417	0.1	-0.053609
0.057083	0.1	-0.032909
0.058750	0.1	-0.016250
0.060417	0.1	-0.016554
0.062417	0.12	-0.027300
0.064083	0.1	-0.037685
0.065750	0.1	-0.039836
0.067417	0.1	-0.037015
0.069083	0.1	-0.031159
0.070750	0.1	-0.021584
0.072417	0.1	-0.010142
0.074083	0.1	-0.002152
0.075750	0.1	0.002998
0.077417	0.1	0.005821
0.079083	0.1	0.005454
0.080750	0.1	-0.001008
0.082417	0.1	-0.015911
0.084083	0.1	-0.027726
0.085750	0.1	-0.028085
0.087417	0.1	-0.025832
0.089083	0.1	-0.031196
0.090750	0.1	-0.037621
0.092417	0.1	-0.035523
0.094083	0.1	-0.027460
0.096083	0.12	-0.017383
0.097750	0.1	-0.006162
0.099417	0.1	-0.000442
0.101083	0.1	-0.004783
0.102750	0.1	-0.014576
0.104417	0.1	-0.018050
0.106083	0.1	-0.016033
0.107750	0.1	-0.013074
0.109417	0.1	-0.009072
0.111083	0.1	-0.008242
0.112750	0.1	-0.012858
0.114417	0.1	-0.020235
0.116133	0.103	-0.019910
0.117783	0.099	-0.007952
0.119467	0.101	0.010796
0.121117	0.099	0.026534
0.122800	0.101	0.028721
0.124450	0.099	0.021651
0.126133	0.101	0.010956
0.127783	0.099	0.001960
0.129783	0.12	0.003480
0.131450	0.1	0.008835
0.133150	0.102	0.010868
0.134783	0.098	0.008740
0.136450	0.1	0.003584
0.138117	0.1	-0.003052
0.139783	0.1	-0.007966
0.141450	0.1	-0.011837
0.143117	0.1	-0.014719
0.144783	0.1	-0.017601
0.146450	0.1	-0.018303
0.148117	0.1	-0.017070
0.149783	0.1	-0.014746
0.151450	0.1	-0.011330
0.153117	0.1	-0.009179
0.154783	0.1	-0.009591
0.156450	0.1	-0.008418
0.158117	0.1	-0.006693
0.159783	0.1	-0.007263
0.161850	0.124	-0.004875
0.163533	0.101	0.000592
0.165167	0.098	0.006147
0.166833	0.1	0.008729
0.168500	0.1	0.007508
0.170167	0.1	0.003357
0.171833	0.1	-0.004823
0.173500	0.1	-0.011529
0.175167	0.1	-0.012050
0.176833	0.1	-0.005038
0.178500	0.1	0.005216
0.180167	0.1	0.009163
0.181833	0.1	0.011399
0.183500	0.1	0.013758
0.185167	0.1	0.013661
0.186833	0.1	0.009749
0.188500	0.1	-0.000571
0.190167	0.1	-0.010219
0.191833	0.1	-0.007361
0.193500	0.1	0.007690
0.195567	0.124	0.021051
0.197183	0.097	0.028454
0.198900	0.103	0.031050
0.200567	0.1	0.031511
0.202217	0.099	0.031454
0.203833	0.097	0.029837
0.205500	0.1	0.022160
0.207167	0.1	0.014415
0.208833	0.1	0.013806
0.210500	0.1	0.017107
0.212167	0.1	0.015739
0.213833	0.1	0.007539
0.215533	0.102	0.005536
0.217200	0.1	0.013331
0.218867	0.1	0.027932
0.220533	0.1	0.038984
0.222200	0.1	0.036908
0.223867	0.1	0.028711
0.225533	0.1	0.022628
0.227200	0.1	0.024856
0.229200	0.12	0.029884
0.230867	0.1	0.027978
0.232533	0.1	0.026014
0.234200	0.1	0.027502
0.235900	0.102	0.024450
0.237533	0.098	0.014805
0.239200	0.1	0.006845
0.240867	0.1	0.003754
0.242533	0.1	0.001909
0.244200	0.1	-0.000259
0.245867	0.1	-0.004959
0.247533	0.1	-0.012866
0.249200	0.1	-0.018330
0.250867	0.1	-0.018913
0.252533	0.1	-0.017390
0.254200	0.1	-0.016268
0.255867	0.1	-0.016449
0.257533	0.1	-0.022255
0.259200	0.1	-0.028690
0.260867	0.1	-0.024454
0.262867	0.12	-0.010182
0.264533	0.1	0.008959
0.266217	0.101	0.022108
0.267850	0.098	0.019115
0.269517	0.1	0.006559
0.271183	0.1	0.004748
0.272850	0.1	0.014474
0.274517	0.1	0.022053
0.276183	0.1	0.019610
0.277850	0.1	0.009902
0.279517	0.1	0.004499
0.281183	0.1	0.012638
0.282833	0.099	0.030755
0.284500	0.1	0.047000
0.286183	0.101	0.051961
0.287833	0.099	0.046601
0.289500	0.1	0.037248
0.291167	0.1	0.025957
0.292833	0.1	0.021149
0.294500	0.1	0.020960
0.296533	0.122	0.013397
0.298167	0.098	0.002396
0.299833	0.1	-0.005216
0.301517	0.101	-0.002672
0.303167	0.099	-0.001783
0.304833	0.1	-0.013670
0.306500	0.1	-0.024140
0.308167	0.1	-0.023890
0.309833	0.1	-0.017166
0.311500	0.1	-0.005478
0.313167	0.1	0.008110
0.314833	0.1	0.012939
0.316500	0.1	0.007996
0.318167	0.1	0.000765
0.319833	0.1	-0.001043
0.321500	0.1	-0.005123
0.323167	0.1	-0.016315
0.324833	0.1	-0.023207
0.326500	0.1	-0.022620
0.328167	0.1	-0.024136
0.330167	0.12	-0.034177
0.331833	0.1	-0.043684
