URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.22.26 absorption remainder.seq/907.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	4.22.26 absorption remainder
Name	asgr liver 8
Number	6
Position	RB6
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/23/2026 4:51:42 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500833
Data Points	63837
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.790573
Signal Max.	83.296080
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.095
Max. Step (s)	0.13
Average Step (s)	0.10104095

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.047381
0.001667	0.1	0.055960
0.003333	0.1	0.048801
0.005000	0.1	0.022154
0.006667	0.1	-0.004458
0.008333	0.1	-0.018631
0.010000	0.1	-0.022525
0.011667	0.1	-0.020324
0.013333	0.1	-0.014771
0.015000	0.1	-0.002894
0.016667	0.1	0.009508
0.018333	0.1	0.017683
0.020000	0.1	0.015302
0.021667	0.1	0.003510
0.023333	0.1	-0.007095
0.025000	0.1	-0.007655
0.026667	0.1	-0.004030
0.028367	0.102	-0.008451
0.030367	0.12	-0.016778
0.032050	0.101	-0.027791
0.033700	0.099	-0.046054
0.035383	0.101	-0.058489
0.037083	0.102	-0.062012
0.038700	0.097	-0.060250
0.040367	0.1	-0.053594
0.042033	0.1	-0.048927
0.043700	0.1	-0.047835
0.045367	0.1	-0.050673
0.047033	0.1	-0.053551
0.048700	0.1	-0.055593
0.050367	0.1	-0.059069
0.052033	0.1	-0.059879
0.053700	0.1	-0.051736
0.055367	0.1	-0.033354
0.057033	0.1	-0.015061
0.058700	0.1	-0.008581
0.060367	0.1	-0.014334
0.062033	0.1	-0.025029
0.064067	0.122	-0.025473
0.065700	0.098	-0.009715
0.067367	0.1	0.007275
0.069033	0.1	0.014109
0.070700	0.1	0.012872
0.072367	0.1	0.007363
0.074033	0.1	0.007714
0.075700	0.1	0.014304
0.077367	0.1	0.016863
0.079033	0.1	0.018639
0.080700	0.1	0.023806
0.082367	0.1	0.027955
0.084033	0.1	0.022261
0.085700	0.1	0.011014
0.087367	0.1	0.007633
0.089033	0.1	0.018598
0.090700	0.1	0.033138
0.092367	0.1	0.036330
0.094033	0.1	0.029818
0.095683	0.099	0.017280
0.097700	0.121	0.009029
0.099367	0.1	0.013445
0.101017	0.099	0.022303
0.102700	0.101	0.026484
0.104350	0.099	0.031430
0.106017	0.1	0.035025
0.107683	0.1	0.032908
0.109350	0.1	0.037476
0.111017	0.1	0.052667
0.112667	0.099	0.069937
0.114333	0.1	0.082556
0.116000	0.1	0.089280
0.117667	0.1	0.090591
0.119333	0.1	0.086285
0.121000	0.1	0.079389
0.122667	0.1	0.067182
0.124333	0.1	0.058159
0.126000	0.1	0.062023
0.127667	0.1	0.077347
0.129717	0.123	0.091068
0.131450	0.104	0.092895
0.133133	0.101	0.088295
0.134783	0.099	0.086365
0.136450	0.1	0.085367
0.138117	0.1	0.086322
0.139783	0.1	0.079027
0.141483	0.102	0.062100
0.143117	0.098	0.051858
0.144783	0.1	0.049056
0.146450	0.1	0.044307
0.148117	0.1	0.039284
0.149783	0.1	0.041350
0.151450	0.1	0.046011
0.153117	0.1	0.052118
0.154783	0.1	0.058261
0.156450	0.1	0.057432
0.158150	0.102	0.051207
0.159783	0.098	0.049249
0.161450	0.1	0.050271
0.163450	0.12	0.043095
0.165117	0.1	0.030463
0.166783	0.1	0.025044
0.168450	0.1	0.018933
0.170117	0.1	0.009297
0.171783	0.1	0.008044
0.173450	0.1	0.017427
0.175117	0.1	0.027839
0.176783	0.1	0.027732
0.178433	0.099	0.016714
0.180100	0.1	0.007470
0.181767	0.1	0.003162
0.183433	0.1	0.004639
0.185100	0.1	0.016340
0.186767	0.1	0.035238
0.188433	0.1	0.052623
0.190100	0.1	0.063725
0.191767	0.1	0.062244
0.193433	0.1	0.050686
0.195083	0.099	0.040754
0.197083	0.12	0.035042
0.198767	0.101	0.027636
0.200417	0.099	0.015558
0.202117	0.102	0.005397
0.203750	0.098	-0.009852
0.205433	0.101	-0.020392
0.207083	0.099	-0.011005
0.208767	0.101	0.011405
0.210417	0.099	0.025632
0.212100	0.101	0.022288
0.213750	0.099	0.016868
0.215433	0.101	0.014851
0.217083	0.099	0.006912
0.218767	0.101	-0.011668
0.220417	0.099	-0.029869
0.222100	0.101	-0.037305
0.223750	0.099	-0.034500
0.225433	0.101	-0.021681
0.227083	0.099	-0.006010
0.228767	0.101	0.002071
0.230750	0.119	0.004618
0.232417	0.1	0.004116
0.234083	0.1	-0.002872
0.235750	0.1	-0.017010
0.237417	0.1	-0.029370
0.239083	0.1	-0.036185
0.240750	0.1	-0.036321
0.242417	0.1	-0.032182
0.244083	0.1	-0.030962
0.245750	0.1	-0.034488
0.247417	0.1	-0.038550
0.249083	0.1	-0.032795
0.250750	0.1	-0.017306
0.252417	0.1	-0.004882
0.254083	0.1	-0.000970
0.255750	0.1	0.003068
0.257417	0.1	0.009132
0.259083	0.1	0.015990
0.260750	0.1	0.026244
0.262417	0.1	0.029168
0.264467	0.123	0.019695
0.266117	0.099	0.009953
0.267750	0.098	0.006942
0.269433	0.101	0.003257
0.271083	0.099	-0.001739
0.272750	0.1	-0.005729
0.274417	0.1	-0.004699
0.276083	0.1	-0.003394
0.277750	0.1	-0.003478
0.279417	0.1	0.000065
0.281083	0.1	0.000267
0.282750	0.1	-0.002846
0.284417	0.1	0.000002
0.286083	0.1	0.011597
0.287750	0.1	0.021453
0.289417	0.1	0.014030
0.291083	0.1	-0.000452
0.292750	0.1	-0.010377
0.294417	0.1	-0.017751
0.296083	0.1	-0.023534
0.298083	0.12	-0.024219
0.299750	0.1	-0.012671
0.301417	0.1	0.008438
0.303083	0.1	0.030030
0.304750	0.1	0.033602
0.306417	0.1	0.023307
0.308083	0.1	0.015297
0.309750	0.1	0.012181
0.311417	0.1	0.014015
0.313083	0.1	0.021180
0.314750	0.1	0.027128
0.316417	0.1	0.028893
0.318083	0.1	0.026069
0.319750	0.1	0.026138
0.321417	0.1	0.032697
0.323083	0.1	0.036281
0.324750	0.1	0.028622
0.326433	0.101	0.025299
0.328083	0.099	0.034169
0.329750	0.1	0.042737
0.331750	0.12	0.031932
0.333417	0.1	0.004965
0.335083	0.1	-0.021699
0.336750	0.1	-0.032321
0.338417	0.1	-0.030075
0.340083	0.1	-0.028799
0.341750	0.1	-0.025401
0.343417	0.1	-0.011361
0.345083	0.1	0.004295
0.346750	0.1	0.009656
0.348417	0.1	0.009744
0.350083	0.1	0.014675
0.351750	0.1	0.021877
0.353417	0.1	0.024584
0.355083	0.1	0.020117
0.356750	0.1	0.011667
0.358417	0.1	0.008744
0.360083	0.1	0.013067
0.361750	0.1	0.026018
0.363800	0.123	0.033294
0.365417	0.097	0.020798
0.367083	0.1	0.003968
0.368750	0.1	-0.001286
0.370417	0.1	0.007553
0.372083	0.1	0.022697
0.373750	0.1	0.041626
0.375417	0.1	0.059255
0.377083	0.1	0.062893
0.378783	0.102	0.054235
0.380450	0.1	0.048012
0.382117	0.1	0.040884
0.383783	0.1	0.030366
0.385450	0.1	0.017794
0.387117	0.1	0.005196
0.388783	0.1	0.002149
0.390450	0.1	0.008796
0.392117	0.1	0.014992
0.393783	0.1	0.016054
0.395450	0.1	0.008317
0.397467	0.121	-0.001904
0.399117	0.099	-0.005573
0.400783	0.1	-0.006716
0.402483	0.102	-0.010912
0.404117	0.098	-0.013804
0.405783	0.1	-0.010669
0.407450	0.1	-0.002325
0.409117	0.1	0.009370
0.410783	0.1	0.020239
0.412450	0.1	0.023750
0.414117	0.1	0.021550
0.415783	0.1	0.022353
0.417450	0.1	0.029992
0.419117	0.1	0.044280
0.420783	0.1	0.058296
0.422450	0.1	0.068783
0.424117	0.1	0.077215
0.425783	0.1	0.077292
0.427450	0.1	0.061848
0.429100	0.099	0.042401
0.431100	0.12	0.034102
0.432767	0.1	0.033679
0.434433	0.1	0.035165
0.436100	0.1	0.030610
0.437767	0.1	0.020931
0.439433	0.1	0.013598
0.441100	0.1	0.010030
0.442767	0.1	0.015129
0.444433	0.1	0.024328
0.446083	0.099	0.032529
0.447750	0.1	0.040509
0.449417	0.1	0.049932
0.451083	0.1	0.056837
0.452750	0.1	0.057080
0.454417	0.1	0.047598
0.456083	0.1	0.029301
0.457750	0.1	0.012802
0.459417	0.1	0.002500
0.461083	0.1	-0.002203
0.462750	0.1	-0.003003
0.464750	0.12	-0.002436
0.466417	0.1	0.000345
0.468117	0.102	0.009307
0.469750	0.098	0.027979
0.471417	0.1	0.047853
0.473083	0.1	0.061935
0.474750	0.1	0.067576
0.476417	0.1	0.064401
0.478083	0.1	0.062400
0.479750	0.1	0.062738
0.481417	0.1	0.052068
0.483083	0.1	0.030809
0.484750	0.1	0.012217
0.486417	0.1	0.007062
0.488083	0.1	0.017465
0.489750	0.1	0.033013
0.491417	0.1	0.043855
0.493100	0.101	0.042187
0.494750	0.099	0.034056
0.496417	0.1	0.032029
0.498417	0.12	0.040980
0.500083	0.1	0.054420
0.501767	0.101	0.056504
0.503417	0.099	0.044193
0.505083	0.1	0.038798
0.506750	0.1	0.043561
0.508417	0.1	0.038561
0.510083	0.1	0.018899
0.511750	0.1	0.001316
0.513417	0.1	-0.002708
0.515083	0.1	0.003899
0.516750	0.1	0.009817
0.518417	0.1	0.013848
0.520083	0.1	0.022370
0.521750	0.1	0.030514
0.523417	0.1	0.035112
0.525083	0.1	0.048802
0.526750	0.1	0.070527
0.528417	0.1	0.082664
0.530083	0.1	0.074088
0.532083	0.12	0.055300
0.533817	0.104	0.046304
0.535433	0.097	0.044954
0.537083	0.099	0.034612
0.538750	0.1	0.018899
0.540417	0.1	0.006033
0.542083	0.1	-0.000743
0.543750	0.1	0.001767
0.545483	0.104	0.005420
0.547083	0.096	0.001189
0.548750	0.1	-0.010845
0.550417	0.1	-0.012964
0.552083	0.1	-0.004348
0.553750	0.1	0.006787
0.555417	0.1	0.010669
0.557083	0.1	0.005422
0.558750	0.1	-0.003624
0.560417	0.1	-0.015121
0.562117	0.102	-0.020876
0.564167	0.123	-0.017481
0.565800	0.098	-0.012755
0.567450	0.099	-0.007673
0.569117	0.1	-0.007495
0.570817	0.102	-0.009006
0.572450	0.098	-0.004612
0.574117	0.1	0.005007
0.575783	0.1	0.013999
0.577450	0.1	0.017121
0.579117	0.1	0.011178
0.580783	0.1	0.001903
0.582450	0.1	0.000205
0.584117	0.1	0.005013
0.585783	0.1	0.012378
0.587450	0.1	0.016010
0.589117	0.1	0.019760
0.590783	0.1	0.023326
0.592450	0.1	0.021074
0.594117	0.1	0.010439
0.595783	0.1	-0.006182
0.597783	0.12	-0.018103
0.599450	0.1	-0.014417
0.601117	0.1	0.000025
0.602817	0.102	0.007287
0.604450	0.098	0.008942
0.606117	0.1	0.013324
0.607783	0.1	0.025371
0.609450	0.1	0.035844
0.611117	0.1	0.039997
0.612767	0.099	0.046843
0.614433	0.1	0.057213
0.616100	0.1	0.061117
0.617767	0.1	0.053886
0.619433	0.1	0.036274
0.621100	0.1	0.012043
0.622767	0.1	-0.000369
0.624433	0.1	0.008360
0.626100	0.1	0.026650
0.627767	0.1	0.047880
0.629417	0.099	0.075040
0.631450	0.122	0.105566
0.633083	0.098	0.135771
0.634783	0.102	0.187858
0.636417	0.098	0.303200
0.638083	0.1	0.533534
0.639783	0.102	0.902957
0.641417	0.098	1.406590
0.643083	0.1	2.049664
0.644750	0.1	2.870848
0.646417	0.1	3.875425
0.648100	0.101	5.043663
0.649750	0.099	6.313940
0.651417	0.1	7.683079
0.653083	0.1	9.192552
0.654750	0.1	10.807030
0.656433	0.101	12.433420
0.658083	0.099	14.042810
0.659750	0.1	15.700500
0.661417	0.1	17.434970
0.663083	0.1	19.165470
0.665117	0.122	20.748630
0.666750	0.098	22.190640
0.668433	0.101	23.680730
0.670100	0.1	25.265440
0.671767	0.1	27.058920
0.673417	0.099	28.907090
0.675100	0.101	30.648910
0.676750	0.099	32.347400
0.678433	0.101	33.895520
0.680083	0.099	34.944610
0.681750	0.1	35.492400
0.683417	0.1	35.788050
0.685083	0.1	36.196570
0.686750	0.1	36.794490
0.688417	0.1	37.463670
