URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.22.26 absorption remainder.seq/391.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.22.26 absorption remainder
Name	AB liver 10
Number	9
Position	RC1
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Interrupted
Inject Time	4/23/2026 10:18:28 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003300
Time Max. (min)	60.506633
Data Points	18152
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-128,746.000000
Signal Max.	2,825,378.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003300	n.a.	0.000000
0.006633	0.2	0.000000
0.009967	0.2	0.000000
0.013300	0.2	0.000000
0.016633	0.2	0.000000
0.019967	0.2	0.000000
0.023300	0.2	0.000000
0.026633	0.2	0.000000
0.029967	0.2	0.000000
0.033300	0.2	0.000000
0.036633	0.2	-55,175.000000
0.039967	0.2	-55,210.000000
0.043300	0.2	-55,240.000000
0.046633	0.2	-55,248.000000
0.049967	0.2	-55,234.000000
0.053300	0.2	-55,206.000000
0.056633	0.2	-55,171.000000
0.059967	0.2	-55,141.000000
0.063300	0.2	-55,128.000000
0.066633	0.2	-55,148.000000
0.069967	0.2	-55,199.000000
0.073300	0.2	-55,270.000000
0.076633	0.2	-55,355.000000
0.079967	0.2	-55,442.000000
0.083300	0.2	-55,518.000000
0.086633	0.2	-55,570.000000
0.089967	0.2	-55,595.000000
0.093300	0.2	-55,599.000000
0.096633	0.2	-55,593.000000
0.099967	0.2	-55,584.000000
0.103300	0.2	-55,577.000000
0.106633	0.2	-55,578.000000
0.109967	0.2	-55,586.000000
0.113300	0.2	-55,605.000000
0.116633	0.2	-55,629.000000
0.119967	0.2	-55,652.000000
0.123300	0.2	-55,676.000000
0.126633	0.2	-55,691.000000
0.129967	0.2	-55,690.000000
0.133300	0.2	-55,663.000000
0.136633	0.2	-55,613.000000
0.139967	0.2	-55,553.000000
0.143300	0.2	-55,511.000000
0.146633	0.2	-55,502.000000
0.149967	0.2	-55,533.000000
0.153300	0.2	-55,601.000000
0.156633	0.2	-55,697.000000
0.159967	0.2	-55,798.000000
0.163300	0.2	-55,878.000000
0.166633	0.2	-55,930.000000
0.169967	0.2	-55,959.000000
0.173300	0.2	-55,976.000000
0.176633	0.2	-55,987.000000
0.179967	0.2	-55,999.000000
0.183300	0.2	-56,013.000000
0.186633	0.2	-56,025.000000
0.189967	0.2	-56,025.000000
0.193300	0.2	-56,009.000000
0.196633	0.2	-55,973.000000
0.199967	0.2	-55,917.000000
0.203300	0.2	-55,849.000000
0.206633	0.2	-55,779.000000
0.209967	0.2	-55,716.000000
0.213300	0.2	-55,672.000000
0.216633	0.2	-55,658.000000
0.219967	0.2	-55,670.000000
0.223300	0.2	-55,697.000000
0.226633	0.2	-55,734.000000
0.229967	0.2	-55,782.000000
0.233300	0.2	-55,839.000000
0.236633	0.2	-55,890.000000
0.239967	0.2	-55,924.000000
0.243300	0.2	-55,934.000000
0.246633	0.2	-55,925.000000
0.249967	0.2	-55,911.000000
0.253300	0.2	-55,891.000000
0.256633	0.2	-55,875.000000
0.259967	0.2	-55,878.000000
0.263300	0.2	-55,906.000000
0.266633	0.2	-55,944.000000
0.269967	0.2	-55,974.000000
0.273300	0.2	-55,991.000000
0.276633	0.2	-55,999.000000
0.279967	0.2	-55,994.000000
0.283300	0.2	-55,966.000000
0.286633	0.2	-55,914.000000
0.289967	0.2	-55,834.000000
0.293300	0.2	-55,728.000000
0.296633	0.2	-55,608.000000
0.299967	0.2	-55,488.000000
0.303300	0.2	-55,370.000000
0.306633	0.2	-55,262.000000
0.309967	0.2	-55,170.000000
0.313300	0.2	-55,110.000000
0.316633	0.2	-55,091.000000
0.319967	0.2	-55,106.000000
0.323300	0.2	-55,156.000000
0.326633	0.2	-55,234.000000
0.329967	0.2	-55,334.000000
0.333300	0.2	-55,439.000000
0.336633	0.2	-55,533.000000
0.339967	0.2	-55,598.000000
0.343300	0.2	-55,632.000000
0.346633	0.2	-55,636.000000
0.349967	0.2	-55,610.000000
0.353300	0.2	-55,555.000000
0.356633	0.2	-55,478.000000
0.359967	0.2	-55,390.000000
0.363300	0.2	-55,304.000000
0.366633	0.2	-55,236.000000
0.369967	0.2	-55,189.000000
0.373300	0.2	-55,158.000000
0.376633	0.2	-55,137.000000
0.379967	0.2	-55,133.000000
0.383300	0.2	-55,145.000000
0.386633	0.2	-55,168.000000
0.389967	0.2	-55,205.000000
0.393300	0.2	-55,257.000000
0.396633	0.2	-55,318.000000
0.399967	0.2	-55,388.000000
0.403300	0.2	-55,455.000000
0.406633	0.2	-55,506.000000
0.409967	0.2	-55,535.000000
0.413300	0.2	-55,539.000000
0.416633	0.2	-55,521.000000
0.419967	0.2	-55,480.000000
0.423300	0.2	-55,423.000000
0.426633	0.2	-55,359.000000
0.429967	0.2	-55,303.000000
0.433300	0.2	-55,265.000000
0.436633	0.2	-55,250.000000
0.439967	0.2	-55,257.000000
0.443300	0.2	-55,286.000000
0.446633	0.2	-55,330.000000
0.449967	0.2	-55,386.000000
0.453300	0.2	-55,457.000000
0.456633	0.2	-55,539.000000
0.459967	0.2	-55,625.000000
0.463300	0.2	-55,705.000000
0.466633	0.2	-55,772.000000
0.469967	0.2	-55,828.000000
0.473300	0.2	-55,872.000000
0.476633	0.2	-55,904.000000
0.479967	0.2	-55,919.000000
0.483300	0.2	-55,908.000000
0.486633	0.2	-55,863.000000
0.489967	0.2	-55,776.000000
0.493300	0.2	-55,665.000000
0.496633	0.2	-55,549.000000
0.499967	0.2	-55,447.000000
0.503300	0.2	-55,376.000000
0.506633	0.2	-55,329.000000
0.509967	0.2	-55,304.000000
0.513300	0.2	-55,305.000000
0.516633	0.2	-55,331.000000
0.519967	0.2	-55,367.000000
0.523300	0.2	-55,393.000000
0.526633	0.2	-55,409.000000
0.529967	0.2	-55,418.000000
0.533300	0.2	-55,429.000000
0.536633	0.2	-55,447.000000
0.539967	0.2	-55,460.000000
0.543300	0.2	-55,465.000000
0.546633	0.2	-55,461.000000
0.549967	0.2	-55,448.000000
0.553300	0.2	-55,428.000000
0.556633	0.2	-55,412.000000
0.559967	0.2	-55,406.000000
0.563300	0.2	-55,408.000000
0.566633	0.2	-55,420.000000
0.569967	0.2	-55,438.000000
0.573300	0.2	-55,461.000000
0.576633	0.2	-55,499.000000
0.579967	0.2	-55,561.000000
0.583300	0.2	-55,633.000000
0.586633	0.2	-55,692.000000
0.589967	0.2	-55,732.000000
0.593300	0.2	-55,751.000000
0.596633	0.2	-55,752.000000
0.599967	0.2	-55,733.000000
0.603300	0.2	-55,691.000000
0.606633	0.2	-55,608.000000
0.609967	0.2	-55,461.000000
0.613300	0.2	-55,220.000000
0.616633	0.2	-54,851.000000
0.619967	0.2	-54,334.000000
0.623300	0.2	-53,673.000000
0.626633	0.2	-52,870.000000
0.629967	0.2	-51,944.000000
0.633300	0.2	-50,935.000000
0.636633	0.2	-49,895.000000
0.639967	0.2	-48,863.000000
0.643300	0.2	-47,858.000000
0.646633	0.2	-46,913.000000
0.649967	0.2	-46,061.000000
0.653300	0.2	-45,338.000000
0.656633	0.2	-44,776.000000
0.659967	0.2	-44,395.000000
0.663300	0.2	-44,201.000000
0.666633	0.2	-44,173.000000
0.669967	0.2	-44,272.000000
0.673300	0.2	-44,451.000000
0.676633	0.2	-44,667.000000
0.679967	0.2	-44,869.000000
