URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/3.31.26 Livers asgr1.seq/433.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	3.31.26 Livers asgr1
Name	AB liver 1
Number	3
Position	RA3
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	3/31/2026 9:17:03 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003150
Time Max. (min)	107.503150
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-55,650.000000
Signal Max.	-762.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003150	n.a.	-762.000000
0.006483	0.2	-762.000000
0.009817	0.2	-762.000000
0.013150	0.2	-762.000000
0.016483	0.2	-762.000000
0.019817	0.2	-762.000000
0.023150	0.2	-762.000000
0.026483	0.2	-762.000000
0.029817	0.2	-762.000000
0.033150	0.2	-762.000000
0.036483	0.2	-44,175.000000
0.039817	0.2	-44,258.000000
0.043150	0.2	-44,366.000000
0.046483	0.2	-44,482.000000
0.049817	0.2	-44,594.000000
0.053150	0.2	-44,698.000000
0.056483	0.2	-44,795.000000
0.059817	0.2	-44,883.000000
0.063150	0.2	-44,961.000000
0.066483	0.2	-45,030.000000
0.069817	0.2	-45,090.000000
0.073150	0.2	-45,150.000000
0.076483	0.2	-45,214.000000
0.079817	0.2	-45,289.000000
0.083150	0.2	-45,384.000000
0.086483	0.2	-45,499.000000
0.089817	0.2	-45,626.000000
0.093150	0.2	-45,756.000000
0.096483	0.2	-45,876.000000
0.099817	0.2	-45,977.000000
0.103150	0.2	-46,052.000000
0.106483	0.2	-46,094.000000
0.109817	0.2	-46,099.000000
0.113150	0.2	-46,077.000000
0.116483	0.2	-46,039.000000
0.119817	0.2	-45,999.000000
0.123150	0.2	-45,970.000000
0.126483	0.2	-45,959.000000
0.129817	0.2	-45,973.000000
0.133150	0.2	-46,012.000000
0.136483	0.2	-46,063.000000
0.139817	0.2	-46,117.000000
0.143150	0.2	-46,159.000000
0.146483	0.2	-46,176.000000
0.149817	0.2	-46,155.000000
0.153150	0.2	-46,099.000000
0.156483	0.2	-46,017.000000
0.159817	0.2	-45,925.000000
0.163150	0.2	-45,834.000000
0.166483	0.2	-45,748.000000
0.169817	0.2	-45,668.000000
0.173150	0.2	-45,597.000000
0.176483	0.2	-45,548.000000
0.179817	0.2	-45,524.000000
0.183150	0.2	-45,526.000000
0.186483	0.2	-45,548.000000
0.189817	0.2	-45,586.000000
0.193150	0.2	-45,640.000000
0.196483	0.2	-45,710.000000
0.199817	0.2	-45,787.000000
0.203150	0.2	-45,861.000000
0.206483	0.2	-45,922.000000
0.209817	0.2	-45,964.000000
0.213150	0.2	-45,984.000000
0.216483	0.2	-45,980.000000
0.219817	0.2	-45,955.000000
0.223150	0.2	-45,919.000000
0.226483	0.2	-45,884.000000
0.229817	0.2	-45,857.000000
0.233150	0.2	-45,847.000000
0.236483	0.2	-45,851.000000
0.239817	0.2	-45,866.000000
0.243150	0.2	-45,887.000000
0.246483	0.2	-45,904.000000
0.249817	0.2	-45,910.000000
0.253150	0.2	-45,900.000000
0.256483	0.2	-45,878.000000
0.259817	0.2	-45,844.000000
0.263150	0.2	-45,796.000000
0.266483	0.2	-45,739.000000
0.269817	0.2	-45,676.000000
0.273150	0.2	-45,616.000000
0.276483	0.2	-45,569.000000
0.279817	0.2	-45,538.000000
0.283150	0.2	-45,529.000000
0.286483	0.2	-45,543.000000
0.289817	0.2	-45,577.000000
0.293150	0.2	-45,621.000000
0.296483	0.2	-45,664.000000
0.299817	0.2	-45,698.000000
0.303150	0.2	-45,719.000000
0.306483	0.2	-45,727.000000
0.309817	0.2	-45,724.000000
0.313150	0.2	-45,712.000000
0.316483	0.2	-45,690.000000
0.319817	0.2	-45,658.000000
0.323150	0.2	-45,621.000000
0.326483	0.2	-45,587.000000
0.329817	0.2	-45,559.000000
0.333150	0.2	-45,541.000000
0.336483	0.2	-45,540.000000
0.339817	0.2	-45,560.000000
0.343150	0.2	-45,596.000000
0.346483	0.2	-45,640.000000
0.349817	0.2	-45,681.000000
0.353150	0.2	-45,711.000000
0.356483	0.2	-45,729.000000
0.359817	0.2	-45,738.000000
0.363150	0.2	-45,741.000000
0.366483	0.2	-45,734.000000
0.369817	0.2	-45,721.000000
0.373150	0.2	-45,704.000000
0.376483	0.2	-45,680.000000
0.379817	0.2	-45,646.000000
0.383150	0.2	-45,601.000000
0.386483	0.2	-45,549.000000
0.389817	0.2	-45,495.000000
0.393150	0.2	-45,442.000000
0.396483	0.2	-45,391.000000
0.399817	0.2	-45,344.000000
0.403150	0.2	-45,305.000000
0.406483	0.2	-45,277.000000
0.409817	0.2	-45,259.000000
0.413150	0.2	-45,246.000000
0.416483	0.2	-45,235.000000
0.419817	0.2	-45,227.000000
0.423150	0.2	-45,221.000000
0.426483	0.2	-45,219.000000
0.429817	0.2	-45,222.000000
0.433150	0.2	-45,233.000000
0.436483	0.2	-45,253.000000
0.439817	0.2	-45,276.000000
0.443150	0.2	-45,298.000000
0.446483	0.2	-45,321.000000
0.449817	0.2	-45,350.000000
0.453150	0.2	-45,398.000000
0.456483	0.2	-45,462.000000
0.459817	0.2	-45,536.000000
0.463150	0.2	-45,613.000000
0.466483	0.2	-45,687.000000
0.469817	0.2	-45,748.000000
0.473150	0.2	-45,788.000000
0.476483	0.2	-45,803.000000
0.479817	0.2	-45,803.000000
0.483150	0.2	-45,803.000000
0.486483	0.2	-45,812.000000
0.489817	0.2	-45,834.000000
0.493150	0.2	-45,872.000000
0.496483	0.2	-45,925.000000
0.499817	0.2	-45,986.000000
0.503150	0.2	-46,044.000000
0.506483	0.2	-46,093.000000
0.509817	0.2	-46,127.000000
0.513150	0.2	-46,138.000000
0.516483	0.2	-46,123.000000
0.519817	0.2	-46,083.000000
0.523150	0.2	-46,022.000000
0.526483	0.2	-45,949.000000
0.529817	0.2	-45,864.000000
0.533150	0.2	-45,770.000000
0.536483	0.2	-45,670.000000
0.539817	0.2	-45,567.000000
0.543150	0.2	-45,465.000000
0.546483	0.2	-45,368.000000
0.549817	0.2	-45,285.000000
0.553150	0.2	-45,220.000000
0.556483	0.2	-45,173.000000
0.559817	0.2	-45,138.000000
0.563150	0.2	-45,114.000000
0.566483	0.2	-45,096.000000
0.569817	0.2	-45,084.000000
0.573150	0.2	-45,080.000000
0.576483	0.2	-45,085.000000
0.579817	0.2	-45,092.000000
0.583150	0.2	-45,097.000000
0.586483	0.2	-45,101.000000
0.589817	0.2	-45,110.000000
0.593150	0.2	-45,132.000000
0.596483	0.2	-45,168.000000
0.599817	0.2	-45,212.000000
0.603150	0.2	-45,252.000000
0.606483	0.2	-45,275.000000
0.609817	0.2	-45,265.000000
0.613150	0.2	-45,203.000000
0.616483	0.2	-45,071.000000
0.619817	0.2	-44,850.000000
0.623150	0.2	-44,527.000000
0.626483	0.2	-44,099.000000
0.629817	0.2	-43,571.000000
0.633150	0.2	-42,956.000000
0.636483	0.2	-42,284.000000
0.639817	0.2	-41,584.000000
