URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/3.30.26 Gwyn 3-4 days.seq/136.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	3.30.26 Gwyn 3-4 days
Name	AB liver 2
Number	8
Position	RA8
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD_end
Type	Unknown
Status	Finished
Inject Time	3/31/2026 5:46:18 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003350
Time Max. (min)	107.503350
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-72,012.000000
Signal Max.	725,288.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003350	n.a.	-381.000000
0.006683	0.2	-381.000000
0.010017	0.2	-381.000000
0.013350	0.2	-381.000000
0.016683	0.2	-381.000000
0.020017	0.2	-381.000000
0.023350	0.2	-381.000000
0.026683	0.2	-381.000000
0.030017	0.2	-381.000000
0.033350	0.2	-381.000000
0.036683	0.2	-38,661.000000
0.040017	0.2	-38,746.000000
0.043350	0.2	-38,857.000000
0.046683	0.2	-38,977.000000
0.050017	0.2	-39,090.000000
0.053350	0.2	-39,189.000000
0.056683	0.2	-39,273.000000
0.060017	0.2	-39,340.000000
0.063350	0.2	-39,394.000000
0.066683	0.2	-39,433.000000
0.070017	0.2	-39,450.000000
0.073350	0.2	-39,449.000000
0.076683	0.2	-39,438.000000
0.080017	0.2	-39,422.000000
0.083350	0.2	-39,402.000000
0.086683	0.2	-39,383.000000
0.090017	0.2	-39,372.000000
0.093350	0.2	-39,370.000000
0.096683	0.2	-39,372.000000
0.100017	0.2	-39,381.000000
0.103350	0.2	-39,395.000000
0.106683	0.2	-39,417.000000
0.110017	0.2	-39,450.000000
