URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/3.31.26 Livers asgr1.seq/347.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	3.31.26 Livers asgr1
Name	AB liver 4
Number	5
Position	RA5
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/1/2026 12:55:05 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003150
Time Max. (min)	107.503150
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-113,374.000000
Signal Max.	974,552.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003150	n.a.	-2,667.000000
0.006483	0.2	-2,667.000000
0.009817	0.2	-2,667.000000
0.013150	0.2	-2,667.000000
0.016483	0.2	-2,667.000000
0.019817	0.2	-2,667.000000
0.023150	0.2	-2,667.000000
0.026483	0.2	-2,667.000000
0.029817	0.2	-2,667.000000
0.033150	0.2	-2,667.000000
0.036483	0.2	-49,893.000000
0.039817	0.2	-49,948.000000
0.043150	0.2	-50,019.000000
0.046483	0.2	-50,095.000000
0.049817	0.2	-50,166.000000
0.053150	0.2	-50,228.000000
0.056483	0.2	-50,279.000000
0.059817	0.2	-50,319.000000
0.063150	0.2	-50,353.000000
0.066483	0.2	-50,389.000000
0.069817	0.2	-50,431.000000
0.073150	0.2	-50,481.000000
0.076483	0.2	-50,531.000000
0.079817	0.2	-50,580.000000
0.083150	0.2	-50,629.000000
0.086483	0.2	-50,678.000000
0.089817	0.2	-50,723.000000
0.093150	0.2	-50,766.000000
0.096483	0.2	-50,804.000000
0.099817	0.2	-50,839.000000
0.103150	0.2	-50,875.000000
0.106483	0.2	-50,908.000000
0.109817	0.2	-50,930.000000
0.113150	0.2	-50,937.000000
0.116483	0.2	-50,930.000000
0.119817	0.2	-50,911.000000
0.123150	0.2	-50,870.000000
0.126483	0.2	-50,805.000000
0.129817	0.2	-50,726.000000
0.133150	0.2	-50,641.000000
0.136483	0.2	-50,558.000000
0.139817	0.2	-50,478.000000
0.143150	0.2	-50,403.000000
0.146483	0.2	-50,338.000000
0.149817	0.2	-50,294.000000
0.153150	0.2	-50,273.000000
0.156483	0.2	-50,274.000000
0.159817	0.2	-50,289.000000
0.163150	0.2	-50,309.000000
0.166483	0.2	-50,326.000000
0.169817	0.2	-50,339.000000
0.173150	0.2	-50,360.000000
0.176483	0.2	-50,402.000000
0.179817	0.2	-50,467.000000
0.183150	0.2	-50,547.000000
0.186483	0.2	-50,635.000000
0.189817	0.2	-50,720.000000
0.193150	0.2	-50,789.000000
0.196483	0.2	-50,838.000000
0.199817	0.2	-50,869.000000
0.203150	0.2	-50,890.000000
0.206483	0.2	-50,907.000000
0.209817	0.2	-50,923.000000
0.213150	0.2	-50,934.000000
0.216483	0.2	-50,942.000000
0.219817	0.2	-50,948.000000
0.223150	0.2	-50,956.000000
0.226483	0.2	-50,960.000000
0.229817	0.2	-50,950.000000
0.233150	0.2	-50,921.000000
0.236483	0.2	-50,870.000000
0.239817	0.2	-50,800.000000
0.243150	0.2	-50,718.000000
0.246483	0.2	-50,639.000000
0.249817	0.2	-50,565.000000
0.253150	0.2	-50,495.000000
0.256483	0.2	-50,433.000000
0.259817	0.2	-50,382.000000
0.263150	0.2	-50,347.000000
0.266483	0.2	-50,330.000000
0.269817	0.2	-50,327.000000
0.273150	0.2	-50,328.000000
0.276483	0.2	-50,329.000000
0.279817	0.2	-50,335.000000
0.283150	0.2	-50,352.000000
0.286483	0.2	-50,377.000000
0.289817	0.2	-50,406.000000
0.293150	0.2	-50,436.000000
0.296483	0.2	-50,460.000000
0.299817	0.2	-50,472.000000
0.303150	0.2	-50,478.000000
0.306483	0.2	-50,480.000000
0.309817	0.2	-50,479.000000
0.313150	0.2	-50,471.000000
0.316483	0.2	-50,457.000000
0.319817	0.2	-50,444.000000
0.323150	0.2	-50,430.000000
0.326483	0.2	-50,415.000000
0.329817	0.2	-50,399.000000
0.333150	0.2	-50,378.000000
0.336483	0.2	-50,349.000000
0.339817	0.2	-50,315.000000
0.343150	0.2	-50,278.000000
0.346483	0.2	-50,236.000000
0.349817	0.2	-50,184.000000
0.353150	0.2	-50,130.000000
0.356483	0.2	-50,083.000000
0.359817	0.2	-50,052.000000
0.363150	0.2	-50,040.000000
0.366483	0.2	-50,049.000000
0.369817	0.2	-50,074.000000
0.373150	0.2	-50,112.000000
0.376483	0.2	-50,166.000000
0.379817	0.2	-50,234.000000
0.383150	0.2	-50,310.000000
0.386483	0.2	-50,383.000000
0.389817	0.2	-50,444.000000
0.393150	0.2	-50,494.000000
0.396483	0.2	-50,540.000000
0.399817	0.2	-50,585.000000
0.403150	0.2	-50,632.000000
0.406483	0.2	-50,678.000000
0.409817	0.2	-50,720.000000
0.413150	0.2	-50,754.000000
0.416483	0.2	-50,774.000000
0.419817	0.2	-50,775.000000
0.423150	0.2	-50,753.000000
0.426483	0.2	-50,706.000000
0.429817	0.2	-50,641.000000
0.433150	0.2	-50,568.000000
0.436483	0.2	-50,499.000000
0.439817	0.2	-50,442.000000
0.443150	0.2	-50,406.000000
0.446483	0.2	-50,392.000000
0.449817	0.2	-50,394.000000
0.453150	0.2	-50,407.000000
0.456483	0.2	-50,427.000000
0.459817	0.2	-50,453.000000
0.463150	0.2	-50,487.000000
0.466483	0.2	-50,525.000000
0.469817	0.2	-50,562.000000
0.473150	0.2	-50,596.000000
0.476483	0.2	-50,622.000000
0.479817	0.2	-50,637.000000
0.483150	0.2	-50,636.000000
0.486483	0.2	-50,622.000000
0.489817	0.2	-50,604.000000
0.493150	0.2	-50,592.000000
0.496483	0.2	-50,589.000000
0.499817	0.2	-50,599.000000
0.503150	0.2	-50,627.000000
0.506483	0.2	-50,666.000000
0.509817	0.2	-50,710.000000
0.513150	0.2	-50,752.000000
0.516483	0.2	-50,791.000000
0.519817	0.2	-50,820.000000
0.523150	0.2	-50,838.000000
0.526483	0.2	-50,854.000000
0.529817	0.2	-50,872.000000
0.533150	0.2	-50,892.000000
0.536483	0.2	-50,913.000000
0.539817	0.2	-50,934.000000
0.543150	0.2	-50,946.000000
0.546483	0.2	-50,946.000000
0.549817	0.2	-50,937.000000
0.553150	0.2	-50,923.000000
0.556483	0.2	-50,912.000000
0.559817	0.2	-50,911.000000
0.563150	0.2	-50,919.000000
0.566483	0.2	-50,935.000000
0.569817	0.2	-50,952.000000
0.573150	0.2	-50,964.000000
0.576483	0.2	-50,971.000000
0.579817	0.2	-50,973.000000
0.583150	0.2	-50,973.000000
0.586483	0.2	-50,970.000000
0.589817	0.2	-50,953.000000
0.593150	0.2	-50,918.000000
0.596483	0.2	-50,868.000000
0.599817	0.2	-50,813.000000
0.603150	0.2	-50,762.000000
0.606483	0.2	-50,719.000000
0.609817	0.2	-50,679.000000
0.613150	0.2	-50,631.000000
0.616483	0.2	-50,560.000000
0.619817	0.2	-50,455.000000
0.623150	0.2	-50,304.000000
0.626483	0.2	-50,102.000000
0.629817	0.2	-49,855.000000
0.633150	0.2	-49,567.000000
0.636483	0.2	-49,242.000000
0.639817	0.2	-48,890.000000
0.643150	0.2	-48,526.000000
0.646483	0.2	-48,171.000000
0.649817	0.2	-47,843.000000
0.653150	0.2	-47,550.000000
0.656483	0.2	-47,301.000000
0.659817	0.2	-47,107.000000
0.663150	0.2	-46,970.000000
0.666483	0.2	-46,882.000000
0.669817	0.2	-46,830.000000
0.673150	0.2	-46,801.000000
0.676483	0.2	-46,779.000000
0.679817	0.2	-46,749.000000
0.683150	0.2	-46,690.000000
0.686483	0.2	-46,600.000000
0.689817	0.2	-46,483.000000
0.693150	0.2	-46,335.000000
0.696483	0.2	-46,162.000000
0.699817	0.2	-45,970.000000
0.703150	0.2	-45,753.000000
0.706483	0.2	-45,500.000000
0.709817	0.2	-45,210.000000
0.713150	0.2	-44,889.000000
0.716483	0.2	-44,545.000000
0.719817	0.2	-44,180.000000
0.723150	0.2	-43,786.000000
0.726483	0.2	-43,358.000000
0.729817	0.2	-42,890.000000
0.733150	0.2	-42,385.000000
0.736483	0.2	-41,847.000000
0.739817	0.2	-41,279.000000
0.743150	0.2	-40,683.000000
0.746483	0.2	-40,056.000000
0.749817	0.2	-39,399.000000
