URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/3.31.26 Livers asgr1.seq/696.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	3.31.26 Livers asgr1
Name	AB liver 5
Number	1
Position	RA1
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	3/31/2026 5:39:00 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003267
Time Max. (min)	107.503267
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-107,047.000000
Signal Max.	25,780,255.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003267	n.a.	4,953.000000
0.006600	0.2	4,953.000000
0.009933	0.2	4,953.000000
0.013267	0.2	4,953.000000
0.016600	0.2	4,953.000000
0.019933	0.2	4,953.000000
0.023267	0.2	4,953.000000
0.026600	0.2	4,953.000000
0.029933	0.2	4,953.000000
0.033267	0.2	4,953.000000
0.036600	0.2	-53,796.000000
0.039933	0.2	-53,916.000000
0.043267	0.2	-54,076.000000
0.046600	0.2	-54,249.000000
0.049933	0.2	-54,416.000000
0.053267	0.2	-54,566.000000
0.056600	0.2	-54,704.000000
0.059933	0.2	-54,832.000000
0.063267	0.2	-54,954.000000
0.066600	0.2	-55,073.000000
0.069933	0.2	-55,194.000000
0.073267	0.2	-55,317.000000
0.076600	0.2	-55,434.000000
0.079933	0.2	-55,539.000000
0.083267	0.2	-55,628.000000
0.086600	0.2	-55,696.000000
0.089933	0.2	-55,730.000000
0.093267	0.2	-55,731.000000
0.096600	0.2	-55,711.000000
0.099933	0.2	-55,683.000000
0.103267	0.2	-55,655.000000
0.106600	0.2	-55,638.000000
0.109933	0.2	-55,635.000000
0.113267	0.2	-55,642.000000
0.116600	0.2	-55,647.000000
0.119933	0.2	-55,641.000000
0.123267	0.2	-55,619.000000
0.126600	0.2	-55,580.000000
0.129933	0.2	-55,530.000000
0.133267	0.2	-55,475.000000
0.136600	0.2	-55,418.000000
0.139933	0.2	-55,363.000000
0.143267	0.2	-55,313.000000
0.146600	0.2	-55,267.000000
0.149933	0.2	-55,221.000000
0.153267	0.2	-55,180.000000
0.156600	0.2	-55,152.000000
0.159933	0.2	-55,139.000000
0.163267	0.2	-55,147.000000
0.166600	0.2	-55,180.000000
0.169933	0.2	-55,233.000000
0.173267	0.2	-55,300.000000
0.176600	0.2	-55,373.000000
0.179933	0.2	-55,449.000000
0.183267	0.2	-55,522.000000
0.186600	0.2	-55,593.000000
0.189933	0.2	-55,664.000000
0.193267	0.2	-55,724.000000
0.196600	0.2	-55,768.000000
0.199933	0.2	-55,795.000000
0.203267	0.2	-55,808.000000
0.206600	0.2	-55,815.000000
0.209933	0.2	-55,820.000000
0.213267	0.2	-55,823.000000
0.216600	0.2	-55,820.000000
0.219933	0.2	-55,801.000000
0.223267	0.2	-55,759.000000
0.226600	0.2	-55,689.000000
0.229933	0.2	-55,597.000000
0.233267	0.2	-55,492.000000
0.236600	0.2	-55,386.000000
0.239933	0.2	-55,288.000000
0.243267	0.2	-55,207.000000
0.246600	0.2	-55,145.000000
0.249933	0.2	-55,099.000000
0.253267	0.2	-55,070.000000
0.256600	0.2	-55,059.000000
0.259933	0.2	-55,065.000000
0.263267	0.2	-55,088.000000
0.266600	0.2	-55,126.000000
0.269933	0.2	-55,185.000000
0.273267	0.2	-55,264.000000
0.276600	0.2	-55,352.000000
0.279933	0.2	-55,437.000000
0.283267	0.2	-55,502.000000
0.286600	0.2	-55,543.000000
0.289933	0.2	-55,555.000000
0.293267	0.2	-55,543.000000
0.296600	0.2	-55,519.000000
0.299933	0.2	-55,485.000000
