URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.22.26 absorption remainder  2.seq/709.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.22.26 absorption remainder  2
Name	AB liver 8
Number	5
Position	RA5
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/27/2026 12:42:00 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003200
Time Max. (min)	107.503200
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-82,454.000000
Signal Max.	323,599.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003200	n.a.	-1,143.000000
0.006533	0.2	-1,143.000000
0.009867	0.2	-1,143.000000
0.013200	0.2	-1,143.000000
0.016533	0.2	-1,143.000000
0.019867	0.2	-1,143.000000
0.023200	0.2	-1,143.000000
0.026533	0.2	-1,143.000000
0.029867	0.2	-1,143.000000
0.033200	0.2	-1,143.000000
0.036533	0.2	-64,694.000000
0.039867	0.2	-64,751.000000
0.043200	0.2	-64,826.000000
0.046533	0.2	-64,898.000000
0.049867	0.2	-64,953.000000
0.053200	0.2	-64,986.000000
0.056533	0.2	-65,000.000000
0.059867	0.2	-65,004.000000
0.063200	0.2	-65,001.000000
0.066533	0.2	-64,986.000000
0.069867	0.2	-64,954.000000
0.073200	0.2	-64,906.000000
0.076533	0.2	-64,851.000000
0.079867	0.2	-64,799.000000
0.083200	0.2	-64,757.000000
0.086533	0.2	-64,733.000000
0.089867	0.2	-64,733.000000
0.093200	0.2	-64,757.000000
0.096533	0.2	-64,786.000000
0.099867	0.2	-64,803.000000
0.103200	0.2	-64,816.000000
0.106533	0.2	-64,832.000000
0.109867	0.2	-64,848.000000
0.113200	0.2	-64,854.000000
0.116533	0.2	-64,835.000000
0.119867	0.2	-64,791.000000
0.123200	0.2	-64,730.000000
0.126533	0.2	-64,662.000000
0.129867	0.2	-64,595.000000
0.133200	0.2	-64,533.000000
0.136533	0.2	-64,482.000000
0.139867	0.2	-64,459.000000
0.143200	0.2	-64,471.000000
0.146533	0.2	-64,513.000000
0.149867	0.2	-64,568.000000
0.153200	0.2	-64,622.000000
0.156533	0.2	-64,674.000000
0.159867	0.2	-64,726.000000
0.163200	0.2	-64,779.000000
0.166533	0.2	-64,835.000000
0.169867	0.2	-64,890.000000
0.173200	0.2	-64,931.000000
0.176533	0.2	-64,950.000000
0.179867	0.2	-64,945.000000
0.183200	0.2	-64,935.000000
0.186533	0.2	-64,934.000000
0.189867	0.2	-64,947.000000
0.193200	0.2	-64,978.000000
0.196533	0.2	-65,024.000000
0.199867	0.2	-65,088.000000
0.203200	0.2	-65,160.000000
0.206533	0.2	-65,221.000000
0.209867	0.2	-65,258.000000
0.213200	0.2	-65,260.000000
0.216533	0.2	-65,228.000000
0.219867	0.2	-65,172.000000
0.223200	0.2	-65,107.000000
0.226533	0.2	-65,046.000000
0.229867	0.2	-65,001.000000
0.233200	0.2	-64,983.000000
0.236533	0.2	-64,992.000000
0.239867	0.2	-65,029.000000
0.243200	0.2	-65,092.000000
0.246533	0.2	-65,164.000000
0.249867	0.2	-65,233.000000
0.253200	0.2	-65,282.000000
0.256533	0.2	-65,300.000000
0.259867	0.2	-65,278.000000
0.263200	0.2	-65,217.000000
0.266533	0.2	-65,130.000000
0.269867	0.2	-65,036.000000
0.273200	0.2	-64,942.000000
0.276533	0.2	-64,851.000000
0.279867	0.2	-64,771.000000
0.283200	0.2	-64,714.000000
0.286533	0.2	-64,679.000000
0.289867	0.2	-64,661.000000
0.293200	0.2	-64,653.000000
0.296533	0.2	-64,650.000000
0.299867	0.2	-64,651.000000
0.303200	0.2	-64,658.000000
0.306533	0.2	-64,666.000000
0.309867	0.2	-64,676.000000
0.313200	0.2	-64,687.000000
0.316533	0.2	-64,688.000000
0.319867	0.2	-64,675.000000
0.323200	0.2	-64,646.000000
0.326533	0.2	-64,598.000000
0.329867	0.2	-64,529.000000
0.333200	0.2	-64,437.000000
0.336533	0.2	-64,336.000000
0.339867	0.2	-64,240.000000
0.343200	0.2	-64,152.000000
0.346533	0.2	-64,077.000000
0.349867	0.2	-64,017.000000
0.353200	0.2	-63,971.000000
0.356533	0.2	-63,935.000000
0.359867	0.2	-63,911.000000
0.363200	0.2	-63,914.000000
0.366533	0.2	-63,967.000000
0.369867	0.2	-64,079.000000
0.373200	0.2	-64,246.000000
0.376533	0.2	-64,447.000000
0.379867	0.2	-64,643.000000
0.383200	0.2	-64,798.000000
0.386533	0.2	-64,903.000000
0.389867	0.2	-64,975.000000
0.393200	0.2	-65,029.000000
0.396533	0.2	-65,071.000000
0.399867	0.2	-65,098.000000
0.403200	0.2	-65,106.000000
0.406533	0.2	-65,087.000000
0.409867	0.2	-65,034.000000
0.413200	0.2	-64,943.000000
0.416533	0.2	-64,819.000000
0.419867	0.2	-64,685.000000
0.423200	0.2	-64,568.000000
0.426533	0.2	-64,488.000000
0.429867	0.2	-64,450.000000
0.433200	0.2	-64,451.000000
0.436533	0.2	-64,461.000000
0.439867	0.2	-64,454.000000
0.443200	0.2	-64,418.000000
0.446533	0.2	-64,362.000000
0.449867	0.2	-64,304.000000
0.453200	0.2	-64,264.000000
0.456533	0.2	-64,247.000000
0.459867	0.2	-64,258.000000
0.463200	0.2	-64,295.000000
0.466533	0.2	-64,347.000000
0.469867	0.2	-64,403.000000
0.473200	0.2	-64,451.000000
0.476533	0.2	-64,480.000000
0.479867	0.2	-64,482.000000
0.483200	0.2	-64,448.000000
0.486533	0.2	-64,378.000000
0.489867	0.2	-64,296.000000
0.493200	0.2	-64,230.000000
0.496533	0.2	-64,199.000000
0.499867	0.2	-64,217.000000
0.503200	0.2	-64,287.000000
0.506533	0.2	-64,398.000000
0.509867	0.2	-64,526.000000
0.513200	0.2	-64,651.000000
0.516533	0.2	-64,759.000000
0.519867	0.2	-64,853.000000
0.523200	0.2	-64,940.000000
0.526533	0.2	-65,010.000000
0.529867	0.2	-65,040.000000
0.533200	0.2	-65,020.000000
0.536533	0.2	-64,956.000000
0.539867	0.2	-64,859.000000
0.543200	0.2	-64,751.000000
0.546533	0.2	-64,647.000000
0.549867	0.2	-64,548.000000
0.553200	0.2	-64,455.000000
0.556533	0.2	-64,374.000000
0.559867	0.2	-64,309.000000
0.563200	0.2	-64,271.000000
0.566533	0.2	-64,269.000000
0.569867	0.2	-64,310.000000
0.573200	0.2	-64,386.000000
0.576533	0.2	-64,488.000000
0.579867	0.2	-64,600.000000
0.583200	0.2	-64,713.000000
0.586533	0.2	-64,810.000000
0.589867	0.2	-64,883.000000
0.593200	0.2	-64,936.000000
0.596533	0.2	-64,974.000000
0.599867	0.2	-64,990.000000
0.603200	0.2	-64,984.000000
0.606533	0.2	-64,958.000000
0.609867	0.2	-64,907.000000
0.613200	0.2	-64,818.000000
0.616533	0.2	-64,657.000000
0.619867	0.2	-64,395.000000
0.623200	0.2	-64,005.000000
0.626533	0.2	-63,462.000000
0.629867	0.2	-62,733.000000
0.633200	0.2	-61,815.000000
0.636533	0.2	-60,731.000000
0.639867	0.2	-59,536.000000
0.643200	0.2	-58,307.000000
0.646533	0.2	-57,129.000000
0.649867	0.2	-56,069.000000
0.653200	0.2	-55,176.000000
0.656533	0.2	-54,464.000000
0.659867	0.2	-53,922.000000
0.663200	0.2	-53,532.000000
0.666533	0.2	-53,270.000000
0.669867	0.2	-53,106.000000
0.673200	0.2	-53,015.000000
0.676533	0.2	-52,966.000000
0.679867	0.2	-52,926.000000
0.683200	0.2	-52,875.000000
0.686533	0.2	-52,789.000000
0.689867	0.2	-52,645.000000
0.693200	0.2	-52,421.000000
0.696533	0.2	-52,101.000000
0.699867	0.2	-51,679.000000
0.703200	0.2	-51,154.000000
0.706533	0.2	-50,530.000000
0.709867	0.2	-49,803.000000
0.713200	0.2	-48,967.000000
0.716533	0.2	-48,022.000000
0.719867	0.2	-46,970.000000
0.723200	0.2	-45,803.000000
0.726533	0.2	-44,530.000000
0.729867	0.2	-43,163.000000
0.733200	0.2	-41,734.000000
0.736533	0.2	-40,284.000000
0.739867	0.2	-38,860.000000
0.743200	0.2	-37,506.000000
0.746533	0.2	-36,264.000000
0.749867	0.2	-35,162.000000
0.753200	0.2	-34,207.000000
0.756533	0.2	-33,386.000000
0.759867	0.2	-32,696.000000
0.763200	0.2	-32,135.000000
0.766533	0.2	-31,714.000000
0.769867	0.2	-31,438.000000
0.773200	0.2	-31,296.000000
0.776533	0.2	-31,273.000000
0.779867	0.2	-31,345.000000
0.783200	0.2	-31,496.000000
0.786533	0.2	-31,705.000000
0.789867	0.2	-31,953.000000
0.793200	0.2	-32,226.000000
0.796533	0.2	-32,528.000000
0.799867	0.2	-32,867.000000
0.803200	0.2	-33,240.000000
0.806533	0.2	-33,641.000000
0.809867	0.2	-34,065.000000
0.813200	0.2	-34,516.000000
0.816533	0.2	-34,993.000000
0.819867	0.2	-35,500.000000
0.823200	0.2	-36,032.000000
0.826533	0.2	-36,580.000000
0.829867	0.2	-37,140.000000
0.833200	0.2	-37,703.000000
0.836533	0.2	-38,259.000000
0.839867	0.2	-38,811.000000
0.843200	0.2	-39,364.000000
0.846533	0.2	-39,921.000000
0.849867	0.2	-40,474.000000
0.853200	0.2	-41,007.000000
0.856533	0.2	-41,508.000000
0.859867	0.2	-41,984.000000
0.863200	0.2	-42,457.000000
0.866533	0.2	-42,940.000000
0.869867	0.2	-43,453.000000
0.873200	0.2	-44,003.000000
0.876533	0.2	-44,577.000000
0.879867	0.2	-45,164.000000
0.883200	0.2	-45,758.000000
0.886533	0.2	-46,361.000000
0.889867	0.2	-46,977.000000
0.893200	0.2	-47,612.000000
0.896533	0.2	-48,272.000000
0.899867	0.2	-48,953.000000
0.903200	0.2	-49,636.000000
0.906533	0.2	-50,316.000000
0.909867	0.2	-50,993.000000
0.913200	0.2	-51,668.000000
0.916533	0.2	-52,335.000000
0.919867	0.2	-52,990.000000
0.923200	0.2	-53,627.000000
0.926533	0.2	-54,238.000000
0.929867	0.2	-54,813.000000
0.933200	0.2	-55,340.000000
0.936533	0.2	-55,808.000000
0.939867	0.2	-56,211.000000
0.943200	0.2	-56,554.000000
0.946533	0.2	-56,850.000000
0.949867	0.2	-57,103.000000
0.953200	0.2	-57,322.000000
0.956533	0.2	-57,522.000000
0.959867	0.2	-57,711.000000
0.963200	0.2	-57,890.000000
0.966533	0.2	-58,061.000000
0.969867	0.2	-58,235.000000
0.973200	0.2	-58,416.000000
0.976533	0.2	-58,607.000000
0.979867	0.2	-58,810.000000
0.983200	0.2	-59,016.000000
0.986533	0.2	-59,207.000000
0.989867	0.2	-59,372.000000
0.993200	0.2	-59,497.000000
0.996533	0.2	-59,593.000000
0.999867	0.2	-59,666.000000
1.003200	0.2	-59,723.000000
1.006533	0.2	-59,764.000000
1.009867	0.2	-59,779.000000
1.013200	0.2	-59,765.000000
1.016533	0.2	-59,723.000000
1.019867	0.2	-59,659.000000
1.023200	0.2	-59,585.000000
1.026533	0.2	-59,513.000000
1.029867	0.2	-59,434.000000
1.033200	0.2	-59,341.000000
1.036533	0.2	-59,231.000000
1.039867	0.2	-59,113.000000
1.043200	0.2	-59,004.000000
1.046533	0.2	-58,909.000000
1.049867	0.2	-58,831.000000
1.053200	0.2	-58,768.000000
1.056533	0.2	-58,723.000000
1.059867	0.2	-58,697.000000
1.063200	0.2	-58,690.000000
1.066533	0.2	-58,702.000000
1.069867	0.2	-58,733.000000
1.073200	0.2	-58,779.000000
1.076533	0.2	-58,833.000000
1.079867	0.2	-58,886.000000
1.083200	0.2	-58,941.000000
1.086533	0.2	-59,009.000000
1.089867	0.2	-59,082.000000
1.093200	0.2	-59,155.000000
1.096533	0.2	-59,224.000000
1.099867	0.2	-59,286.000000
1.103200	0.2	-59,327.000000
1.106533	0.2	-59,338.000000
1.109867	0.2	-59,319.000000
1.113200	0.2	-59,265.000000
1.116533	0.2	-59,180.000000
1.119867	0.2	-59,082.000000
1.123200	0.2	-58,990.000000
1.126533	0.2	-58,929.000000
1.129867	0.2	-58,918.000000
1.133200	0.2	-58,956.000000
1.136533	0.2	-59,034.000000
1.139867	0.2	-59,139.000000
1.143200	0.2	-59,254.000000
1.146533	0.2	-59,367.000000
1.149867	0.2	-59,489.000000
1.153200	0.2	-59,637.000000
1.156533	0.2	-59,807.000000
1.159867	0.2	-59,983.000000
1.163200	0.2	-60,152.000000
1.166533	0.2	-60,293.000000
1.169867	0.2	-60,402.000000
1.173200	0.2	-60,476.000000
1.176533	0.2	-60,516.000000
1.179867	0.2	-60,528.000000
1.183200	0.2	-60,518.000000
1.186533	0.2	-60,504.000000
1.189867	0.2	-60,501.000000
1.193200	0.2	-60,518.000000
1.196533	0.2	-60,555.000000
1.199867	0.2	-60,611.000000
1.203200	0.2	-60,674.000000
1.206533	0.2	-60,722.000000
1.209867	0.2	-60,755.000000
1.213200	0.2	-60,778.000000
1.216533	0.2	-60,789.000000
1.219867	0.2	-60,796.000000
1.223200	0.2	-60,807.000000
1.226533	0.2	-60,820.000000
1.229867	0.2	-60,839.000000
1.233200	0.2	-60,876.000000
1.236533	0.2	-60,944.000000
1.239867	0.2	-61,036.000000
1.243200	0.2	-61,145.000000
1.246533	0.2	-61,258.000000
1.249867	0.2	-61,366.000000
1.253200	0.2	-61,461.000000
1.256533	0.2	-61,536.000000
1.259867	0.2	-61,600.000000
1.263200	0.2	-61,662.000000
1.266533	0.2	-61,732.000000
1.269867	0.2	-61,811.000000
1.273200	0.2	-61,892.000000
1.276533	0.2	-61,962.000000
1.279867	0.2	-62,007.000000
1.283200	0.2	-62,031.000000
1.286533	0.2	-62,043.000000
1.289867	0.2	-62,045.000000
1.293200	0.2	-62,044.000000
1.296533	0.2	-62,053.000000
1.299867	0.2	-62,076.000000
1.303200	0.2	-62,106.000000
1.306533	0.2	-62,149.000000
1.309867	0.2	-62,211.000000
1.313200	0.2	-62,284.000000
1.316533	0.2	-62,358.000000
1.319867	0.2	-62,431.000000
1.323200	0.2	-62,506.000000
1.326533	0.2	-62,587.000000
1.329867	0.2	-62,658.000000
1.333200	0.2	-62,708.000000
1.336533	0.2	-62,720.000000
1.339867	0.2	-62,676.000000
1.343200	0.2	-62,572.000000
1.346533	0.2	-62,435.000000
1.349867	0.2	-62,308.000000
1.353200	0.2	-62,222.000000
1.356533	0.2	-62,181.000000
1.359867	0.2	-62,173.000000
1.363200	0.2	-62,174.000000
1.366533	0.2	-62,183.000000
1.369867	0.2	-62,206.000000
1.373200	0.2	-62,238.000000
1.376533	0.2	-62,274.000000
1.379867	0.2	-62,303.000000
1.383200	0.2	-62,317.000000
1.386533	0.2	-62,327.000000
1.389867	0.2	-62,344.000000
1.393200	0.2	-62,373.000000
1.396533	0.2	-62,421.000000
1.399867	0.2	-62,500.000000
1.403200	0.2	-62,619.000000
1.406533	0.2	-62,769.000000
1.409867	0.2	-62,934.000000
1.413200	0.2	-63,095.000000
1.416533	0.2	-63,224.000000
1.419867	0.2	-63,303.000000
1.423200	0.2	-63,335.000000
1.426533	0.2	-63,337.000000
1.429867	0.2	-63,322.000000
1.433200	0.2	-63,308.000000
1.436533	0.2	-63,299.000000
1.439867	0.2	-63,294.000000
1.443200	0.2	-63,288.000000
1.446533	0.2	-63,286.000000
1.449867	0.2	-63,295.000000
1.453200	0.2	-63,318.000000
1.456533	0.2	-63,361.000000
1.459867	0.2	-63,412.000000
1.463200	0.2	-63,452.000000
1.466533	0.2	-63,480.000000
1.469867	0.2	-63,496.000000
1.473200	0.2	-63,511.000000
1.476533	0.2	-63,538.000000
1.479867	0.2	-63,575.000000
1.483200	0.2	-63,617.000000
1.486533	0.2	-63,655.000000
1.489867	0.2	-63,677.000000
1.493200	0.2	-63,669.000000
1.496533	0.2	-63,610.000000
1.499867	0.2	-63,501.000000
1.503200	0.2	-63,347.000000
1.506533	0.2	-63,174.000000
1.509867	0.2	-63,024.000000
1.513200	0.2	-62,920.000000
1.516533	0.2	-62,871.000000
1.519867	0.2	-62,870.000000
1.523200	0.2	-62,901.000000
1.526533	0.2	-62,937.000000
1.529867	0.2	-62,964.000000
1.533200	0.2	-62,978.000000
1.536533	0.2	-62,995.000000
1.539867	0.2	-63,034.000000
1.543200	0.2	-63,110.000000
1.546533	0.2	-63,224.000000
1.549867	0.2	-63,358.000000
1.553200	0.2	-63,490.000000
1.556533	0.2	-63,613.000000
1.559867	0.2	-63,721.000000
1.563200	0.2	-63,802.000000
1.566533	0.2	-63,858.000000
1.569867	0.2	-63,885.000000
1.573200	0.2	-63,883.000000
1.576533	0.2	-63,852.000000
1.579867	0.2	-63,806.000000
1.583200	0.2	-63,761.000000
1.586533	0.2	-63,721.000000
1.589867	0.2	-63,676.000000
1.593200	0.2	-63,623.000000
1.596533	0.2	-63,574.000000
1.599867	0.2	-63,549.000000
1.603200	0.2	-63,544.000000
1.606533	0.2	-63,543.000000
1.609867	0.2	-63,540.000000
1.613200	0.2	-63,525.000000
1.616533	0.2	-63,491.000000
1.619867	0.2	-63,431.000000
1.623200	0.2	-63,347.000000
1.626533	0.2	-63,253.000000
1.629867	0.2	-63,169.000000
1.633200	0.2	-63,106.000000
1.636533	0.2	-63,072.000000
1.639867	0.2	-63,059.000000
1.643200	0.2	-63,056.000000
1.646533	0.2	-63,058.000000
1.649867	0.2	-63,065.000000
1.653200	0.2	-63,073.000000
1.656533	0.2	-63,075.000000
1.659867	0.2	-63,072.000000
1.663200	0.2	-63,058.000000
1.666533	0.2	-63,029.000000
1.669867	0.2	-62,993.000000
1.673200	0.2	-62,955.000000
1.676533	0.2	-62,924.000000
1.679867	0.2	-62,909.000000
1.683200	0.2	-62,911.000000
1.686533	0.2	-62,935.000000
1.689867	0.2	-62,983.000000
1.693200	0.2	-63,050.000000
1.696533	0.2	-63,119.000000
1.699867	0.2	-63,176.000000
