URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.22.26 absorption remainder.seq/937.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.22.26 absorption remainder
Name	AB liver 9
Number	3
Position	RB3
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/22/2026 11:25:14 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003367
Time Max. (min)	107.503367
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-62,622.000000
Signal Max.	578,289.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003367	n.a.	0.000000
0.006700	0.2	0.000000
0.010033	0.2	0.000000
0.013367	0.2	0.000000
0.016700	0.2	0.000000
0.020033	0.2	0.000000
0.023367	0.2	0.000000
0.026700	0.2	0.000000
0.030033	0.2	0.000000
0.033367	0.2	0.000000
0.036700	0.2	-50,592.000000
0.040033	0.2	-50,657.000000
0.043367	0.2	-50,736.000000
0.046700	0.2	-50,815.000000
0.050033	0.2	-50,882.000000
0.053367	0.2	-50,931.000000
0.056700	0.2	-50,956.000000
0.060033	0.2	-50,956.000000
0.063367	0.2	-50,925.000000
0.066700	0.2	-50,859.000000
0.070033	0.2	-50,759.000000
0.073367	0.2	-50,632.000000
0.076700	0.2	-50,487.000000
0.080033	0.2	-50,324.000000
0.083367	0.2	-50,141.000000
0.086700	0.2	-49,941.000000
0.090033	0.2	-49,736.000000
0.093367	0.2	-49,548.000000
0.096700	0.2	-49,398.000000
0.100033	0.2	-49,309.000000
0.103367	0.2	-49,281.000000
0.106700	0.2	-49,308.000000
0.110033	0.2	-49,383.000000
0.113367	0.2	-49,503.000000
0.116700	0.2	-49,653.000000
0.120033	0.2	-49,813.000000
0.123367	0.2	-49,966.000000
0.126700	0.2	-50,088.000000
0.130033	0.2	-50,175.000000
0.133367	0.2	-50,235.000000
0.136700	0.2	-50,272.000000
0.140033	0.2	-50,296.000000
0.143367	0.2	-50,311.000000
0.146700	0.2	-50,323.000000
0.150033	0.2	-50,330.000000
0.153367	0.2	-50,328.000000
0.156700	0.2	-50,314.000000
0.160033	0.2	-50,296.000000
0.163367	0.2	-50,285.000000
0.166700	0.2	-50,291.000000
0.170033	0.2	-50,318.000000
0.173367	0.2	-50,371.000000
0.176700	0.2	-50,451.000000
0.180033	0.2	-50,549.000000
0.183367	0.2	-50,644.000000
0.186700	0.2	-50,720.000000
0.190033	0.2	-50,762.000000
0.193367	0.2	-50,771.000000
0.196700	0.2	-50,754.000000
0.200033	0.2	-50,714.000000
0.203367	0.2	-50,660.000000
