URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/3.31.26 Livers asgr1.seq/837.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	3.31.26 Livers asgr1
Name	asgr liver 1
Number	4
Position	RA4
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	3/31/2026 11:06:05 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003350
Time Max. (min)	107.503350
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-125,269.000000
Signal Max.	1,062,092.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003350	n.a.	2,286.000000
0.006683	0.2	2,286.000000
0.010017	0.2	2,286.000000
0.013350	0.2	2,286.000000
0.016683	0.2	2,286.000000
0.020017	0.2	2,286.000000
0.023350	0.2	2,286.000000
0.026683	0.2	2,286.000000
0.030017	0.2	2,286.000000
0.033350	0.2	2,286.000000
0.036683	0.2	-52,870.000000
0.040017	0.2	-52,969.000000
0.043350	0.2	-53,098.000000
0.046683	0.2	-53,243.000000
0.050017	0.2	-53,394.000000
0.053350	0.2	-53,538.000000
0.056683	0.2	-53,672.000000
0.060017	0.2	-53,794.000000
0.063350	0.2	-53,901.000000
0.066683	0.2	-53,995.000000
0.070017	0.2	-54,081.000000
0.073350	0.2	-54,171.000000
0.076683	0.2	-54,265.000000
0.080017	0.2	-54,356.000000
0.083350	0.2	-54,435.000000
0.086683	0.2	-54,497.000000
0.090017	0.2	-54,538.000000
0.093350	0.2	-54,559.000000
0.096683	0.2	-54,563.000000
0.100017	0.2	-54,557.000000
0.103350	0.2	-54,548.000000
0.106683	0.2	-54,539.000000
0.110017	0.2	-54,532.000000
0.113350	0.2	-54,531.000000
0.116683	0.2	-54,533.000000
0.120017	0.2	-54,529.000000
0.123350	0.2	-54,517.000000
0.126683	0.2	-54,501.000000
0.130017	0.2	-54,486.000000
0.133350	0.2	-54,476.000000
0.136683	0.2	-54,473.000000
0.140017	0.2	-54,475.000000
0.143350	0.2	-54,484.000000
0.146683	0.2	-54,497.000000
0.150017	0.2	-54,503.000000
0.153350	0.2	-54,496.000000
0.156683	0.2	-54,470.000000
0.160017	0.2	-54,428.000000
0.163350	0.2	-54,378.000000
0.166683	0.2	-54,328.000000
0.170017	0.2	-54,282.000000
0.173350	0.2	-54,239.000000
0.176683	0.2	-54,198.000000
0.180017	0.2	-54,161.000000
0.183350	0.2	-54,129.000000
0.186683	0.2	-54,103.000000
0.190017	0.2	-54,081.000000
0.193350	0.2	-54,067.000000
0.196683	0.2	-54,062.000000
0.200017	0.2	-54,061.000000
0.203350	0.2	-54,062.000000
0.206683	0.2	-54,067.000000
0.210017	0.2	-54,074.000000
0.213350	0.2	-54,075.000000
0.216683	0.2	-54,070.000000
0.220017	0.2	-54,067.000000
0.223350	0.2	-54,077.000000
0.226683	0.2	-54,099.000000
0.230017	0.2	-54,131.000000
0.233350	0.2	-54,165.000000
0.236683	0.2	-54,199.000000
0.240017	0.2	-54,231.000000
0.243350	0.2	-54,260.000000
0.246683	0.2	-54,280.000000
0.250017	0.2	-54,292.000000
0.253350	0.2	-54,296.000000
0.256683	0.2	-54,291.000000
0.260017	0.2	-54,281.000000
0.263350	0.2	-54,268.000000
0.266683	0.2	-54,255.000000
0.270017	0.2	-54,237.000000
0.273350	0.2	-54,205.000000
0.276683	0.2	-54,156.000000
0.280017	0.2	-54,093.000000
0.283350	0.2	-54,028.000000
0.286683	0.2	-53,970.000000
0.290017	0.2	-53,933.000000
0.293350	0.2	-53,924.000000
0.296683	0.2	-53,939.000000
0.300017	0.2	-53,970.000000
0.303350	0.2	-54,007.000000
0.306683	0.2	-54,040.000000
0.310017	0.2	-54,068.000000
0.313350	0.2	-54,094.000000
0.316683	0.2	-54,120.000000
0.320017	0.2	-54,148.000000
0.323350	0.2	-54,172.000000
0.326683	0.2	-54,198.000000
0.330017	0.2	-54,229.000000
0.333350	0.2	-54,262.000000
0.336683	0.2	-54,289.000000
0.340017	0.2	-54,306.000000
0.343350	0.2	-54,314.000000
0.346683	0.2	-54,319.000000
0.350017	0.2	-54,321.000000
0.353350	0.2	-54,320.000000
0.356683	0.2	-54,321.000000
0.360017	0.2	-54,326.000000
0.363350	0.2	-54,344.000000
0.366683	0.2	-54,369.000000
0.370017	0.2	-54,396.000000
0.373350	0.2	-54,429.000000
0.376683	0.2	-54,473.000000
0.380017	0.2	-54,522.000000
0.383350	0.2	-54,569.000000
0.386683	0.2	-54,609.000000
0.390017	0.2	-54,642.000000
0.393350	0.2	-54,658.000000
0.396683	0.2	-54,656.000000
0.400017	0.2	-54,641.000000
0.403350	0.2	-54,617.000000
0.406683	0.2	-54,582.000000
0.410017	0.2	-54,532.000000
0.413350	0.2	-54,469.000000
0.416683	0.2	-54,396.000000
0.420017	0.2	-54,319.000000
0.423350	0.2	-54,242.000000
0.426683	0.2	-54,169.000000
0.430017	0.2	-54,100.000000
0.433350	0.2	-54,040.000000
0.436683	0.2	-53,997.000000
0.440017	0.2	-53,968.000000
0.443350	0.2	-53,953.000000
0.446683	0.2	-53,955.000000
0.450017	0.2	-53,977.000000
0.453350	0.2	-54,022.000000
0.456683	0.2	-54,084.000000
0.460017	0.2	-54,160.000000
0.463350	0.2	-54,245.000000
0.466683	0.2	-54,323.000000
0.470017	0.2	-54,383.000000
0.473350	0.2	-54,418.000000
0.476683	0.2	-54,421.000000
0.480017	0.2	-54,401.000000
0.483350	0.2	-54,361.000000
0.486683	0.2	-54,303.000000
0.490017	0.2	-54,240.000000
0.493350	0.2	-54,187.000000
0.496683	0.2	-54,153.000000
0.500017	0.2	-54,133.000000
0.503350	0.2	-54,124.000000
0.506683	0.2	-54,125.000000
0.510017	0.2	-54,142.000000
0.513350	0.2	-54,173.000000
0.516683	0.2	-54,214.000000
0.520017	0.2	-54,256.000000
0.523350	0.2	-54,293.000000
0.526683	0.2	-54,321.000000
0.530017	0.2	-54,336.000000
0.533350	0.2	-54,338.000000
0.536683	0.2	-54,332.000000
0.540017	0.2	-54,321.000000
0.543350	0.2	-54,305.000000
0.546683	0.2	-54,289.000000
0.550017	0.2	-54,267.000000
0.553350	0.2	-54,237.000000
0.556683	0.2	-54,201.000000
0.560017	0.2	-54,167.000000
0.563350	0.2	-54,142.000000
0.566683	0.2	-54,134.000000
0.570017	0.2	-54,145.000000
0.573350	0.2	-54,170.000000
0.576683	0.2	-54,202.000000
0.580017	0.2	-54,240.000000
0.583350	0.2	-54,283.000000
0.586683	0.2	-54,330.000000
0.590017	0.2	-54,381.000000
0.593350	0.2	-54,433.000000
0.596683	0.2	-54,477.000000
0.600017	0.2	-54,512.000000
0.603350	0.2	-54,529.000000
0.606683	0.2	-54,515.000000
0.610017	0.2	-54,455.000000
0.613350	0.2	-54,320.000000
0.616683	0.2	-54,071.000000
0.620017	0.2	-53,682.000000
0.623350	0.2	-53,146.000000
0.626683	0.2	-52,461.000000
0.630017	0.2	-51,638.000000
0.633350	0.2	-50,704.000000
0.636683	0.2	-49,697.000000
0.640017	0.2	-48,659.000000
0.643350	0.2	-47,634.000000
0.646683	0.2	-46,664.000000
0.650017	0.2	-45,786.000000
0.653350	0.2	-45,030.000000
0.656683	0.2	-44,421.000000
0.660017	0.2	-43,977.000000
0.663350	0.2	-43,699.000000
0.666683	0.2	-43,568.000000
0.670017	0.2	-43,550.000000
0.673350	0.2	-43,603.000000
0.676683	0.2	-43,681.000000
0.680017	0.2	-43,738.000000
0.683350	0.2	-43,732.000000
0.686683	0.2	-43,637.000000
0.690017	0.2	-43,450.000000
0.693350	0.2	-43,175.000000
0.696683	0.2	-42,817.000000
0.700017	0.2	-42,377.000000
0.703350	0.2	-41,834.000000
0.706683	0.2	-41,163.000000
0.710017	0.2	-40,367.000000
0.713350	0.2	-39,470.000000
0.716683	0.2	-38,513.000000
0.720017	0.2	-37,553.000000
0.723350	0.2	-36,652.000000
0.726683	0.2	-35,862.000000
0.730017	0.2	-35,205.000000
0.733350	0.2	-34,679.000000
0.736683	0.2	-34,268.000000
0.740017	0.2	-33,947.000000
0.743350	0.2	-33,695.000000
0.746683	0.2	-33,487.000000
0.750017	0.2	-33,304.000000
0.753350	0.2	-33,141.000000
0.756683	0.2	-33,011.000000
0.760017	0.2	-32,930.000000
0.763350	0.2	-32,903.000000
0.766683	0.2	-32,931.000000
0.770017	0.2	-32,990.000000
0.773350	0.2	-33,053.000000
0.776683	0.2	-33,102.000000
0.780017	0.2	-33,139.000000
0.783350	0.2	-33,176.000000
0.786683	0.2	-33,232.000000
0.790017	0.2	-33,312.000000
0.793350	0.2	-33,412.000000
0.796683	0.2	-33,535.000000
0.800017	0.2	-33,687.000000
0.803350	0.2	-33,871.000000
0.806683	0.2	-34,089.000000
0.810017	0.2	-34,340.000000
0.813350	0.2	-34,617.000000
0.816683	0.2	-34,907.000000
0.820017	0.2	-35,200.000000
0.823350	0.2	-35,492.000000
0.826683	0.2	-35,789.000000
0.830017	0.2	-36,086.000000
0.833350	0.2	-36,369.000000
0.836683	0.2	-36,631.000000
0.840017	0.2	-36,870.000000
0.843350	0.2	-37,092.000000
0.846683	0.2	-37,308.000000
0.850017	0.2	-37,523.000000
0.853350	0.2	-37,738.000000
0.856683	0.2	-37,954.000000
0.860017	0.2	-38,174.000000
0.863350	0.2	-38,399.000000
0.866683	0.2	-38,632.000000
0.870017	0.2	-38,881.000000
0.873350	0.2	-39,150.000000
0.876683	0.2	-39,440.000000
0.880017	0.2	-39,752.000000
0.883350	0.2	-40,080.000000
0.886683	0.2	-40,417.000000
0.890017	0.2	-40,758.000000
0.893350	0.2	-41,100.000000
0.896683	0.2	-41,450.000000
0.900017	0.2	-41,817.000000
0.903350	0.2	-42,206.000000
0.906683	0.2	-42,614.000000
0.910017	0.2	-43,040.000000
0.913350	0.2	-43,487.000000
0.916683	0.2	-43,954.000000
0.920017	0.2	-44,440.000000
0.923350	0.2	-44,934.000000
0.926683	0.2	-45,431.000000
0.930017	0.2	-45,924.000000
0.933350	0.2	-46,404.000000
0.936683	0.2	-46,863.000000
0.940017	0.2	-47,296.000000
0.943350	0.2	-47,703.000000
0.946683	0.2	-48,087.000000
0.950017	0.2	-48,456.000000
0.953350	0.2	-48,811.000000
0.956683	0.2	-49,147.000000
0.960017	0.2	-49,459.000000
0.963350	0.2	-49,752.000000
0.966683	0.2	-50,023.000000
0.970017	0.2	-50,272.000000
0.973350	0.2	-50,496.000000
0.976683	0.2	-50,697.000000
0.980017	0.2	-50,874.000000
0.983350	0.2	-51,031.000000
0.986683	0.2	-51,171.000000
0.990017	0.2	-51,291.000000
0.993350	0.2	-51,382.000000
0.996683	0.2	-51,440.000000
1.000017	0.2	-51,465.000000
1.003350	0.2	-51,466.000000
1.006683	0.2	-51,448.000000
1.010017	0.2	-51,420.000000
1.013350	0.2	-51,388.000000
1.016683	0.2	-51,354.000000
1.020017	0.2	-51,325.000000
1.023350	0.2	-51,308.000000
1.026683	0.2	-51,308.000000
1.030017	0.2	-51,326.000000
1.033350	0.2	-51,353.000000
1.036683	0.2	-51,380.000000
1.040017	0.2	-51,404.000000
1.043350	0.2	-51,430.000000
1.046683	0.2	-51,462.000000
1.050017	0.2	-51,498.000000
1.053350	0.2	-51,532.000000
1.056683	0.2	-51,555.000000
1.060017	0.2	-51,567.000000
1.063350	0.2	-51,569.000000
1.066683	0.2	-51,562.000000
1.070017	0.2	-51,546.000000
1.073350	0.2	-51,519.000000
1.076683	0.2	-51,481.000000
1.080017	0.2	-51,433.000000
1.083350	0.2	-51,383.000000
1.086683	0.2	-51,329.000000
1.090017	0.2	-51,268.000000
1.093350	0.2	-51,203.000000
1.096683	0.2	-51,134.000000
1.100017	0.2	-51,073.000000
1.103350	0.2	-51,025.000000
1.106683	0.2	-50,988.000000
1.110017	0.2	-50,957.000000
1.113350	0.2	-50,929.000000
1.116683	0.2	-50,909.000000
1.120017	0.2	-50,903.000000
1.123350	0.2	-50,913.000000
1.126683	0.2	-50,933.000000
1.130017	0.2	-50,955.000000
1.133350	0.2	-50,975.000000
1.136683	0.2	-50,995.000000
1.140017	0.2	-51,016.000000
1.143350	0.2	-51,037.000000
1.146683	0.2	-51,061.000000
1.150017	0.2	-51,090.000000
1.153350	0.2	-51,117.000000
1.156683	0.2	-51,139.000000
1.160017	0.2	-51,154.000000
1.163350	0.2	-51,164.000000
1.166683	0.2	-51,174.000000
1.170017	0.2	-51,192.000000
1.173350	0.2	-51,225.000000
1.176683	0.2	-51,274.000000
1.180017	0.2	-51,332.000000
1.183350	0.2	-51,389.000000
1.186683	0.2	-51,447.000000
1.190017	0.2	-51,505.000000
1.193350	0.2	-51,559.000000
1.196683	0.2	-51,612.000000
1.200017	0.2	-51,666.000000
1.203350	0.2	-51,723.000000
1.206683	0.2	-51,781.000000
1.210017	0.2	-51,838.000000
1.213350	0.2	-51,890.000000
1.216683	0.2	-51,933.000000
1.220017	0.2	-51,966.000000
1.223350	0.2	-51,989.000000
1.226683	0.2	-52,002.000000
1.230017	0.2	-52,012.000000
1.233350	0.2	-52,020.000000
1.236683	0.2	-52,029.000000
1.240017	0.2	-52,041.000000
1.243350	0.2	-52,058.000000
1.246683	0.2	-52,086.000000
1.250017	0.2	-52,125.000000
1.253350	0.2	-52,173.000000
1.256683	0.2	-52,228.000000
1.260017	0.2	-52,291.000000
1.263350	0.2	-52,362.000000
1.266683	0.2	-52,438.000000
1.270017	0.2	-52,512.000000
1.273350	0.2	-52,573.000000
1.276683	0.2	-52,615.000000
1.280017	0.2	-52,635.000000
1.283350	0.2	-52,646.000000
1.286683	0.2	-52,659.000000
1.290017	0.2	-52,682.000000
1.293350	0.2	-52,714.000000
1.296683	0.2	-52,747.000000
1.300017	0.2	-52,769.000000
1.303350	0.2	-52,779.000000
1.306683	0.2	-52,779.000000
1.310017	0.2	-52,774.000000
1.313350	0.2	-52,768.000000
1.316683	0.2	-52,765.000000
1.320017	0.2	-52,774.000000
1.323350	0.2	-52,796.000000
1.326683	0.2	-52,834.000000
1.330017	0.2	-52,887.000000
1.333350	0.2	-52,949.000000
1.336683	0.2	-53,015.000000
1.340017	0.2	-53,082.000000
1.343350	0.2	-53,142.000000
1.346683	0.2	-53,191.000000
1.350017	0.2	-53,221.000000
1.353350	0.2	-53,228.000000
1.356683	0.2	-53,213.000000
1.360017	0.2	-53,179.000000
1.363350	0.2	-53,129.000000
1.366683	0.2	-53,069.000000
1.370017	0.2	-53,006.000000
1.373350	0.2	-52,953.000000
1.376683	0.2	-52,920.000000
1.380017	0.2	-52,905.000000
1.383350	0.2	-52,908.000000
1.386683	0.2	-52,934.000000
1.390017	0.2	-52,983.000000
1.393350	0.2	-53,044.000000
1.396683	0.2	-53,102.000000
1.400017	0.2	-53,160.000000
1.403350	0.2	-53,221.000000
1.406683	0.2	-53,283.000000
1.410017	0.2	-53,352.000000
1.413350	0.2	-53,422.000000
1.416683	0.2	-53,484.000000
1.420017	0.2	-53,532.000000
1.423350	0.2	-53,565.000000
1.426683	0.2	-53,578.000000
1.430017	0.2	-53,566.000000
1.433350	0.2	-53,531.000000
1.436683	0.2	-53,476.000000
1.440017	0.2	-53,411.000000
1.443350	0.2	-53,345.000000
1.446683	0.2	-53,288.000000
1.450017	0.2	-53,246.000000
1.453350	0.2	-53,225.000000
1.456683	0.2	-53,224.000000
1.460017	0.2	-53,239.000000
1.463350	0.2	-53,262.000000
1.466683	0.2	-53,282.000000
1.470017	0.2	-53,292.000000
1.473350	0.2	-53,289.000000
1.476683	0.2	-53,278.000000
1.480017	0.2	-53,260.000000
1.483350	0.2	-53,237.000000
1.486683	0.2	-53,208.000000
1.490017	0.2	-53,172.000000
1.493350	0.2	-53,132.000000
1.496683	0.2	-53,095.000000
1.500017	0.2	-53,071.000000
1.503350	0.2	-53,065.000000
1.506683	0.2	-53,076.000000
