URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/3.30.26 Gwyn 3-4 days.seq/146.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	3.30.26 Gwyn 3-4 days
Name	asgr liver 4
Number	9
Position	RB1
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD_end
Type	Unknown
Status	Finished
Inject Time	3/31/2026 7:35:19 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003283
Time Max. (min)	107.503283
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-66,599.000000
Signal Max.	268,800.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003283	n.a.	381.000000
0.006617	0.2	381.000000
0.009950	0.2	381.000000
0.013283	0.2	381.000000
0.016617	0.2	381.000000
0.019950	0.2	381.000000
0.023283	0.2	381.000000
0.026617	0.2	381.000000
0.029950	0.2	381.000000
0.033283	0.2	381.000000
0.036617	0.2	-37,060.000000
0.039950	0.2	-37,091.000000
0.043283	0.2	-37,119.000000
0.046617	0.2	-37,142.000000
0.049950	0.2	-37,159.000000
0.053283	0.2	-37,172.000000
0.056617	0.2	-37,184.000000
0.059950	0.2	-37,202.000000
0.063283	0.2	-37,231.000000
0.066617	0.2	-37,272.000000
0.069950	0.2	-37,316.000000
0.073283	0.2	-37,355.000000
0.076617	0.2	-37,382.000000
0.079950	0.2	-37,395.000000
0.083283	0.2	-37,400.000000
0.086617	0.2	-37,404.000000
0.089950	0.2	-37,409.000000
0.093283	0.2	-37,415.000000
0.096617	0.2	-37,426.000000
0.099950	0.2	-37,441.000000
0.103283	0.2	-37,458.000000
0.106617	0.2	-37,479.000000
0.109950	0.2	-37,510.000000
0.113283	0.2	-37,556.000000
0.116617	0.2	-37,613.000000
0.119950	0.2	-37,675.000000
0.123283	0.2	-37,732.000000
0.126617	0.2	-37,779.000000
0.129950	0.2	-37,810.000000
0.133283	0.2	-37,828.000000
0.136617	0.2	-37,841.000000
0.139950	0.2	-37,849.000000
0.143283	0.2	-37,851.000000
0.146617	0.2	-37,844.000000
0.149950	0.2	-37,824.000000
0.153283	0.2	-37,790.000000
