URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/3.30.26 Gwyn 3-4 days.seq/713.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	3.30.26 Gwyn 3-4 days
Name	asgr liver 5
Number	7
Position	RA7
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	3/31/2026 3:57:16 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003367
Time Max. (min)	107.503367
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-46,052.000000
Signal Max.	32,073.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003367	n.a.	1,524.000000
0.006700	0.2	1,524.000000
0.010033	0.2	1,524.000000
0.013367	0.2	1,524.000000
0.016700	0.2	1,524.000000
0.020033	0.2	1,524.000000
0.023367	0.2	1,524.000000
0.026700	0.2	1,524.000000
0.030033	0.2	1,524.000000
0.033367	0.2	1,524.000000
0.036700	0.2	-39,622.000000
0.040033	0.2	-39,696.000000
0.043367	0.2	-39,799.000000
0.046700	0.2	-39,919.000000
0.050033	0.2	-40,044.000000
0.053367	0.2	-40,162.000000
0.056700	0.2	-40,265.000000
0.060033	0.2	-40,348.000000
0.063367	0.2	-40,406.000000
0.066700	0.2	-40,441.000000
0.070033	0.2	-40,458.000000
0.073367	0.2	-40,463.000000
0.076700	0.2	-40,460.000000
0.080033	0.2	-40,456.000000
0.083367	0.2	-40,448.000000
0.086700	0.2	-40,433.000000
0.090033	0.2	-40,421.000000
0.093367	0.2	-40,413.000000
0.096700	0.2	-40,407.000000
0.100033	0.2	-40,400.000000
0.103367	0.2	-40,395.000000
0.106700	0.2	-40,396.000000
0.110033	0.2	-40,406.000000
0.113367	0.2	-40,432.000000
0.116700	0.2	-40,477.000000
0.120033	0.2	-40,538.000000
0.123367	0.2	-40,607.000000
0.126700	0.2	-40,677.000000
0.130033	0.2	-40,740.000000
0.133367	0.2	-40,789.000000
0.136700	0.2	-40,818.000000
0.140033	0.2	-40,822.000000
0.143367	0.2	-40,801.000000
0.146700	0.2	-40,755.000000
0.150033	0.2	-40,689.000000
0.153367	0.2	-40,615.000000
0.156700	0.2	-40,545.000000
0.160033	0.2	-40,489.000000
0.163367	0.2	-40,452.000000
0.166700	0.2	-40,434.000000
0.170033	0.2	-40,436.000000
0.173367	0.2	-40,458.000000
0.176700	0.2	-40,491.000000
0.180033	0.2	-40,533.000000
0.183367	0.2	-40,586.000000
0.186700	0.2	-40,649.000000
0.190033	0.2	-40,717.000000
0.193367	0.2	-40,781.000000
0.196700	0.2	-40,832.000000
0.200033	0.2	-40,870.000000
0.203367	0.2	-40,898.000000
0.206700	0.2	-40,913.000000
0.210033	0.2	-40,919.000000
0.213367	0.2	-40,916.000000
0.216700	0.2	-40,908.000000
0.220033	0.2	-40,904.000000
0.223367	0.2	-40,909.000000
0.226700	0.2	-40,915.000000
0.230033	0.2	-40,916.000000
0.233367	0.2	-40,910.000000
0.236700	0.2	-40,901.000000
0.240033	0.2	-40,888.000000
0.243367	0.2	-40,867.000000
0.246700	0.2	-40,832.000000
0.250033	0.2	-40,781.000000
0.253367	0.2	-40,720.000000
0.256700	0.2	-40,657.000000
0.260033	0.2	-40,599.000000
0.263367	0.2	-40,556.000000
0.266700	0.2	-40,529.000000
0.270033	0.2	-40,513.000000
0.273367	0.2	-40,504.000000
0.276700	0.2	-40,503.000000
0.280033	0.2	-40,512.000000
0.283367	0.2	-40,525.000000
0.286700	0.2	-40,538.000000
0.290033	0.2	-40,553.000000
0.293367	0.2	-40,571.000000
0.296700	0.2	-40,592.000000
0.300033	0.2	-40,614.000000
0.303367	0.2	-40,639.000000
0.306700	0.2	-40,668.000000
0.310033	0.2	-40,701.000000
0.313367	0.2	-40,727.000000
0.316700	0.2	-40,746.000000
0.320033	0.2	-40,754.000000
0.323367	0.2	-40,748.000000
0.326700	0.2	-40,726.000000
0.330033	0.2	-40,690.000000
0.333367	0.2	-40,645.000000
0.336700	0.2	-40,598.000000
0.340033	0.2	-40,553.000000
0.343367	0.2	-40,513.000000
0.346700	0.2	-40,480.000000
0.350033	0.2	-40,455.000000
0.353367	0.2	-40,441.000000
0.356700	0.2	-40,437.000000
0.360033	0.2	-40,444.000000
0.363367	0.2	-40,461.000000
0.366700	0.2	-40,487.000000
0.370033	0.2	-40,525.000000
0.373367	0.2	-40,574.000000
0.376700	0.2	-40,632.000000
0.380033	0.2	-40,690.000000
0.383367	0.2	-40,739.000000
0.386700	0.2	-40,771.000000
0.390033	0.2	-40,780.000000
0.393367	0.2	-40,767.000000
0.396700	0.2	-40,735.000000
0.400033	0.2	-40,690.000000
0.403367	0.2	-40,638.000000
0.406700	0.2	-40,583.000000
0.410033	0.2	-40,539.000000
0.413367	0.2	-40,513.000000
0.416700	0.2	-40,504.000000
0.420033	0.2	-40,505.000000
0.423367	0.2	-40,517.000000
0.426700	0.2	-40,533.000000
0.430033	0.2	-40,549.000000
0.433367	0.2	-40,561.000000
0.436700	0.2	-40,570.000000
0.440033	0.2	-40,579.000000
0.443367	0.2	-40,589.000000
0.446700	0.2	-40,603.000000
0.450033	0.2	-40,617.000000
0.453367	0.2	-40,626.000000
0.456700	0.2	-40,627.000000
0.460033	0.2	-40,622.000000
0.463367	0.2	-40,621.000000
0.466700	0.2	-40,631.000000
0.470033	0.2	-40,648.000000
0.473367	0.2	-40,666.000000
0.476700	0.2	-40,679.000000
0.480033	0.2	-40,688.000000
0.483367	0.2	-40,687.000000
0.486700	0.2	-40,677.000000
0.490033	0.2	-40,659.000000
0.493367	0.2	-40,637.000000
0.496700	0.2	-40,614.000000
0.500033	0.2	-40,588.000000
0.503367	0.2	-40,554.000000
0.506700	0.2	-40,511.000000
0.510033	0.2	-40,462.000000
0.513367	0.2	-40,415.000000
0.516700	0.2	-40,374.000000
0.520033	0.2	-40,340.000000
0.523367	0.2	-40,315.000000
0.526700	0.2	-40,305.000000
0.530033	0.2	-40,311.000000
0.533367	0.2	-40,330.000000
0.536700	0.2	-40,356.000000
