URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.22.26 absorption remainder.seq/781.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.22.26 absorption remainder
Name	asgr liver 6
Number	1
Position	RB1
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/22/2026 7:47:30 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003417
Time Max. (min)	107.503417
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-71,020.000000
Signal Max.	122,917.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003417	n.a.	2,286.000000
0.006750	0.2	2,286.000000
0.010083	0.2	2,286.000000
0.013417	0.2	2,286.000000
0.016750	0.2	2,286.000000
0.020083	0.2	2,286.000000
0.023417	0.2	2,286.000000
0.026750	0.2	2,286.000000
0.030083	0.2	2,286.000000
0.033417	0.2	2,286.000000
0.036750	0.2	-58,843.000000
0.040083	0.2	-58,857.000000
0.043417	0.2	-58,869.000000
0.046750	0.2	-58,872.000000
0.050083	0.2	-58,872.000000
0.053417	0.2	-58,882.000000
0.056750	0.2	-58,910.000000
0.060083	0.2	-58,954.000000
0.063417	0.2	-59,003.000000
0.066750	0.2	-59,054.000000
0.070083	0.2	-59,100.000000
0.073417	0.2	-59,136.000000
0.076750	0.2	-59,151.000000
0.080083	0.2	-59,140.000000
0.083417	0.2	-59,101.000000
0.086750	0.2	-59,042.000000
0.090083	0.2	-58,977.000000
0.093417	0.2	-58,916.000000
0.096750	0.2	-58,867.000000
0.100083	0.2	-58,838.000000
0.103417	0.2	-58,837.000000
0.106750	0.2	-58,860.000000
0.110083	0.2	-58,896.000000
0.113417	0.2	-58,940.000000
0.116750	0.2	-58,984.000000
0.120083	0.2	-59,010.000000
0.123417	0.2	-59,007.000000
0.126750	0.2	-58,973.000000
0.130083	0.2	-58,922.000000
0.133417	0.2	-58,860.000000
0.136750	0.2	-58,786.000000
0.140083	0.2	-58,706.000000
0.143417	0.2	-58,634.000000
0.146750	0.2	-58,582.000000
0.150083	0.2	-58,556.000000
0.153417	0.2	-58,554.000000
0.156750	0.2	-58,571.000000
0.160083	0.2	-58,604.000000
0.163417	0.2	-58,641.000000
0.166750	0.2	-58,662.000000
0.170083	0.2	-58,659.000000
0.173417	0.2	-58,642.000000
0.176750	0.2	-58,614.000000
0.180083	0.2	-58,579.000000
0.183417	0.2	-58,544.000000
0.186750	0.2	-58,507.000000
0.190083	0.2	-58,462.000000
0.193417	0.2	-58,409.000000
0.196750	0.2	-58,349.000000
0.200083	0.2	-58,285.000000
0.203417	0.2	-58,234.000000
0.206750	0.2	-58,217.000000
0.210083	0.2	-58,233.000000
0.213417	0.2	-58,274.000000
0.216750	0.2	-58,325.000000
0.220083	0.2	-58,387.000000
0.223417	0.2	-58,459.000000
0.226750	0.2	-58,535.000000
0.230083	0.2	-58,615.000000
0.233417	0.2	-58,694.000000
0.236750	0.2	-58,762.000000
0.240083	0.2	-58,812.000000
0.243417	0.2	-58,835.000000
0.246750	0.2	-58,830.000000
0.250083	0.2	-58,806.000000
0.253417	0.2	-58,768.000000
0.256750	0.2	-58,720.000000
0.260083	0.2	-58,670.000000
0.263417	0.2	-58,624.000000
0.266750	0.2	-58,583.000000
0.270083	0.2	-58,540.000000
0.273417	0.2	-58,485.000000
0.276750	0.2	-58,422.000000
0.280083	0.2	-58,361.000000
0.283417	0.2	-58,319.000000
0.286750	0.2	-58,314.000000
0.290083	0.2	-58,357.000000
0.293417	0.2	-58,436.000000
0.296750	0.2	-58,536.000000
0.300083	0.2	-58,644.000000
0.303417	0.2	-58,745.000000
0.306750	0.2	-58,821.000000
0.310083	0.2	-58,866.000000
0.313417	0.2	-58,886.000000
0.316750	0.2	-58,894.000000
0.320083	0.2	-58,892.000000
0.323417	0.2	-58,873.000000
0.326750	0.2	-58,839.000000
0.330083	0.2	-58,793.000000
0.333417	0.2	-58,732.000000
0.336750	0.2	-58,651.000000
0.340083	0.2	-58,549.000000
0.343417	0.2	-58,442.000000
0.346750	0.2	-58,345.000000
0.350083	0.2	-58,267.000000
0.353417	0.2	-58,223.000000
0.356750	0.2	-58,219.000000
0.360083	0.2	-58,260.000000
0.363417	0.2	-58,343.000000
0.366750	0.2	-58,464.000000
0.370083	0.2	-58,604.000000
0.373417	0.2	-58,735.000000
0.376750	0.2	-58,831.000000
0.380083	0.2	-58,885.000000
0.383417	0.2	-58,893.000000
0.386750	0.2	-58,865.000000
0.390083	0.2	-58,829.000000
0.393417	0.2	-58,793.000000
0.396750	0.2	-58,762.000000
0.400083	0.2	-58,738.000000
0.403417	0.2	-58,722.000000
0.406750	0.2	-58,707.000000
0.410083	0.2	-58,691.000000
0.413417	0.2	-58,673.000000
0.416750	0.2	-58,647.000000
0.420083	0.2	-58,615.000000
0.423417	0.2	-58,575.000000
0.426750	0.2	-58,520.000000
0.430083	0.2	-58,459.000000
0.433417	0.2	-58,396.000000
0.436750	0.2	-58,337.000000
0.440083	0.2	-58,283.000000
0.443417	0.2	-58,231.000000
0.446750	0.2	-58,175.000000
0.450083	0.2	-58,111.000000
0.453417	0.2	-58,035.000000
0.456750	0.2	-57,957.000000
0.460083	0.2	-57,895.000000
0.463417	0.2	-57,871.000000
0.466750	0.2	-57,897.000000
0.470083	0.2	-57,966.000000
0.473417	0.2	-58,073.000000
0.476750	0.2	-58,198.000000
0.480083	0.2	-58,316.000000
0.483417	0.2	-58,412.000000
0.486750	0.2	-58,482.000000
0.490083	0.2	-58,531.000000
0.493417	0.2	-58,560.000000
0.496750	0.2	-58,567.000000
0.500083	0.2	-58,544.000000
0.503417	0.2	-58,494.000000
0.506750	0.2	-58,432.000000
0.510083	0.2	-58,360.000000
0.513417	0.2	-58,286.000000
0.516750	0.2	-58,224.000000
0.520083	0.2	-58,190.000000
0.523417	0.2	-58,194.000000
0.526750	0.2	-58,238.000000
0.530083	0.2	-58,307.000000
0.533417	0.2	-58,380.000000
0.536750	0.2	-58,436.000000
0.540083	0.2	-58,465.000000
0.543417	0.2	-58,471.000000
0.546750	0.2	-58,468.000000
0.550083	0.2	-58,466.000000
0.553417	0.2	-58,474.000000
0.556750	0.2	-58,495.000000
0.560083	0.2	-58,526.000000
0.563417	0.2	-58,565.000000
0.566750	0.2	-58,604.000000
0.570083	0.2	-58,635.000000
0.573417	0.2	-58,660.000000
0.576750	0.2	-58,680.000000
0.580083	0.2	-58,699.000000
0.583417	0.2	-58,721.000000
0.586750	0.2	-58,732.000000
0.590083	0.2	-58,719.000000
0.593417	0.2	-58,684.000000
0.596750	0.2	-58,639.000000
0.600083	0.2	-58,589.000000
0.603417	0.2	-58,529.000000
0.606750	0.2	-58,440.000000
0.610083	0.2	-58,278.000000
0.613417	0.2	-57,999.000000
0.616750	0.2	-57,566.000000
0.620083	0.2	-56,947.000000
0.623417	0.2	-56,115.000000
0.626750	0.2	-55,042.000000
0.630083	0.2	-53,733.000000
0.633417	0.2	-52,222.000000
0.636750	0.2	-50,558.000000
0.640083	0.2	-48,815.000000
0.643417	0.2	-47,093.000000
0.646750	0.2	-45,498.000000
0.650083	0.2	-44,110.000000
0.653417	0.2	-42,977.000000
0.656750	0.2	-42,137.000000
0.660083	0.2	-41,613.000000
0.663417	0.2	-41,385.000000
0.666750	0.2	-41,387.000000
0.670083	0.2	-41,545.000000
0.673417	0.2	-41,789.000000
0.676750	0.2	-42,059.000000
0.680083	0.2	-42,299.000000
0.683417	0.2	-42,454.000000
0.686750	0.2	-42,488.000000
0.690083	0.2	-42,383.000000
0.693417	0.2	-42,133.000000
0.696750	0.2	-41,718.000000
0.700083	0.2	-41,116.000000
0.703417	0.2	-40,313.000000
0.706750	0.2	-39,313.000000
0.710083	0.2	-38,145.000000
0.713417	0.2	-36,855.000000
0.716750	0.2	-35,511.000000
0.720083	0.2	-34,168.000000
0.723417	0.2	-32,864.000000
0.726750	0.2	-31,620.000000
0.730083	0.2	-30,431.000000
0.733417	0.2	-29,274.000000
0.736750	0.2	-28,135.000000
0.740083	0.2	-27,013.000000
0.743417	0.2	-25,935.000000
0.746750	0.2	-24,944.000000
0.750083	0.2	-24,085.000000
0.753417	0.2	-23,399.000000
0.756750	0.2	-22,918.000000
0.760083	0.2	-22,649.000000
0.763417	0.2	-22,593.000000
0.766750	0.2	-22,748.000000
0.770083	0.2	-23,086.000000
0.773417	0.2	-23,569.000000
0.776750	0.2	-24,169.000000
0.780083	0.2	-24,858.000000
0.783417	0.2	-25,603.000000
0.786750	0.2	-26,377.000000
0.790083	0.2	-27,151.000000
0.793417	0.2	-27,898.000000
0.796750	0.2	-28,591.000000
0.800083	0.2	-29,221.000000
0.803417	0.2	-29,805.000000
0.806750	0.2	-30,376.000000
0.810083	0.2	-30,943.000000
0.813417	0.2	-31,495.000000
0.816750	0.2	-32,027.000000
0.820083	0.2	-32,542.000000
0.823417	0.2	-33,028.000000
0.826750	0.2	-33,475.000000
0.830083	0.2	-33,887.000000
0.833417	0.2	-34,283.000000
0.836750	0.2	-34,684.000000
0.840083	0.2	-35,104.000000
0.843417	0.2	-35,542.000000
0.846750	0.2	-35,988.000000
0.850083	0.2	-36,432.000000
0.853417	0.2	-36,855.000000
0.856750	0.2	-37,247.000000
0.860083	0.2	-37,618.000000
0.863417	0.2	-37,985.000000
0.866750	0.2	-38,370.000000
0.870083	0.2	-38,787.000000
0.873417	0.2	-39,237.000000
0.876750	0.2	-39,724.000000
0.880083	0.2	-40,252.000000
0.883417	0.2	-40,819.000000
0.886750	0.2	-41,409.000000
0.890083	0.2	-42,005.000000
0.893417	0.2	-42,604.000000
0.896750	0.2	-43,212.000000
0.900083	0.2	-43,835.000000
0.903417	0.2	-44,468.000000
0.906750	0.2	-45,102.000000
0.910083	0.2	-45,717.000000
0.913417	0.2	-46,299.000000
0.916750	0.2	-46,847.000000
0.920083	0.2	-47,377.000000
0.923417	0.2	-47,906.000000
0.926750	0.2	-48,438.000000
0.930083	0.2	-48,977.000000
0.933417	0.2	-49,526.000000
0.936750	0.2	-50,089.000000
0.940083	0.2	-50,658.000000
0.943417	0.2	-51,218.000000
0.946750	0.2	-51,751.000000
0.950083	0.2	-52,237.000000
0.953417	0.2	-52,656.000000
0.956750	0.2	-52,998.000000
0.960083	0.2	-53,275.000000
0.963417	0.2	-53,502.000000
0.966750	0.2	-53,690.000000
0.970083	0.2	-53,836.000000
0.973417	0.2	-53,937.000000
0.976750	0.2	-53,998.000000
0.980083	0.2	-54,044.000000
0.983417	0.2	-54,089.000000
0.986750	0.2	-54,135.000000
0.990083	0.2	-54,185.000000
0.993417	0.2	-54,245.000000
0.996750	0.2	-54,307.000000
1.000083	0.2	-54,365.000000
1.003417	0.2	-54,412.000000
1.006750	0.2	-54,445.000000
1.010083	0.2	-54,458.000000
1.013417	0.2	-54,452.000000
1.016750	0.2	-54,427.000000
1.020083	0.2	-54,393.000000
1.023417	0.2	-54,365.000000
1.026750	0.2	-54,346.000000
1.030083	0.2	-54,335.000000
1.033417	0.2	-54,331.000000
1.036750	0.2	-54,333.000000
1.040083	0.2	-54,326.000000
1.043417	0.2	-54,303.000000
1.046750	0.2	-54,263.000000
1.050083	0.2	-54,208.000000
1.053417	0.2	-54,143.000000
1.056750	0.2	-54,074.000000
1.060083	0.2	-54,014.000000
1.063417	0.2	-53,968.000000
1.066750	0.2	-53,928.000000
1.070083	0.2	-53,875.000000
1.073417	0.2	-53,798.000000
1.076750	0.2	-53,687.000000
1.080083	0.2	-53,540.000000
1.083417	0.2	-53,372.000000
1.086750	0.2	-53,204.000000
1.090083	0.2	-53,052.000000
1.093417	0.2	-52,920.000000
1.096750	0.2	-52,799.000000
1.100083	0.2	-52,694.000000
1.103417	0.2	-52,622.000000
1.106750	0.2	-52,590.000000
1.110083	0.2	-52,612.000000
1.113417	0.2	-52,689.000000
1.116750	0.2	-52,815.000000
1.120083	0.2	-52,975.000000
1.123417	0.2	-53,155.000000
1.126750	0.2	-53,348.000000
1.130083	0.2	-53,542.000000
1.133417	0.2	-53,724.000000
1.136750	0.2	-53,883.000000
1.140083	0.2	-54,014.000000
1.143417	0.2	-54,113.000000
1.146750	0.2	-54,174.000000
1.150083	0.2	-54,194.000000
1.153417	0.2	-54,170.000000
1.156750	0.2	-54,102.000000
1.160083	0.2	-53,998.000000
1.163417	0.2	-53,886.000000
1.166750	0.2	-53,786.000000
1.170083	0.2	-53,716.000000
1.173417	0.2	-53,684.000000
1.176750	0.2	-53,695.000000
1.180083	0.2	-53,763.000000
1.183417	0.2	-53,878.000000
1.186750	0.2	-54,021.000000
1.190083	0.2	-54,166.000000
1.193417	0.2	-54,294.000000
1.196750	0.2	-54,395.000000
1.200083	0.2	-54,462.000000
1.203417	0.2	-54,500.000000
1.206750	0.2	-54,512.000000
1.210083	0.2	-54,508.000000
1.213417	0.2	-54,513.000000
1.216750	0.2	-54,550.000000
1.220083	0.2	-54,635.000000
1.223417	0.2	-54,767.000000
1.226750	0.2	-54,939.000000
1.230083	0.2	-55,136.000000
1.233417	0.2	-55,332.000000
1.236750	0.2	-55,506.000000
1.240083	0.2	-55,643.000000
1.243417	0.2	-55,744.000000
1.246750	0.2	-55,816.000000
1.250083	0.2	-55,865.000000
1.253417	0.2	-55,884.000000
1.256750	0.2	-55,878.000000
1.260083	0.2	-55,871.000000
1.263417	0.2	-55,882.000000
1.266750	0.2	-55,924.000000
1.270083	0.2	-55,997.000000
1.273417	0.2	-56,102.000000
1.276750	0.2	-56,237.000000
1.280083	0.2	-56,375.000000
1.283417	0.2	-56,498.000000
1.286750	0.2	-56,595.000000
1.290083	0.2	-56,666.000000
1.293417	0.2	-56,713.000000
1.296750	0.2	-56,743.000000
1.300083	0.2	-56,763.000000
1.303417	0.2	-56,779.000000
1.306750	0.2	-56,794.000000
1.310083	0.2	-56,826.000000
1.313417	0.2	-56,884.000000
1.316750	0.2	-56,966.000000
1.320083	0.2	-57,056.000000
1.323417	0.2	-57,137.000000
1.326750	0.2	-57,190.000000
1.330083	0.2	-57,216.000000
1.333417	0.2	-57,218.000000
1.336750	0.2	-57,202.000000
1.340083	0.2	-57,173.000000
1.343417	0.2	-57,139.000000
1.346750	0.2	-57,111.000000
1.350083	0.2	-57,094.000000
1.353417	0.2	-57,079.000000
1.356750	0.2	-57,051.000000
1.360083	0.2	-57,005.000000
1.363417	0.2	-56,954.000000
1.366750	0.2	-56,909.000000
1.370083	0.2	-56,874.000000
1.373417	0.2	-56,850.000000
1.376750	0.2	-56,841.000000
1.380083	0.2	-56,866.000000
1.383417	0.2	-56,925.000000
1.386750	0.2	-57,001.000000
1.390083	0.2	-57,081.000000
1.393417	0.2	-57,152.000000
1.396750	0.2	-57,200.000000
1.400083	0.2	-57,222.000000
1.403417	0.2	-57,217.000000
1.406750	0.2	-57,195.000000
1.410083	0.2	-57,169.000000
1.413417	0.2	-57,151.000000
1.416750	0.2	-57,150.000000
1.420083	0.2	-57,173.000000
1.423417	0.2	-57,221.000000
1.426750	0.2	-57,288.000000
1.430083	0.2	-57,361.000000
1.433417	0.2	-57,429.000000
1.436750	0.2	-57,486.000000
1.440083	0.2	-57,527.000000
1.443417	0.2	-57,547.000000
1.446750	0.2	-57,541.000000
1.450083	0.2	-57,508.000000
1.453417	0.2	-57,459.000000
1.456750	0.2	-57,411.000000
1.460083	0.2	-57,373.000000
1.463417	0.2	-57,355.000000
1.466750	0.2	-57,366.000000
1.470083	0.2	-57,407.000000
1.473417	0.2	-57,474.000000
1.476750	0.2	-57,571.000000
1.480083	0.2	-57,698.000000
1.483417	0.2	-57,838.000000
1.486750	0.2	-57,973.000000
1.490083	0.2	-58,080.000000
1.493417	0.2	-58,142.000000
1.496750	0.2	-58,146.000000
1.500083	0.2	-58,095.000000
1.503417	0.2	-57,996.000000
1.506750	0.2	-57,860.000000
1.510083	0.2	-57,706.000000
1.513417	0.2	-57,554.000000
1.516750	0.2	-57,424.000000
1.520083	0.2	-57,331.000000
1.523417	0.2	-57,282.000000
1.526750	0.2	-57,272.000000
1.530083	0.2	-57,292.000000
1.533417	0.2	-57,329.000000
1.536750	0.2	-57,372.000000
1.540083	0.2	-57,418.000000
1.543417	0.2	-57,456.000000
1.546750	0.2	-57,477.000000
1.550083	0.2	-57,485.000000
1.553417	0.2	-57,486.000000
1.556750	0.2	-57,480.000000
1.560083	0.2	-57,472.000000
1.563417	0.2	-57,463.000000
1.566750	0.2	-57,454.000000
1.570083	0.2	-57,434.000000
1.573417	0.2	-57,400.000000
1.576750	0.2	-57,360.000000
1.580083	0.2	-57,320.000000
1.583417	0.2	-57,289.000000
1.586750	0.2	-57,276.000000
1.590083	0.2	-57,274.000000
1.593417	0.2	-57,277.000000
1.596750	0.2	-57,262.000000
1.600083	0.2	-57,217.000000
1.603417	0.2	-57,155.000000
1.606750	0.2	-57,100.000000
1.610083	0.2	-57,062.000000
1.613417	0.2	-57,045.000000
1.616750	0.2	-57,060.000000
1.620083	0.2	-57,109.000000
1.623417	0.2	-57,191.000000
1.626750	0.2	-57,298.000000
1.630083	0.2	-57,426.000000
1.633417	0.2	-57,564.000000
1.636750	0.2	-57,702.000000
1.640083	0.2	-57,835.000000
1.643417	0.2	-57,953.000000
1.646750	0.2	-58,052.000000
1.650083	0.2	-58,130.000000
1.653417	0.2	-58,189.000000
1.656750	0.2	-58,236.000000
1.660083	0.2	-58,277.000000
1.663417	0.2	-58,320.000000
1.666750	0.2	-58,377.000000
1.670083	0.2	-58,446.000000
1.673417	0.2	-58,512.000000
1.676750	0.2	-58,555.000000
1.680083	0.2	-58,551.000000
1.683417	0.2	-58,492.000000
1.686750	0.2	-58,378.000000
1.690083	0.2	-58,217.000000
1.693417	0.2	-58,023.000000
1.696750	0.2	-57,815.000000
1.700083	0.2	-57,616.000000
1.703417	0.2	-57,450.000000
1.706750	0.2	-57,332.000000
1.710083	0.2	-57,269.000000
1.713417	0.2	-57,256.000000
1.716750	0.2	-57,291.000000
1.720083	0.2	-57,372.000000
1.723417	0.2	-57,495.000000
1.726750	0.2	-57,658.000000
1.730083	0.2	-57,844.000000
1.733417	0.2	-58,035.000000
1.736750	0.2	-58,205.000000
1.740083	0.2	-58,338.000000
1.743417	0.2	-58,422.000000
1.746750	0.2	-58,448.000000
1.750083	0.2	-58,406.000000
1.753417	0.2	-58,310.000000
1.756750	0.2	-58,183.000000
1.760083	0.2	-58,042.000000
1.763417	0.2	-57,911.000000
1.766750	0.2	-57,817.000000
1.770083	0.2	-57,772.000000
1.773417	0.2	-57,765.000000
1.776750	0.2	-57,777.000000
1.780083	0.2	-57,798.000000
1.783417	0.2	-57,820.000000
1.786750	0.2	-57,837.000000
1.790083	0.2	-57,853.000000
1.793417	0.2	-57,877.000000
1.796750	0.2	-57,917.000000
1.800083	0.2	-57,974.000000
1.803417	0.2	-58,037.000000
1.806750	0.2	-58,103.000000
1.810083	0.2	-58,177.000000
1.813417	0.2	-58,245.000000
1.816750	0.2	-58,283.000000
1.820083	0.2	-58,279.000000
1.823417	0.2	-58,221.000000
1.826750	0.2	-58,113.000000
1.830083	0.2	-57,972.000000
1.833417	0.2	-57,811.000000
1.836750	0.2	-57,651.000000
1.840083	0.2	-57,518.000000
1.843417	0.2	-57,430.000000
1.846750	0.2	-57,392.000000
1.850083	0.2	-57,390.000000
1.853417	0.2	-57,413.000000
1.856750	0.2	-57,462.000000
1.860083	0.2	-57,540.000000
1.863417	0.2	-57,640.000000
1.866750	0.2	-57,756.000000
1.870083	0.2	-57,873.000000
1.873417	0.2	-57,981.000000
1.876750	0.2	-58,070.000000
1.880083	0.2	-58,127.000000
1.883417	0.2	-58,143.000000
1.886750	0.2	-58,115.000000
1.890083	0.2	-58,043.000000
1.893417	0.2	-57,948.000000
1.896750	0.2	-57,854.000000
1.900083	0.2	-57,779.000000
1.903417	0.2	-57,725.000000
1.906750	0.2	-57,688.000000
1.910083	0.2	-57,664.000000
1.913417	0.2	-57,650.000000
1.916750	0.2	-57,641.000000
1.920083	0.2	-57,633.000000
1.923417	0.2	-57,625.000000
1.926750	0.2	-57,625.000000
1.930083	0.2	-57,641.000000
1.933417	0.2	-57,670.000000
1.936750	0.2	-57,696.000000
1.940083	0.2	-57,712.000000
1.943417	0.2	-57,710.000000
1.946750	0.2	-57,699.000000
1.950083	0.2	-57,690.000000
1.953417	0.2	-57,672.000000
1.956750	0.2	-57,614.000000
1.960083	0.2	-57,522.000000
1.963417	0.2	-57,421.000000
1.966750	0.2	-57,333.000000
1.970083	0.2	-57,274.000000
1.973417	0.2	-57,241.000000
1.976750	0.2	-57,241.000000
1.980083	0.2	-57,284.000000
1.983417	0.2	-57,375.000000
1.986750	0.2	-57,507.000000
1.990083	0.2	-57,668.000000
1.993417	0.2	-57,841.000000
1.996750	0.2	-58,002.000000
2.000083	0.2	-58,142.000000
2.003417	0.2	-58,262.000000
2.006750	0.2	-58,364.000000
2.010083	0.2	-58,455.000000
2.013417	0.2	-58,537.000000
2.016750	0.2	-58,605.000000
2.020083	0.2	-58,653.000000
2.023417	0.2	-58,677.000000
2.026750	0.2	-58,690.000000
2.030083	0.2	-58,697.000000
2.033417	0.2	-58,697.000000
2.036750	0.2	-58,683.000000
2.040083	0.2	-58,652.000000
2.043417	0.2	-58,615.000000
2.046750	0.2	-58,574.000000
2.050083	0.2	-58,518.000000
2.053417	0.2	-58,444.000000
2.056750	0.2	-58,353.000000
2.060083	0.2	-58,261.000000
2.063417	0.2	-58,186.000000
2.066750	0.2	-58,142.000000
2.070083	0.2	-58,125.000000
2.073417	0.2	-58,127.000000
2.076750	0.2	-58,135.000000
2.080083	0.2	-58,151.000000
2.083417	0.2	-58,168.000000
2.086750	0.2	-58,173.000000
2.090083	0.2	-58,171.000000
2.093417	0.2	-58,174.000000
2.096750	0.2	-58,187.000000
2.100083	0.2	-58,206.000000
2.103417	0.2	-58,237.000000
2.106750	0.2	-58,282.000000
2.110083	0.2	-58,332.000000
2.113417	0.2	-58,376.000000
2.116750	0.2	-58,416.000000
2.120083	0.2	-58,456.000000
2.123417	0.2	-58,486.000000
2.126750	0.2	-58,498.000000
2.130083	0.2	-58,497.000000
2.133417	0.2	-58,483.000000
2.136750	0.2	-58,459.000000
2.140083	0.2	-58,435.000000
2.143417	0.2	-58,409.000000
2.146750	0.2	-58,376.000000
2.150083	0.2	-58,338.000000
2.153417	0.2	-58,296.000000
2.156750	0.2	-58,256.000000
2.160083	0.2	-58,227.000000
2.163417	0.2	-58,215.000000
