URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.6.26Finish rep 1 intestines wiht reruns.seq/908.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.6.26Finish rep 1 intestines wiht reruns
Name	asgr liver 7
Number	9
Position	RB1
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/8/2026 7:18:56 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003283
Time Max. (min)	107.503283
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-69,358.000000
Signal Max.	127,222.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003283	n.a.	1,143.000000
0.006617	0.2	1,143.000000
0.009950	0.2	1,143.000000
0.013283	0.2	1,143.000000
0.016617	0.2	1,143.000000
0.019950	0.2	1,143.000000
0.023283	0.2	1,143.000000
0.026617	0.2	1,143.000000
0.029950	0.2	1,143.000000
0.033283	0.2	1,143.000000
0.036617	0.2	-44,457.000000
0.039950	0.2	-44,581.000000
0.043283	0.2	-44,745.000000
0.046617	0.2	-44,926.000000
0.049950	0.2	-45,106.000000
0.053283	0.2	-45,270.000000
0.056617	0.2	-45,411.000000
0.059950	0.2	-45,532.000000
0.063283	0.2	-45,639.000000
0.066617	0.2	-45,733.000000
0.069950	0.2	-45,813.000000
0.073283	0.2	-45,877.000000
0.076617	0.2	-45,924.000000
0.079950	0.2	-45,960.000000
0.083283	0.2	-45,988.000000
0.086617	0.2	-46,013.000000
0.089950	0.2	-46,039.000000
0.093283	0.2	-46,068.000000
0.096617	0.2	-46,094.000000
0.099950	0.2	-46,115.000000
0.103283	0.2	-46,131.000000
0.106617	0.2	-46,142.000000
0.109950	0.2	-46,147.000000
0.113283	0.2	-46,144.000000
0.116617	0.2	-46,135.000000
0.119950	0.2	-46,125.000000
0.123283	0.2	-46,117.000000
0.126617	0.2	-46,111.000000
0.129950	0.2	-46,109.000000
0.133283	0.2	-46,110.000000
0.136617	0.2	-46,112.000000
0.139950	0.2	-46,114.000000
0.143283	0.2	-46,121.000000
0.146617	0.2	-46,136.000000
0.149950	0.2	-46,155.000000
0.153283	0.2	-46,172.000000
0.156617	0.2	-46,183.000000
0.159950	0.2	-46,183.000000
0.163283	0.2	-46,170.000000
0.166617	0.2	-46,148.000000
0.169950	0.2	-46,122.000000
0.173283	0.2	-46,097.000000
0.176617	0.2	-46,080.000000
0.179950	0.2	-46,072.000000
0.183283	0.2	-46,074.000000
0.186617	0.2	-46,087.000000
0.189950	0.2	-46,109.000000
0.193283	0.2	-46,133.000000
0.196617	0.2	-46,157.000000
0.199950	0.2	-46,175.000000
0.203283	0.2	-46,190.000000
0.206617	0.2	-46,200.000000
0.209950	0.2	-46,204.000000
0.213283	0.2	-46,203.000000
0.216617	0.2	-46,197.000000
0.219950	0.2	-46,184.000000
0.223283	0.2	-46,166.000000
0.226617	0.2	-46,146.000000
0.229950	0.2	-46,125.000000
0.233283	0.2	-46,106.000000
0.236617	0.2	-46,091.000000
0.239950	0.2	-46,081.000000
0.243283	0.2	-46,077.000000
0.246617	0.2	-46,079.000000
0.249950	0.2	-46,082.000000
0.253283	0.2	-46,082.000000
0.256617	0.2	-46,081.000000
0.259950	0.2	-46,078.000000
0.263283	0.2	-46,074.000000
0.266617	0.2	-46,070.000000
0.269950	0.2	-46,071.000000
0.273283	0.2	-46,078.000000
0.276617	0.2	-46,088.000000
0.279950	0.2	-46,098.000000
0.283283	0.2	-46,104.000000
0.286617	0.2	-46,105.000000
0.289950	0.2	-46,104.000000
0.293283	0.2	-46,099.000000
0.296617	0.2	-46,091.000000
0.299950	0.2	-46,081.000000
0.303283	0.2	-46,070.000000
0.306617	0.2	-46,063.000000
0.309950	0.2	-46,063.000000
0.313283	0.2	-46,072.000000
0.316617	0.2	-46,093.000000
0.319950	0.2	-46,118.000000
0.323283	0.2	-46,143.000000
0.326617	0.2	-46,162.000000
0.329950	0.2	-46,171.000000
0.333283	0.2	-46,169.000000
0.336617	0.2	-46,157.000000
0.339950	0.2	-46,139.000000
0.343283	0.2	-46,118.000000
0.346617	0.2	-46,104.000000
0.349950	0.2	-46,099.000000
0.353283	0.2	-46,099.000000
0.356617	0.2	-46,106.000000
0.359950	0.2	-46,119.000000
0.363283	0.2	-46,138.000000
0.366617	0.2	-46,162.000000
0.369950	0.2	-46,188.000000
0.373283	0.2	-46,211.000000
0.376617	0.2	-46,226.000000
0.379950	0.2	-46,229.000000
0.383283	0.2	-46,221.000000
0.386617	0.2	-46,204.000000
0.389950	0.2	-46,183.000000
0.393283	0.2	-46,160.000000
0.396617	0.2	-46,137.000000
0.399950	0.2	-46,121.000000
0.403283	0.2	-46,110.000000
0.406617	0.2	-46,104.000000
0.409950	0.2	-46,101.000000
0.413283	0.2	-46,097.000000
0.416617	0.2	-46,094.000000
0.419950	0.2	-46,093.000000
0.423283	0.2	-46,095.000000
0.426617	0.2	-46,097.000000
0.429950	0.2	-46,096.000000
0.433283	0.2	-46,097.000000
0.436617	0.2	-46,098.000000
0.439950	0.2	-46,100.000000
0.443283	0.2	-46,099.000000
0.446617	0.2	-46,098.000000
0.449950	0.2	-46,096.000000
0.453283	0.2	-46,092.000000
0.456617	0.2	-46,086.000000
0.459950	0.2	-46,078.000000
0.463283	0.2	-46,070.000000
0.466617	0.2	-46,065.000000
0.469950	0.2	-46,063.000000
0.473283	0.2	-46,056.000000
0.476617	0.2	-46,041.000000
0.479950	0.2	-46,020.000000
0.483283	0.2	-45,998.000000
0.486617	0.2	-45,976.000000
0.489950	0.2	-45,957.000000
0.493283	0.2	-45,946.000000
0.496617	0.2	-45,945.000000
0.499950	0.2	-45,950.000000
0.503283	0.2	-45,956.000000
0.506617	0.2	-45,958.000000
0.509950	0.2	-45,960.000000
0.513283	0.2	-45,969.000000
0.516617	0.2	-45,988.000000
0.519950	0.2	-46,018.000000
0.523283	0.2	-46,054.000000
0.526617	0.2	-46,093.000000
0.529950	0.2	-46,126.000000
0.533283	0.2	-46,148.000000
0.536617	0.2	-46,157.000000
0.539950	0.2	-46,151.000000
0.543283	0.2	-46,134.000000
0.546617	0.2	-46,111.000000
0.549950	0.2	-46,087.000000
0.553283	0.2	-46,068.000000
0.556617	0.2	-46,053.000000
0.559950	0.2	-46,041.000000
0.563283	0.2	-46,030.000000
0.566617	0.2	-46,016.000000
0.569950	0.2	-45,996.000000
0.573283	0.2	-45,970.000000
0.576617	0.2	-45,943.000000
0.579950	0.2	-45,920.000000
0.583283	0.2	-45,907.000000
0.586617	0.2	-45,906.000000
0.589950	0.2	-45,917.000000
0.593283	0.2	-45,935.000000
0.596617	0.2	-45,960.000000
0.599950	0.2	-45,987.000000
0.603283	0.2	-46,009.000000
0.606617	0.2	-46,014.000000
0.609950	0.2	-45,994.000000
0.613283	0.2	-45,940.000000
0.616617	0.2	-45,846.000000
0.619950	0.2	-45,715.000000
0.623283	0.2	-45,545.000000
0.626617	0.2	-45,336.000000
0.629950	0.2	-45,089.000000
0.633283	0.2	-44,805.000000
0.636617	0.2	-44,494.000000
0.639950	0.2	-44,173.000000
0.643283	0.2	-43,863.000000
0.646617	0.2	-43,581.000000
0.649950	0.2	-43,345.000000
0.653283	0.2	-43,165.000000
0.656617	0.2	-43,040.000000
0.659950	0.2	-42,959.000000
0.663283	0.2	-42,912.000000
0.666617	0.2	-42,893.000000
0.669950	0.2	-42,890.000000
0.673283	0.2	-42,897.000000
0.676617	0.2	-42,909.000000
0.679950	0.2	-42,920.000000
0.683283	0.2	-42,920.000000
0.686617	0.2	-42,904.000000
0.689950	0.2	-42,874.000000
0.693283	0.2	-42,825.000000
0.696617	0.2	-42,753.000000
0.699950	0.2	-42,656.000000
0.703283	0.2	-42,530.000000
0.706617	0.2	-42,369.000000
0.709950	0.2	-42,166.000000
0.713283	0.2	-41,921.000000
0.716617	0.2	-41,634.000000
0.719950	0.2	-41,310.000000
0.723283	0.2	-40,952.000000
0.726617	0.2	-40,561.000000
0.729950	0.2	-40,134.000000
0.733283	0.2	-39,673.000000
0.736617	0.2	-39,192.000000
0.739950	0.2	-38,702.000000
0.743283	0.2	-38,219.000000
0.746617	0.2	-37,759.000000
0.749950	0.2	-37,341.000000
0.753283	0.2	-36,973.000000
0.756617	0.2	-36,664.000000
0.759950	0.2	-36,419.000000
0.763283	0.2	-36,246.000000
0.766617	0.2	-36,141.000000
0.769950	0.2	-36,092.000000
0.773283	0.2	-36,079.000000
0.776617	0.2	-36,086.000000
0.779950	0.2	-36,107.000000
0.783283	0.2	-36,134.000000
0.786617	0.2	-36,166.000000
0.789950	0.2	-36,212.000000
0.793283	0.2	-36,281.000000
0.796617	0.2	-36,376.000000
0.799950	0.2	-36,500.000000
0.803283	0.2	-36,655.000000
0.806617	0.2	-36,838.000000
0.809950	0.2	-37,034.000000
0.813283	0.2	-37,234.000000
0.816617	0.2	-37,432.000000
0.819950	0.2	-37,622.000000
0.823283	0.2	-37,798.000000
0.826617	0.2	-37,956.000000
0.829950	0.2	-38,096.000000
0.833283	0.2	-38,218.000000
0.836617	0.2	-38,326.000000
0.839950	0.2	-38,427.000000
0.843283	0.2	-38,526.000000
0.846617	0.2	-38,623.000000
0.849950	0.2	-38,712.000000
0.853283	0.2	-38,787.000000
0.856617	0.2	-38,851.000000
0.859950	0.2	-38,907.000000
0.863283	0.2	-38,962.000000
0.866617	0.2	-39,021.000000
0.869950	0.2	-39,090.000000
0.873283	0.2	-39,175.000000
0.876617	0.2	-39,282.000000
0.879950	0.2	-39,411.000000
0.883283	0.2	-39,564.000000
0.886617	0.2	-39,741.000000
0.889950	0.2	-39,935.000000
0.893283	0.2	-40,142.000000
0.896617	0.2	-40,355.000000
0.899950	0.2	-40,577.000000
0.903283	0.2	-40,809.000000
0.906617	0.2	-41,043.000000
0.909950	0.2	-41,272.000000
0.913283	0.2	-41,488.000000
0.916617	0.2	-41,691.000000
0.919950	0.2	-41,883.000000
0.923283	0.2	-42,067.000000
0.926617	0.2	-42,243.000000
0.929950	0.2	-42,413.000000
0.933283	0.2	-42,579.000000
0.936617	0.2	-42,741.000000
0.939950	0.2	-42,901.000000
0.943283	0.2	-43,058.000000
0.946617	0.2	-43,207.000000
0.949950	0.2	-43,345.000000
0.953283	0.2	-43,466.000000
0.956617	0.2	-43,569.000000
0.959950	0.2	-43,660.000000
0.963283	0.2	-43,736.000000
0.966617	0.2	-43,795.000000
0.969950	0.2	-43,837.000000
0.973283	0.2	-43,865.000000
0.976617	0.2	-43,880.000000
0.979950	0.2	-43,888.000000
0.983283	0.2	-43,893.000000
0.986617	0.2	-43,902.000000
0.989950	0.2	-43,921.000000
0.993283	0.2	-43,956.000000
0.996617	0.2	-44,007.000000
0.999950	0.2	-44,072.000000
1.003283	0.2	-44,142.000000
1.006617	0.2	-44,207.000000
1.009950	0.2	-44,262.000000
1.013283	0.2	-44,305.000000
1.016617	0.2	-44,332.000000
1.019950	0.2	-44,345.000000
1.023283	0.2	-44,343.000000
1.026617	0.2	-44,329.000000
1.029950	0.2	-44,303.000000
1.033283	0.2	-44,265.000000
1.036617	0.2	-44,220.000000
1.039950	0.2	-44,169.000000
1.043283	0.2	-44,115.000000
1.046617	0.2	-44,066.000000
1.049950	0.2	-44,028.000000
1.053283	0.2	-44,011.000000
1.056617	0.2	-44,016.000000
1.059950	0.2	-44,040.000000
1.063283	0.2	-44,077.000000
1.066617	0.2	-44,123.000000
1.069950	0.2	-44,167.000000
1.073283	0.2	-44,203.000000
1.076617	0.2	-44,232.000000
1.079950	0.2	-44,252.000000
1.083283	0.2	-44,271.000000
1.086617	0.2	-44,292.000000
1.089950	0.2	-44,313.000000
1.093283	0.2	-44,329.000000
1.096617	0.2	-44,336.000000
1.099950	0.2	-44,338.000000
1.103283	0.2	-44,339.000000
1.106617	0.2	-44,340.000000
1.109950	0.2	-44,341.000000
1.113283	0.2	-44,340.000000
1.116617	0.2	-44,338.000000
1.119950	0.2	-44,337.000000
1.123283	0.2	-44,339.000000
1.126617	0.2	-44,341.000000
1.129950	0.2	-44,341.000000
1.133283	0.2	-44,342.000000
1.136617	0.2	-44,341.000000
1.139950	0.2	-44,335.000000
1.143283	0.2	-44,329.000000
1.146617	0.2	-44,323.000000
1.149950	0.2	-44,321.000000
1.153283	0.2	-44,323.000000
