URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.16.26 asgr1 secretion test.seq/347.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	4.16.26 asgr1 secretion test
Name	AB liver 3
Number	4
Position	RA5
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/16/2026 9:02:48 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.501283
Data Points	63840
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.670449
Signal Max.	77.544130
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103662

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.002309
0.001650	0.099	-0.005246
0.003317	0.1	-0.022066
0.004983	0.1	-0.034014
0.006650	0.1	-0.038617
0.008300	0.099	-0.036036
0.009967	0.1	-0.031327
0.011650	0.101	-0.028867
0.013300	0.099	-0.018909
0.014967	0.1	-0.006140
0.016633	0.1	-0.008780
0.018300	0.1	-0.033535
0.019967	0.1	-0.061400
0.021633	0.1	-0.070310
0.023300	0.1	-0.057993
0.024950	0.099	-0.041714
0.026617	0.1	-0.027531
0.028283	0.1	-0.015970
0.029967	0.101	-0.015930
0.031983	0.121	-0.028030
0.033667	0.101	-0.042812
0.035317	0.099	-0.051950
0.036967	0.099	-0.053603
0.038617	0.099	-0.055211
0.040300	0.101	-0.060264
0.041950	0.099	-0.064596
0.043633	0.101	-0.065064
0.045283	0.099	-0.058716
0.046967	0.101	-0.051311
0.048617	0.099	-0.046675
0.050300	0.101	-0.043123
0.051950	0.099	-0.036453
0.053633	0.101	-0.022211
0.055283	0.099	-0.012939
0.056967	0.101	-0.013708
0.058617	0.099	-0.014711
0.060300	0.101	-0.014499
0.061950	0.099	-0.014576
0.063633	0.101	-0.013130
0.065650	0.121	-0.014778
0.067317	0.1	-0.018163
0.068983	0.1	-0.019197
0.070633	0.099	-0.013227
0.072283	0.099	-0.003068
0.073950	0.1	0.001210
0.075617	0.1	-0.007226
0.077283	0.1	-0.023371
0.078950	0.1	-0.033966
0.080617	0.1	-0.035247
0.082283	0.1	-0.031271
0.083950	0.1	-0.021944
0.085617	0.1	-0.002909
0.087283	0.1	0.020041
0.088950	0.1	0.029803
0.090633	0.101	0.022926
0.092283	0.099	0.006464
0.093950	0.1	-0.011592
0.095617	0.1	-0.024554
0.097283	0.1	-0.024621
0.099283	0.12	-0.011808
0.100950	0.1	0.005827
0.102617	0.1	0.017790
0.104283	0.1	0.023913
0.105950	0.1	0.026214
0.107617	0.1	0.018367
0.109283	0.1	0.002149
0.110950	0.1	-0.005067
0.112617	0.1	0.002542
0.114283	0.1	0.009214
0.115950	0.1	0.005647
0.117617	0.1	-0.004176
0.119283	0.1	-0.007274
0.120950	0.1	0.002929
0.122617	0.1	0.019166
0.124283	0.1	0.027832
0.125950	0.1	0.026575
0.127617	0.1	0.027728
0.129283	0.1	0.033059
0.131367	0.125	0.036466
0.132983	0.097	0.028849
0.134617	0.098	0.010580
0.136283	0.1	-0.007607
0.137950	0.1	-0.016452
0.139617	0.1	-0.013806
0.141283	0.1	-0.004877
0.142950	0.1	0.004632
0.144617	0.1	0.001658
