URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.16.26 asgr1 secretion test.seq/305.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	4.16.26 asgr1 secretion test
Name	AB liver 4
Number	6
Position	RA7
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/17/2026 12:40:50 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500567
Data Points	63839
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.651834
Signal Max.	43.834570
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103753

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.002901
0.001667	0.1	-0.019160
0.003333	0.1	-0.028443
0.005000	0.1	-0.029359
0.006667	0.1	-0.028691
0.008333	0.1	-0.024696
0.010000	0.1	-0.019462
0.011667	0.1	-0.015953
0.013367	0.102	-0.010702
0.015033	0.1	-0.003210
0.016700	0.1	0.003433
0.018367	0.1	0.007616
0.020033	0.1	0.009058
0.021700	0.1	0.002483
0.023367	0.1	-0.023402
0.025033	0.1	-0.061394
0.026700	0.1	-0.095411
0.028367	0.1	-0.126250
0.030033	0.1	-0.155816
0.032050	0.121	-0.179329
0.033700	0.099	-0.190695
0.035383	0.101	-0.195163
0.037033	0.099	-0.197152
0.038733	0.102	-0.193583
0.040367	0.098	-0.187725
0.042033	0.1	-0.186742
0.043700	0.1	-0.185193
0.045367	0.1	-0.176446
0.047033	0.1	-0.158090
0.048700	0.1	-0.137213
0.050367	0.1	-0.126078
0.052033	0.1	-0.127119
0.053700	0.1	-0.131265
0.055367	0.1	-0.135856
0.057033	0.1	-0.138156
0.058700	0.1	-0.130763
0.060367	0.1	-0.116600
0.062033	0.1	-0.107875
0.063683	0.099	-0.103783
0.065683	0.12	-0.098249
0.067350	0.1	-0.090558
0.069050	0.102	-0.086967
0.070683	0.098	-0.084536
0.072350	0.1	-0.075100
0.074017	0.1	-0.059778
0.075683	0.1	-0.049768
0.077350	0.1	-0.057153
0.079000	0.099	-0.071965
0.080667	0.1	-0.079099
0.082333	0.1	-0.075368
0.084000	0.1	-0.068240
0.085667	0.1	-0.063439
0.087333	0.1	-0.060989
0.089000	0.1	-0.055927
0.090667	0.1	-0.049879
0.092333	0.1	-0.045860
0.094017	0.101	-0.049134
0.095667	0.099	-0.056520
0.097333	0.1	-0.057864
0.099333	0.12	-0.052660
0.101000	0.1	-0.044072
0.102667	0.1	-0.036003
0.104333	0.1	-0.026534
0.106000	0.1	-0.016710
0.107667	0.1	-0.010113
0.109333	0.1	-0.013719
0.111000	0.1	-0.029777
0.112667	0.1	-0.047287
0.114333	0.1	-0.055701
0.116000	0.1	-0.053423
0.117667	0.1	-0.043930
0.119333	0.1	-0.037988
0.121000	0.1	-0.045468
0.122667	0.1	-0.057132
0.124333	0.1	-0.063545
0.126000	0.1	-0.067675
0.127667	0.1	-0.064188
0.129333	0.1	-0.054493
0.131000	0.1	-0.044263
0.133000	0.12	-0.035783
0.134667	0.1	-0.029332
0.136333	0.1	-0.028031
0.138083	0.105	-0.039816
0.139667	0.095	-0.058589
0.141333	0.1	-0.066497
0.143000	0.1	-0.059647
0.144667	0.1	-0.051553
0.146350	0.101	-0.044674
0.148000	0.099	-0.034054
0.149667	0.1	-0.021327
0.151333	0.1	-0.012688
0.153000	0.1	-0.012537
0.154667	0.1	-0.026561
0.156333	0.1	-0.044068
0.158000	0.1	-0.053196
0.159667	0.1	-0.054829
0.161333	0.1	-0.047683
0.163000	0.1	-0.032590
0.164667	0.1	-0.022015
0.166667	0.12	-0.023341
0.168333	0.1	-0.030948
0.170000	0.1	-0.032642
0.171667	0.1	-0.023941
0.173333	0.1	-0.012518
0.175000	0.1	-0.012817
0.176667	0.1	-0.020277
0.178333	0.1	-0.018347
0.180033	0.102	-0.006899
0.181733	0.102	0.000394
0.183367	0.098	0.000150
0.185033	0.1	0.002279
0.186700	0.1	0.005703
0.188367	0.1	0.003272
0.190033	0.1	0.000161
0.191700	0.1	0.005033
0.193367	0.1	0.015787
0.195033	0.1	0.019445
0.196700	0.1	0.017046
0.198767	0.124	0.020018
0.200450	0.101	0.021549
0.202117	0.1	0.012347
0.203750	0.098	-0.000497
0.205433	0.101	-0.011890
0.207083	0.099	-0.016888
0.208750	0.1	-0.014994
0.210417	0.1	-0.007690
0.212083	0.1	-0.005629
0.213750	0.1	-0.011631
0.215417	0.1	-0.013360
0.217083	0.1	-0.008157
0.218750	0.1	-0.010041
0.220417	0.1	-0.016060
0.222083	0.1	-0.018852
0.223750	0.1	-0.019137
0.225417	0.1	-0.013473
0.227083	0.1	-0.005562
0.228750	0.1	-0.008013
0.230417	0.1	-0.012223
0.232417	0.12	-0.003760
0.234083	0.1	0.013360
0.235750	0.1	0.022480
0.237433	0.101	0.023416
0.239083	0.099	0.022024
0.240750	0.1	0.020425
0.242417	0.1	0.025026
0.244083	0.1	0.029589
0.245750	0.1	0.025058
0.247417	0.1	0.009117
0.249083	0.1	-0.007872
0.250750	0.1	-0.018515
0.252417	0.1	-0.021465
0.254083	0.1	-0.016151
0.255750	0.1	-0.006367
0.257417	0.1	0.001767
0.259083	0.1	0.006931
0.260750	0.1	0.019611
0.262450	0.102	0.036581
0.264117	0.1	0.049935
0.266117	0.12	0.058879
0.267783	0.1	0.062138
0.269450	0.1	0.062079
0.271117	0.1	0.058212
0.272783	0.1	0.044826
0.274450	0.1	0.026161
0.276117	0.1	0.014155
0.277783	0.1	0.011715
0.279450	0.1	0.011428
0.281117	0.1	0.011956
0.282783	0.1	0.011129
0.284450	0.1	0.007197
0.286117	0.1	0.010979
