URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.16.26 asgr1 secretion test.seq/569.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	4.16.26 asgr1 secretion test
Name	AB liver 5
Number	8
Position	RB1
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/17/2026 4:18:52 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500750
Data Points	63842
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.732541
Signal Max.	43.233050
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103296

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.011198
0.001667	0.1	0.014742
0.003333	0.1	0.020675
0.005000	0.1	0.022803
0.006667	0.1	0.018409
0.008333	0.1	0.016583
0.010000	0.1	0.025757
0.011667	0.1	0.034339
0.013333	0.1	0.029793
0.015000	0.1	0.022249
0.016667	0.1	0.012689
0.018333	0.1	0.007328
0.020000	0.1	0.003417
0.021700	0.102	-0.007652
0.023367	0.1	-0.019382
0.025033	0.1	-0.023677
0.026700	0.1	-0.022159
0.028700	0.12	-0.027380
0.030367	0.1	-0.043648
0.032033	0.1	-0.055281
0.033700	0.1	-0.056504
0.035383	0.101	-0.055299
0.037033	0.099	-0.056280
0.038700	0.1	-0.055066
0.040367	0.1	-0.049933
0.042033	0.1	-0.043372
0.043700	0.1	-0.035423
0.045367	0.1	-0.029807
0.047033	0.1	-0.034505
0.048700	0.1	-0.054262
0.050367	0.1	-0.077172
0.052033	0.1	-0.083462
0.053700	0.1	-0.073953
0.055367	0.1	-0.062758
0.057033	0.1	-0.055539
0.058700	0.1	-0.050569
0.060367	0.1	-0.044342
0.062367	0.12	-0.040856
0.064067	0.102	-0.036541
0.065700	0.098	-0.025597
0.067367	0.1	-0.012775
0.069033	0.1	-0.010366
0.070700	0.1	-0.023281
0.072350	0.099	-0.036220
0.074017	0.1	-0.040639
0.075683	0.1	-0.045776
0.077350	0.1	-0.055028
0.079017	0.1	-0.061233
0.080683	0.1	-0.053375
0.082350	0.1	-0.038477
0.084017	0.1	-0.027027
0.085683	0.1	-0.017727
0.087350	0.1	-0.007297
0.089000	0.099	-0.000547
0.090667	0.1	0.001228
0.092333	0.1	-0.004662
0.094000	0.1	-0.012216
0.096000	0.12	-0.014225
0.097667	0.1	-0.012599
0.099333	0.1	-0.008872
0.101000	0.1	-0.002773
0.102667	0.1	-0.001263
0.104333	0.1	-0.005427
0.106000	0.1	-0.008588
0.107667	0.1	-0.006276
0.109333	0.1	0.005433
0.111000	0.1	0.019116
0.112667	0.1	0.019979
0.114333	0.1	0.009774
0.116000	0.1	-0.000869
0.117667	0.1	-0.003357
0.119333	0.1	0.000117
0.121000	0.1	0.006082
0.122667	0.1	0.012853
0.124333	0.1	0.013852
0.126000	0.1	0.007510
0.127667	0.1	0.000514
0.129667	0.12	-0.003248
0.131350	0.101	-0.011713
0.133033	0.101	-0.026996
0.134683	0.099	-0.042024
0.136333	0.099	-0.047420
0.138017	0.101	-0.043146
0.139667	0.099	-0.032716
0.141333	0.1	-0.017306
0.143000	0.1	-0.002003
0.144667	0.1	0.007504
0.146350	0.101	0.006926
0.148000	0.099	-0.000896
0.149667	0.1	-0.005899
0.151333	0.1	-0.000930
0.153000	0.1	0.015465
0.154667	0.1	0.032686
0.156333	0.1	0.040257
0.158000	0.1	0.036566
0.159667	0.1	0.026582
0.161333	0.1	0.012959
0.163333	0.12	-0.002372
0.165000	0.1	-0.009899
0.166683	0.101	-0.007204
0.168350	0.1	0.000493
0.170000	0.099	0.007474
0.171667	0.1	0.012027
0.173333	0.1	0.016535
0.175000	0.1	0.025722
0.176667	0.1	0.031803
0.178333	0.1	0.030504
0.180000	0.1	0.023038
0.181667	0.1	0.014850
0.183333	0.1	0.006790
0.185000	0.1	0.003966
0.186667	0.1	0.000778
0.188333	0.1	-0.010121
0.190000	0.1	-0.021637
0.191667	0.1	-0.020205
0.193333	0.1	-0.008762
0.195417	0.125	0.005386
0.197000	0.095	0.012076
0.198667	0.1	0.005178
0.200333	0.1	-0.003573
0.202000	0.1	-0.006323
0.203667	0.1	-0.009675
0.205367	0.102	-0.018819
0.207033	0.1	-0.027211
0.208700	0.1	-0.020532
0.210367	0.1	0.001878
0.212033	0.1	0.021616
0.213700	0.1	0.030544
0.215367	0.1	0.030520
0.217033	0.1	0.030377
0.218700	0.1	0.032981
0.220367	0.1	0.041334
0.222033	0.1	0.044683
0.223700	0.1	0.032203
0.225367	0.1	0.015683
0.227033	0.1	0.009955
0.229033	0.12	0.016876
0.230700	0.1	0.026311
0.232367	0.1	0.039838
0.234033	0.1	0.056274
0.235700	0.1	0.063582
0.237367	0.1	0.060901
0.239033	0.1	0.050238
0.240700	0.1	0.035986
0.242367	0.1	0.020805
0.244033	0.1	0.003348
0.245700	0.1	-0.012201
0.247367	0.1	-0.015908
0.249033	0.1	-0.002337
0.250700	0.1	0.021665
0.252367	0.1	0.039900
0.254033	0.1	0.040710
0.255700	0.1	0.022692
0.257367	0.1	0.002156
0.259033	0.1	-0.002619
0.260700	0.1	0.008348
0.262700	0.12	0.022217
0.264367	0.1	0.031310
0.266033	0.1	0.033958
0.267717	0.101	0.031800
0.269367	0.099	0.025886
0.271033	0.1	0.016698
0.272683	0.099	0.007792
0.274350	0.1	0.010198
0.276017	0.1	0.021192
0.277683	0.1	0.019661
0.279333	0.099	0.001222
0.281000	0.1	-0.015166
0.282667	0.1	-0.019233
0.284333	0.1	-0.013467
0.286000	0.1	-0.002904
0.287667	0.1	0.010780
0.289333	0.1	0.022686
0.291000	0.1	0.028126
0.292667	0.1	0.029580
0.294333	0.1	0.034263
0.296333	0.12	0.032775
0.298000	0.1	0.018209
0.299667	0.1	0.002017
0.301333	0.1	-0.006582
0.303000	0.1	-0.005459
0.304667	0.1	-0.002765
0.306333	0.1	-0.002993
0.308000	0.1	-0.003021
0.309667	0.1	0.001773
0.311333	0.1	0.008360
0.313017	0.101	0.017086
0.314667	0.099	0.031695
0.316333	0.1	0.046678
0.318000	0.1	0.048212
0.319667	0.1	0.038866
0.321333	0.1	0.027264
0.323000	0.1	0.017842
0.324667	0.1	0.007759
0.326333	0.1	-0.008709
0.328000	0.1	-0.022932
0.330000	0.12	-0.024133
0.331667	0.1	-0.017127
0.333333	0.1	-0.014549
0.335000	0.1	-0.016534
0.336667	0.1	-0.014825
0.338333	0.1	-0.005181
0.340000	0.1	0.008485
0.341667	0.1	0.014896
0.343333	0.1	0.012896
0.345000	0.1	0.006553
0.346667	0.1	0.006822
0.348350	0.101	0.012100
0.350000	0.099	0.012481
0.351667	0.1	0.010829
0.353333	0.1	0.010462
0.355000	0.1	0.013208
0.356667	0.1	0.017644
0.358333	0.1	0.015425
0.360000	0.1	0.012866
0.361667	0.1	0.016966
0.363667	0.12	0.022982
0.365400	0.104	0.025339
0.367000	0.096	0.025442
0.368717	0.103	0.022238
0.370333	0.097	0.012743
0.372033	0.102	0.003033
0.373700	0.1	-0.000820
0.375367	0.1	0.002726
0.377033	0.1	0.004561
0.378700	0.1	0.001056
0.380367	0.1	0.001364
0.382033	0.1	0.007849
0.383700	0.1	0.011470
0.385367	0.1	0.011699
0.387033	0.1	0.012066
0.388700	0.1	0.010942
0.390367	0.1	0.011957
0.392033	0.1	0.017587
0.393700	0.1	0.032237
0.395717	0.121	0.049796
0.397367	0.099	0.055744
0.399033	0.1	0.044312
0.400700	0.1	0.026006
0.402367	0.1	0.016223
0.404033	0.1	0.012288
0.405700	0.1	0.006809
0.407367	0.1	0.002162
0.409033	0.1	0.008327
0.410700	0.1	0.019640
0.412367	0.1	0.019572
0.414033	0.1	0.011343
0.415700	0.1	0.008449
0.417367	0.1	0.020214
0.419033	0.1	0.035026
0.420700	0.1	0.034910
0.422350	0.099	0.021570
0.424017	0.1	0.015423
0.425683	0.1	0.022021
0.427350	0.1	0.031342
0.429350	0.12	0.030423
0.431033	0.101	0.026784
0.432683	0.099	0.032335
0.434367	0.101	0.045246
0.436017	0.099	0.051627
0.437700	0.101	0.039698
0.439333	0.098	0.015172
0.441017	0.101	-0.005629
0.442667	0.099	-0.020648
0.444350	0.101	-0.034132
0.446000	0.099	-0.037392
0.447683	0.101	-0.032078
0.449333	0.099	-0.022290
0.451017	0.101	-0.006009
0.452667	0.099	0.014976
0.454350	0.101	0.026072
0.456000	0.099	0.017616
0.457667	0.1	0.004976
0.459333	0.1	-0.004664
0.461017	0.101	-0.015972
0.463067	0.123	-0.026830
0.464783	0.103	-0.031321
0.466450	0.1	-0.029958
0.468117	0.1	-0.024882
0.469783	0.1	-0.015247
0.471467	0.101	-0.000716
0.473117	0.099	0.012725
0.474783	0.1	0.025029
0.476450	0.1	0.032737
0.478117	0.1	0.031015
0.479783	0.1	0.020848
0.481450	0.1	0.010571
