URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.16.26 asgr1 secretion test.seq/743.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	4.16.26 asgr1 secretion test
Name	asgr liver 3
Number	5
Position	RA6
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/16/2026 10:51:49 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.500200
Data Points	63841
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.728788
Signal Max.	53.671630
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103402

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.029825
0.001667	0.1	-0.022362
0.003333	0.1	-0.019117
0.005000	0.1	-0.014227
0.006667	0.1	-0.008424
0.008333	0.1	-0.000305
0.010000	0.1	0.010530
0.011667	0.1	0.020569
0.013333	0.1	0.032368
0.015000	0.1	0.040264
0.016667	0.1	0.041595
0.018333	0.1	0.044292
0.020000	0.1	0.041730
0.021667	0.1	0.025146
0.023333	0.1	-0.001832
0.025017	0.101	-0.040510
0.026667	0.099	-0.088198
0.028333	0.1	-0.137173
0.030000	0.1	-0.177052
0.032033	0.122	-0.208122
0.033700	0.1	-0.236956
0.035333	0.098	-0.259236
0.037017	0.101	-0.267643
0.038667	0.099	-0.263506
0.040333	0.1	-0.255185
0.042000	0.1	-0.247723
0.043667	0.1	-0.237507
0.045333	0.1	-0.225555
0.047000	0.1	-0.219506
0.048667	0.1	-0.219009
0.050333	0.1	-0.219616
0.052000	0.1	-0.212142
0.053667	0.1	-0.194180
0.055333	0.1	-0.174262
0.057000	0.1	-0.156358
0.058667	0.1	-0.137174
0.060333	0.1	-0.117363
0.062000	0.1	-0.102419
0.063667	0.1	-0.098378
0.065667	0.12	-0.103619
0.067333	0.1	-0.114014
0.069067	0.104	-0.122179
0.070667	0.096	-0.122278
0.072333	0.1	-0.117367
0.074000	0.1	-0.114163
0.075700	0.102	-0.120026
0.077367	0.1	-0.133309
0.079033	0.1	-0.139368
0.080700	0.1	-0.132428
0.082367	0.1	-0.117211
0.084033	0.1	-0.097709
0.085700	0.1	-0.075623
0.087367	0.1	-0.057897
0.089033	0.1	-0.051846
0.090700	0.1	-0.055582
0.092367	0.1	-0.064215
0.094033	0.1	-0.074085
0.095700	0.1	-0.081914
0.097767	0.124	-0.082748
0.099417	0.099	-0.078972
0.101083	0.1	-0.068587
0.102767	0.101	-0.049386
0.104417	0.099	-0.032771
0.106083	0.1	-0.034904
0.107750	0.1	-0.050227
0.109417	0.1	-0.063489
0.111083	0.1	-0.070145
0.112750	0.1	-0.069598
0.114417	0.1	-0.062593
0.116083	0.1	-0.059806
0.117750	0.1	-0.062894
0.119417	0.1	-0.072271
0.121083	0.1	-0.082872
0.122750	0.1	-0.079189
0.124417	0.1	-0.060959
0.126083	0.1	-0.038819
0.127750	0.1	-0.022912
0.129417	0.1	-0.020095
0.131433	0.121	-0.023269
0.133083	0.099	-0.020900
0.134750	0.1	-0.016810
0.136417	0.1	-0.017617
0.138083	0.1	-0.030130
0.139767	0.101	-0.048939
0.141417	0.099	-0.060328
0.143083	0.1	-0.058201
0.144750	0.1	-0.048989
0.146417	0.1	-0.043976
0.148083	0.1	-0.042378
0.149750	0.1	-0.042795
0.151417	0.1	-0.042599
0.153083	0.1	-0.041648
0.154750	0.1	-0.040911
0.156483	0.104	-0.038952
0.158117	0.098	-0.028995
0.159783	0.1	-0.012554
0.161450	0.1	-0.006953
0.163117	0.1	-0.015956
0.165133	0.121	-0.028058
0.166783	0.099	-0.036721
0.168450	0.1	-0.042266
0.170117	0.1	-0.045616
0.171783	0.1	-0.044483
0.173483	0.102	-0.036795
0.175117	0.098	-0.022814
0.176783	0.1	-0.014028
0.178450	0.1	-0.010846
0.180117	0.1	-0.009466
0.181800	0.101	-0.006088
0.183450	0.099	0.000427
0.185117	0.1	0.004495
0.186783	0.1	0.009229
0.188450	0.1	0.016661
0.190117	0.1	0.022918
0.191783	0.1	0.028513
0.193450	0.1	0.029988
0.195117	0.1	0.017082
0.196783	0.1	-0.004116
0.198800	0.121	-0.024165
0.200483	0.101	-0.044145
0.202117	0.098	-0.063733
0.203783	0.1	-0.068759
0.205450	0.1	-0.052977
0.207117	0.1	-0.030271
0.208783	0.1	-0.014671
0.210450	0.1	-0.008393
0.212117	0.1	-0.005794
0.213783	0.1	-0.002032
0.215450	0.1	0.001635
0.217117	0.1	0.006008
0.218783	0.1	0.013910
0.220450	0.1	0.020024
0.222117	0.1	0.020721
0.223783	0.1	0.019937
0.225433	0.099	0.021317
0.227100	0.1	0.020575
0.228767	0.1	0.016795
0.230433	0.1	0.018601
0.232433	0.12	0.024684
0.234100	0.1	0.027033
0.235800	0.102	0.026481
0.237433	0.098	0.024400
0.239100	0.1	0.020359
0.240783	0.101	0.019496
0.242417	0.098	0.024372
0.244083	0.1	0.024360
0.245750	0.1	0.013635
0.247417	0.1	0.006113
0.249083	0.1	0.009052
0.250750	0.1	0.013852
0.252417	0.1	0.016019
0.254083	0.1	0.016488
0.255750	0.1	0.016808
0.257417	0.1	0.013296
0.259083	0.1	0.006415
0.260750	0.1	0.004303
0.262417	0.1	0.015273
0.264083	0.1	0.029865
0.266117	0.122	0.037467
0.267750	0.098	0.040789
0.269417	0.1	0.041594
0.271083	0.1	0.035703
0.272750	0.1	0.023151
0.274417	0.1	0.013870
0.276083	0.1	0.011326
0.277783	0.102	0.015825
0.279417	0.098	0.023573
0.281083	0.1	0.033290
0.282750	0.1	0.046252
0.284417	0.1	0.056476
0.286083	0.1	0.054251
0.287750	0.1	0.044518
0.289417	0.1	0.031778
0.291083	0.1	0.015088
0.292750	0.1	0.001243
0.294417	0.1	-0.000378
0.296083	0.1	0.013575
0.298100	0.121	0.034847
0.299750	0.099	0.043808
0.301417	0.1	0.036065
0.303083	0.1	0.021058
0.304750	0.1	0.008670
