URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.16.26 asgr1 secretion test.seq/808.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	4.16.26 asgr1 secretion test
Name	asgr liver 4
Number	7
Position	RA8
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/17/2026 2:29:51 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.501083
Data Points	63839
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.730667
Signal Max.	78.190320
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.094
Max. Step (s)	0.129
Average Step (s)	0.10103802

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	0.001156
0.001667	0.1	0.003100
0.003333	0.1	0.011483
0.005000	0.1	0.014965
0.006667	0.1	0.011048
0.008333	0.1	0.000441
0.010000	0.1	-0.012746
0.011667	0.1	-0.022274
0.013333	0.1	-0.028276
0.015000	0.1	-0.032343
0.016667	0.1	-0.031466
0.018333	0.1	-0.023535
0.020000	0.1	-0.011801
0.021667	0.1	-0.006712
0.023333	0.1	-0.008144
0.025000	0.1	-0.009104
0.026667	0.1	-0.008241
0.028333	0.1	-0.014527
0.030000	0.1	-0.032972
0.031667	0.1	-0.059021
0.033667	0.12	-0.084857
0.035367	0.102	-0.101359
0.037033	0.1	-0.105154
0.038683	0.099	-0.098935
0.040333	0.099	-0.088005
0.042000	0.1	-0.082812
0.043667	0.1	-0.090098
0.045333	0.1	-0.099111
0.047000	0.1	-0.101033
0.048667	0.1	-0.088256
0.050333	0.1	-0.062333
0.052000	0.1	-0.041218
0.053667	0.1	-0.035911
0.055333	0.1	-0.035759
0.057000	0.1	-0.028403
0.058667	0.1	-0.020324
0.060333	0.1	-0.026077
0.062000	0.1	-0.036252
0.063667	0.1	-0.041562
0.065333	0.1	-0.038941
0.067450	0.127	-0.032979
0.069083	0.098	-0.033345
0.070750	0.1	-0.041175
0.072417	0.1	-0.045504
0.074083	0.1	-0.039108
0.075750	0.1	-0.031283
0.077417	0.1	-0.030261
0.079083	0.1	-0.042202
0.080750	0.1	-0.052266
0.082417	0.1	-0.048247
0.084083	0.1	-0.040423
0.085750	0.1	-0.038345
0.087417	0.1	-0.042549
0.089083	0.1	-0.047946
0.090750	0.1	-0.056036
0.092417	0.1	-0.060752
0.094083	0.1	-0.051931
0.095750	0.1	-0.038160
0.097417	0.1	-0.025839
0.099417	0.12	-0.023006
0.101117	0.102	-0.030628
0.102750	0.098	-0.039786
0.104417	0.1	-0.043158
0.106133	0.103	-0.044262
0.107750	0.097	-0.048699
0.109433	0.101	-0.050959
0.111083	0.099	-0.044126
0.112750	0.1	-0.029697
0.114417	0.1	-0.017400
0.116083	0.1	-0.015624
0.117750	0.1	-0.019103
0.119417	0.1	-0.020645
0.121083	0.1	-0.020805
0.122750	0.1	-0.018628
0.124417	0.1	-0.008203
0.126083	0.1	0.004839
0.127750	0.1	0.013861
0.129417	0.1	0.019424
0.131083	0.1	0.023755
0.133083	0.12	0.022510
0.134767	0.101	0.016767
0.136417	0.099	0.009694
0.138100	0.101	-0.000993
0.139750	0.099	-0.010596
0.141417	0.1	-0.008300
0.143083	0.1	0.004504
0.144750	0.1	0.019037
0.146417	0.1	0.027047
0.148083	0.1	0.031629
0.149750	0.1	0.036327
0.151417	0.1	0.040494
0.153083	0.1	0.041804
0.154750	0.1	0.040684
0.156417	0.1	0.038356
0.158083	0.1	0.034687
0.159750	0.1	0.028544
0.161433	0.101	0.016767
0.163100	0.1	0.009663
0.164750	0.099	0.011765
0.166783	0.122	0.009977
0.168417	0.098	-0.004726
0.170167	0.105	-0.022300
0.171750	0.095	-0.031974
