URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.16.26 asgr1 secretion test.seq/560.smp/CAD_1.channel/CAD_1.chm
Channel	CAD_1

Injection Information:
Data Vault	test001
Sequence	4.16.26 asgr1 secretion test
Name	asgr liver 5
Number	9
Position	RB2
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/17/2026 6:07:54 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	107.501250
Data Points	63840
Detector	CAD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	Current
Signal Unit	pA
Signal Min.	-0.754308
Signal Max.	69.735360
Channel	CAD_1
Driver Name	CoronaVeo.dll
Channel Type	Evaluation
Min. Step (s)	0.095
Max. Step (s)	0.129
Average Step (s)	0.10103659

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (pA)
0.000000	n.a.	-0.019444
0.001700	0.102	-0.018202
0.003333	0.098	-0.003764
0.005000	0.1	0.019112
0.006667	0.1	0.035889
0.008333	0.1	0.041597
0.010000	0.1	0.042026
0.011667	0.1	0.035662
0.013333	0.1	0.021688
0.015000	0.1	0.003637
0.016667	0.1	-0.013951
0.018333	0.1	-0.020544
0.020000	0.1	-0.023223
0.021667	0.1	-0.024668
0.023333	0.1	-0.025948
0.025000	0.1	-0.030915
0.026667	0.1	-0.036111
0.028333	0.1	-0.038305
0.030333	0.12	-0.036088
0.032000	0.1	-0.032633
0.033667	0.1	-0.035440
0.035367	0.102	-0.053965
0.037000	0.098	-0.077156
0.038667	0.1	-0.090309
0.040333	0.1	-0.100606
0.042000	0.1	-0.113112
0.043667	0.1	-0.113550
0.045333	0.1	-0.096327
0.047000	0.1	-0.077087
0.048667	0.1	-0.071866
0.050333	0.1	-0.078020
0.052000	0.1	-0.083046
0.053667	0.1	-0.085349
0.055333	0.1	-0.083308
0.057000	0.1	-0.069268
0.058667	0.1	-0.042919
0.060333	0.1	-0.019401
0.062000	0.1	-0.012135
0.064000	0.12	-0.016813
0.065733	0.104	-0.021481
0.067333	0.096	-0.021501
0.069000	0.1	-0.028867
0.070700	0.102	-0.043680
0.072367	0.1	-0.050712
0.074033	0.1	-0.047147
0.075700	0.1	-0.037389
0.077367	0.1	-0.030958
0.079033	0.1	-0.037250
0.080700	0.1	-0.048983
0.082367	0.1	-0.052976
0.084033	0.1	-0.046063
0.085700	0.1	-0.046634
0.087400	0.102	-0.051404
0.089033	0.098	-0.047842
0.090700	0.1	-0.042973
0.092367	0.1	-0.049004
0.094033	0.1	-0.059316
0.095700	0.1	-0.063574
0.097700	0.12	-0.058031
0.099367	0.1	-0.044614
