URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.16.26 asgr1 secretion test.seq/433.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.16.26 asgr1 secretion test
Name	AB liver 2
Number	2
Position	RA3
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/16/2026 5:24:46 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003350
Time Max. (min)	107.503350
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-62,264.000000
Signal Max.	62,586.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003350	n.a.	0.000000
0.006683	0.2	0.000000
0.010017	0.2	0.000000
0.013350	0.2	0.000000
0.016683	0.2	0.000000
0.020017	0.2	0.000000
0.023350	0.2	0.000000
0.026683	0.2	0.000000
0.030017	0.2	0.000000
0.033350	0.2	0.000000
0.036683	0.2	-53,746.000000
0.040017	0.2	-53,793.000000
0.043350	0.2	-53,867.000000
0.046683	0.2	-53,952.000000
0.050017	0.2	-54,035.000000
0.053350	0.2	-54,105.000000
0.056683	0.2	-54,163.000000
0.060017	0.2	-54,215.000000
0.063350	0.2	-54,266.000000
0.066683	0.2	-54,319.000000
0.070017	0.2	-54,382.000000
0.073350	0.2	-54,467.000000
0.076683	0.2	-54,565.000000
0.080017	0.2	-54,663.000000
0.083350	0.2	-54,736.000000
0.086683	0.2	-54,763.000000
0.090017	0.2	-54,738.000000
0.093350	0.2	-54,675.000000
0.096683	0.2	-54,597.000000
0.100017	0.2	-54,533.000000
0.103350	0.2	-54,503.000000
0.106683	0.2	-54,506.000000
0.110017	0.2	-54,539.000000
0.113350	0.2	-54,596.000000
0.116683	0.2	-54,670.000000
0.120017	0.2	-54,746.000000
0.123350	0.2	-54,812.000000
0.126683	0.2	-54,856.000000
0.130017	0.2	-54,866.000000
0.133350	0.2	-54,850.000000
0.136683	0.2	-54,809.000000
0.140017	0.2	-54,754.000000
0.143350	0.2	-54,691.000000
0.146683	0.2	-54,629.000000
0.150017	0.2	-54,581.000000
0.153350	0.2	-54,549.000000
0.156683	0.2	-54,528.000000
0.160017	0.2	-54,514.000000
0.163350	0.2	-54,511.000000
0.166683	0.2	-54,520.000000
0.170017	0.2	-54,541.000000
0.173350	0.2	-54,572.000000
0.176683	0.2	-54,608.000000
0.180017	0.2	-54,642.000000
0.183350	0.2	-54,671.000000
0.186683	0.2	-54,697.000000
0.190017	0.2	-54,720.000000
0.193350	0.2	-54,742.000000
0.196683	0.2	-54,768.000000
0.200017	0.2	-54,793.000000
0.203350	0.2	-54,815.000000
0.206683	0.2	-54,839.000000
0.210017	0.2	-54,860.000000
0.213350	0.2	-54,867.000000
0.216683	0.2	-54,857.000000
0.220017	0.2	-54,826.000000
0.223350	0.2	-54,791.000000
0.226683	0.2	-54,766.000000
0.230017	0.2	-54,752.000000
0.233350	0.2	-54,749.000000
0.236683	0.2	-54,756.000000
0.240017	0.2	-54,759.000000
0.243350	0.2	-54,742.000000
0.246683	0.2	-54,695.000000
0.250017	0.2	-54,609.000000
0.253350	0.2	-54,491.000000
0.256683	0.2	-54,356.000000
0.260017	0.2	-54,218.000000
0.263350	0.2	-54,069.000000
0.266683	0.2	-53,909.000000
0.270017	0.2	-53,760.000000
0.273350	0.2	-53,637.000000
0.276683	0.2	-53,549.000000
0.280017	0.2	-53,489.000000
0.283350	0.2	-53,438.000000
0.286683	0.2	-53,386.000000
0.290017	0.2	-53,327.000000
0.293350	0.2	-53,263.000000
0.296683	0.2	-53,207.000000
0.300017	0.2	-53,171.000000
0.303350	0.2	-53,172.000000
0.306683	0.2	-53,223.000000
0.310017	0.2	-53,308.000000
0.313350	0.2	-53,411.000000
0.316683	0.2	-53,529.000000
0.320017	0.2	-53,659.000000
0.323350	0.2	-53,788.000000
0.326683	0.2	-53,915.000000
0.330017	0.2	-54,044.000000
0.333350	0.2	-54,169.000000
0.336683	0.2	-54,291.000000
0.340017	0.2	-54,413.000000
0.343350	0.2	-54,533.000000
0.346683	0.2	-54,649.000000
0.350017	0.2	-54,749.000000
0.353350	0.2	-54,823.000000
0.356683	0.2	-54,860.000000
0.360017	0.2	-54,857.000000
0.363350	0.2	-54,808.000000
0.366683	0.2	-54,724.000000
0.370017	0.2	-54,615.000000
0.373350	0.2	-54,493.000000
0.376683	0.2	-54,369.000000
0.380017	0.2	-54,258.000000
0.383350	0.2	-54,170.000000
0.386683	0.2	-54,097.000000
0.390017	0.2	-54,030.000000
0.393350	0.2	-53,968.000000
0.396683	0.2	-53,920.000000
0.400017	0.2	-53,894.000000
0.403350	0.2	-53,893.000000
0.406683	0.2	-53,912.000000
0.410017	0.2	-53,946.000000
0.413350	0.2	-53,980.000000
0.416683	0.2	-54,007.000000
0.420017	0.2	-54,024.000000
0.423350	0.2	-54,033.000000
0.426683	0.2	-54,045.000000
0.430017	0.2	-54,054.000000
0.433350	0.2	-54,058.000000
0.436683	0.2	-54,063.000000
0.440017	0.2	-54,078.000000
0.443350	0.2	-54,103.000000
0.446683	0.2	-54,135.000000
0.450017	0.2	-54,166.000000
0.453350	0.2	-54,205.000000
0.456683	0.2	-54,262.000000
0.460017	0.2	-54,333.000000
0.463350	0.2	-54,415.000000
0.466683	0.2	-54,509.000000
0.470017	0.2	-54,610.000000
0.473350	0.2	-54,702.000000
0.476683	0.2	-54,781.000000
0.480017	0.2	-54,849.000000
0.483350	0.2	-54,909.000000
