URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.16.26 asgr1 secretion test.seq/347.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.16.26 asgr1 secretion test
Name	AB liver 3
Number	4
Position	RA5
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/16/2026 9:02:48 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003100
Time Max. (min)	107.503100
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-117,677.000000
Signal Max.	1,345,993.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003100	n.a.	1,524.000000
0.006433	0.2	1,524.000000
0.009767	0.2	1,524.000000
0.013100	0.2	1,524.000000
0.016433	0.2	1,524.000000
0.019767	0.2	1,524.000000
0.023100	0.2	1,524.000000
0.026433	0.2	1,524.000000
0.029767	0.2	1,524.000000
0.033100	0.2	1,524.000000
0.036433	0.2	-75,138.000000
0.039767	0.2	-75,271.000000
0.043100	0.2	-75,439.000000
0.046433	0.2	-75,618.000000
0.049767	0.2	-75,794.000000
0.053100	0.2	-75,960.000000
0.056433	0.2	-76,102.000000
0.059767	0.2	-76,213.000000
0.063100	0.2	-76,291.000000
0.066433	0.2	-76,340.000000
0.069767	0.2	-76,367.000000
0.073100	0.2	-76,397.000000
0.076433	0.2	-76,446.000000
0.079767	0.2	-76,512.000000
0.083100	0.2	-76,588.000000
0.086433	0.2	-76,668.000000
0.089767	0.2	-76,747.000000
0.093100	0.2	-76,830.000000
0.096433	0.2	-76,917.000000
0.099767	0.2	-77,008.000000
0.103100	0.2	-77,102.000000
0.106433	0.2	-77,202.000000
0.109767	0.2	-77,314.000000
0.113100	0.2	-77,438.000000
0.116433	0.2	-77,571.000000
0.119767	0.2	-77,701.000000
0.123100	0.2	-77,807.000000
0.126433	0.2	-77,876.000000
0.129767	0.2	-77,902.000000
0.133100	0.2	-77,885.000000
0.136433	0.2	-77,838.000000
0.139767	0.2	-77,771.000000
0.143100	0.2	-77,684.000000
0.146433	0.2	-77,578.000000
0.149767	0.2	-77,465.000000
0.153100	0.2	-77,361.000000
0.156433	0.2	-77,278.000000
0.159767	0.2	-77,216.000000
0.163100	0.2	-77,172.000000
0.166433	0.2	-77,141.000000
0.169767	0.2	-77,122.000000
0.173100	0.2	-77,114.000000
0.176433	0.2	-77,112.000000
0.179767	0.2	-77,118.000000
0.183100	0.2	-77,136.000000
0.186433	0.2	-77,177.000000
0.189767	0.2	-77,232.000000
0.193100	0.2	-77,295.000000
0.196433	0.2	-77,363.000000
0.199767	0.2	-77,423.000000
0.203100	0.2	-77,451.000000
0.206433	0.2	-77,442.000000
0.209767	0.2	-77,401.000000
0.213100	0.2	-77,324.000000
0.216433	0.2	-77,210.000000
0.219767	0.2	-77,073.000000
0.223100	0.2	-76,932.000000
0.226433	0.2	-76,792.000000
0.229767	0.2	-76,652.000000
0.233100	0.2	-76,526.000000
0.236433	0.2	-76,430.000000
0.239767	0.2	-76,378.000000
