URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.16.26 asgr1 secretion test.seq/305.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.16.26 asgr1 secretion test
Name	AB liver 4
Number	6
Position	RA7
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/17/2026 12:40:50 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003200
Time Max. (min)	107.503200
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-74,035.000000
Signal Max.	210,161.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003200	n.a.	-2,667.000000
0.006533	0.2	-2,667.000000
0.009867	0.2	-2,667.000000
0.013200	0.2	-2,667.000000
0.016533	0.2	-2,667.000000
0.019867	0.2	-2,667.000000
0.023200	0.2	-2,667.000000
0.026533	0.2	-2,667.000000
0.029867	0.2	-2,667.000000
0.033200	0.2	-2,667.000000
0.036533	0.2	-62,848.000000
0.039867	0.2	-62,929.000000
0.043200	0.2	-63,025.000000
0.046533	0.2	-63,115.000000
0.049867	0.2	-63,193.000000
0.053200	0.2	-63,265.000000
0.056533	0.2	-63,331.000000
0.059867	0.2	-63,380.000000
0.063200	0.2	-63,407.000000
0.066533	0.2	-63,424.000000
0.069867	0.2	-63,445.000000
0.073200	0.2	-63,485.000000
0.076533	0.2	-63,547.000000
0.079867	0.2	-63,632.000000
0.083200	0.2	-63,733.000000
0.086533	0.2	-63,833.000000
0.089867	0.2	-63,912.000000
0.093200	0.2	-63,954.000000
0.096533	0.2	-63,955.000000
0.099867	0.2	-63,930.000000
0.103200	0.2	-63,895.000000
0.106533	0.2	-63,863.000000
0.109867	0.2	-63,848.000000
0.113200	0.2	-63,856.000000
0.116533	0.2	-63,889.000000
0.119867	0.2	-63,934.000000
0.123200	0.2	-63,981.000000
0.126533	0.2	-64,020.000000
0.129867	0.2	-64,046.000000
0.133200	0.2	-64,058.000000
0.136533	0.2	-64,049.000000
0.139867	0.2	-64,009.000000
0.143200	0.2	-63,938.000000
0.146533	0.2	-63,848.000000
0.149867	0.2	-63,754.000000
0.153200	0.2	-63,656.000000
0.156533	0.2	-63,553.000000
0.159867	0.2	-63,458.000000
0.163200	0.2	-63,380.000000
0.166533	0.2	-63,321.000000
0.169867	0.2	-63,283.000000
0.173200	0.2	-63,273.000000
0.176533	0.2	-63,299.000000
0.179867	0.2	-63,359.000000
0.183200	0.2	-63,447.000000
0.186533	0.2	-63,559.000000
0.189867	0.2	-63,682.000000
0.193200	0.2	-63,791.000000
0.196533	0.2	-63,866.000000
0.199867	0.2	-63,882.000000
0.203200	0.2	-63,828.000000
0.206533	0.2	-63,717.000000
0.209867	0.2	-63,567.000000
0.213200	0.2	-63,406.000000
0.216533	0.2	-63,258.000000
0.219867	0.2	-63,143.000000
0.223200	0.2	-63,074.000000
0.226533	0.2	-63,058.000000
0.229867	0.2	-63,095.000000
0.233200	0.2	-63,173.000000
0.236533	0.2	-63,273.000000
0.239867	0.2	-63,370.000000
0.243200	0.2	-63,454.000000
0.246533	0.2	-63,533.000000
0.249867	0.2	-63,609.000000
0.253200	0.2	-63,673.000000
0.256533	0.2	-63,707.000000
0.259867	0.2	-63,707.000000
0.263200	0.2	-63,672.000000
0.266533	0.2	-63,607.000000
0.269867	0.2	-63,522.000000
0.273200	0.2	-63,425.000000
0.276533	0.2	-63,328.000000
0.279867	0.2	-63,257.000000
0.283200	0.2	-63,222.000000
0.286533	0.2	-63,221.000000
0.289867	0.2	-63,239.000000
0.293200	0.2	-63,261.000000
0.296533	0.2	-63,275.000000
0.299867	0.2	-63,281.000000
0.303200	0.2	-63,291.000000
0.306533	0.2	-63,316.000000
0.309867	0.2	-63,361.000000
0.313200	0.2	-63,419.000000
0.316533	0.2	-63,479.000000
0.319867	0.2	-63,539.000000
0.323200	0.2	-63,593.000000
0.326533	0.2	-63,629.000000
0.329867	0.2	-63,637.000000
0.333200	0.2	-63,620.000000
0.336533	0.2	-63,581.000000
0.339867	0.2	-63,517.000000
0.343200	0.2	-63,431.000000
0.346533	0.2	-63,329.000000
0.349867	0.2	-63,220.000000
0.353200	0.2	-63,123.000000
0.356533	0.2	-63,053.000000
0.359867	0.2	-63,008.000000
0.363200	0.2	-62,977.000000
0.366533	0.2	-62,956.000000
0.369867	0.2	-62,942.000000
0.373200	0.2	-62,939.000000
0.376533	0.2	-62,959.000000
0.379867	0.2	-63,004.000000
0.383200	0.2	-63,081.000000
0.386533	0.2	-63,196.000000
0.389867	0.2	-63,343.000000
0.393200	0.2	-63,509.000000
0.396533	0.2	-63,683.000000
0.399867	0.2	-63,857.000000
0.403200	0.2	-64,024.000000
0.406533	0.2	-64,184.000000
0.409867	0.2	-64,331.000000
0.413200	0.2	-64,445.000000
0.416533	0.2	-64,513.000000
0.419867	0.2	-64,526.000000
0.423200	0.2	-64,482.000000
0.426533	0.2	-64,385.000000
0.429867	0.2	-64,249.000000
0.433200	0.2	-64,092.000000
0.436533	0.2	-63,925.000000
0.439867	0.2	-63,754.000000
0.443200	0.2	-63,598.000000
0.446533	0.2	-63,474.000000
0.449867	0.2	-63,396.000000
0.453200	0.2	-63,367.000000
0.456533	0.2	-63,382.000000
0.459867	0.2	-63,426.000000
0.463200	0.2	-63,471.000000
0.466533	0.2	-63,500.000000
0.469867	0.2	-63,513.000000
0.473200	0.2	-63,517.000000
0.476533	0.2	-63,518.000000
0.479867	0.2	-63,523.000000
0.483200	0.2	-63,531.000000
0.486533	0.2	-63,540.000000
0.489867	0.2	-63,550.000000
0.493200	0.2	-63,560.000000
0.496533	0.2	-63,573.000000
0.499867	0.2	-63,584.000000
0.503200	0.2	-63,581.000000
0.506533	0.2	-63,561.000000
0.509867	0.2	-63,521.000000
0.513200	0.2	-63,466.000000
0.516533	0.2	-63,396.000000
0.519867	0.2	-63,316.000000
0.523200	0.2	-63,237.000000
0.526533	0.2	-63,157.000000
0.529867	0.2	-63,074.000000
0.533200	0.2	-62,995.000000
0.536533	0.2	-62,934.000000
0.539867	0.2	-62,891.000000
0.543200	0.2	-62,863.000000
0.546533	0.2	-62,849.000000
0.549867	0.2	-62,852.000000
0.553200	0.2	-62,869.000000
0.556533	0.2	-62,892.000000
0.559867	0.2	-62,911.000000
0.563200	0.2	-62,920.000000
0.566533	0.2	-62,913.000000
0.569867	0.2	-62,899.000000
0.573200	0.2	-62,887.000000
0.576533	0.2	-62,876.000000
0.579867	0.2	-62,870.000000
0.583200	0.2	-62,870.000000
0.586533	0.2	-62,878.000000
0.589867	0.2	-62,898.000000
0.593200	0.2	-62,936.000000
0.596533	0.2	-62,988.000000
0.599867	0.2	-63,049.000000
0.603200	0.2	-63,114.000000
0.606533	0.2	-63,181.000000
0.609867	0.2	-63,254.000000
0.613200	0.2	-63,312.000000
0.616533	0.2	-63,340.000000
0.619867	0.2	-63,337.000000
0.623200	0.2	-63,308.000000
0.626533	0.2	-63,266.000000
0.629867	0.2	-63,206.000000
0.633200	0.2	-63,101.000000
0.636533	0.2	-62,912.000000
0.639867	0.2	-62,592.000000
0.643200	0.2	-62,104.000000
0.646533	0.2	-61,443.000000
0.649867	0.2	-60,616.000000
0.653200	0.2	-59,653.000000
0.656533	0.2	-58,596.000000
0.659867	0.2	-57,496.000000
0.663200	0.2	-56,386.000000
0.666533	0.2	-55,305.000000
0.669867	0.2	-54,299.000000
0.673200	0.2	-53,410.000000
0.676533	0.2	-52,655.000000
0.679867	0.2	-52,025.000000
0.683200	0.2	-51,504.000000
0.686533	0.2	-51,063.000000
0.689867	0.2	-50,668.000000
0.693200	0.2	-50,292.000000
0.696533	0.2	-49,926.000000
0.699867	0.2	-49,548.000000
0.703200	0.2	-49,117.000000
0.706533	0.2	-48,596.000000
0.709867	0.2	-47,956.000000
0.713200	0.2	-47,198.000000
0.716533	0.2	-46,357.000000
0.719867	0.2	-45,489.000000
0.723200	0.2	-44,662.000000
0.726533	0.2	-43,939.000000
0.729867	0.2	-43,362.000000
0.733200	0.2	-42,947.000000
0.736533	0.2	-42,688.000000
0.739867	0.2	-42,586.000000
0.743200	0.2	-42,619.000000
0.746533	0.2	-42,754.000000
0.749867	0.2	-42,959.000000
0.753200	0.2	-43,226.000000
0.756533	0.2	-43,553.000000
0.759867	0.2	-43,916.000000
0.763200	0.2	-44,292.000000
0.766533	0.2	-44,664.000000
0.769867	0.2	-45,034.000000
0.773200	0.2	-45,403.000000
0.776533	0.2	-45,769.000000
0.779867	0.2	-46,116.000000
0.783200	0.2	-46,431.000000
0.786533	0.2	-46,716.000000
0.789867	0.2	-46,972.000000
0.793200	0.2	-47,207.000000
0.796533	0.2	-47,445.000000
0.799867	0.2	-47,714.000000
0.803200	0.2	-48,030.000000
0.806533	0.2	-48,402.000000
0.809867	0.2	-48,830.000000
0.813200	0.2	-49,315.000000
0.816533	0.2	-49,848.000000
0.819867	0.2	-50,421.000000
0.823200	0.2	-51,023.000000
0.826533	0.2	-51,629.000000
0.829867	0.2	-52,214.000000
0.833200	0.2	-52,767.000000
0.836533	0.2	-53,275.000000
0.839867	0.2	-53,723.000000
0.843200	0.2	-54,114.000000
0.846533	0.2	-54,457.000000
0.849867	0.2	-54,773.000000
0.853200	0.2	-55,090.000000
0.856533	0.2	-55,428.000000
0.859867	0.2	-55,800.000000
0.863200	0.2	-56,198.000000
0.866533	0.2	-56,608.000000
0.869867	0.2	-57,014.000000
0.873200	0.2	-57,402.000000
0.876533	0.2	-57,753.000000
0.879867	0.2	-58,055.000000
0.883200	0.2	-58,303.000000
0.886533	0.2	-58,500.000000
0.889867	0.2	-58,661.000000
0.893200	0.2	-58,802.000000
0.896533	0.2	-58,933.000000
0.899867	0.2	-59,057.000000
0.903200	0.2	-59,183.000000
0.906533	0.2	-59,323.000000
0.909867	0.2	-59,478.000000
0.913200	0.2	-59,644.000000
0.916533	0.2	-59,815.000000
0.919867	0.2	-59,981.000000
0.923200	0.2	-60,141.000000
0.926533	0.2	-60,290.000000
0.929867	0.2	-60,425.000000
0.933200	0.2	-60,545.000000
0.936533	0.2	-60,648.000000
0.939867	0.2	-60,737.000000
0.943200	0.2	-60,816.000000
0.946533	0.2	-60,883.000000
0.949867	0.2	-60,929.000000
0.953200	0.2	-60,951.000000
0.956533	0.2	-60,958.000000
0.959867	0.2	-60,958.000000
0.963200	0.2	-60,962.000000
0.966533	0.2	-60,983.000000
0.969867	0.2	-61,038.000000
0.973200	0.2	-61,120.000000
0.976533	0.2	-61,220.000000
0.979867	0.2	-61,324.000000
0.983200	0.2	-61,422.000000
0.986533	0.2	-61,507.000000
0.989867	0.2	-61,568.000000
0.993200	0.2	-61,601.000000
0.996533	0.2	-61,601.000000
0.999867	0.2	-61,592.000000
1.003200	0.2	-61,599.000000
1.006533	0.2	-61,626.000000
1.009867	0.2	-61,662.000000
1.013200	0.2	-61,695.000000
1.016533	0.2	-61,726.000000
1.019867	0.2	-61,760.000000
1.023200	0.2	-61,790.000000
1.026533	0.2	-61,812.000000
1.029867	0.2	-61,834.000000
1.033200	0.2	-61,866.000000
1.036533	0.2	-61,903.000000
