URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.16.26 asgr1 secretion test.seq/569.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.16.26 asgr1 secretion test
Name	AB liver 5
Number	8
Position	RB1
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/17/2026 4:18:52 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003250
Time Max. (min)	107.503250
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-75,675.000000
Signal Max.	130,611.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003250	n.a.	1,143.000000
0.006583	0.2	1,143.000000
0.009917	0.2	1,143.000000
0.013250	0.2	1,143.000000
0.016583	0.2	1,143.000000
0.019917	0.2	1,143.000000
0.023250	0.2	1,143.000000
0.026583	0.2	1,143.000000
0.029917	0.2	1,143.000000
0.033250	0.2	1,143.000000
0.036583	0.2	-64,937.000000
0.039917	0.2	-64,966.000000
0.043250	0.2	-65,009.000000
0.046583	0.2	-65,058.000000
0.049917	0.2	-65,101.000000
0.053250	0.2	-65,132.000000
0.056583	0.2	-65,155.000000
0.059917	0.2	-65,170.000000
0.063250	0.2	-65,179.000000
0.066583	0.2	-65,187.000000
0.069917	0.2	-65,194.000000
0.073250	0.2	-65,200.000000
0.076583	0.2	-65,209.000000
0.079917	0.2	-65,216.000000
0.083250	0.2	-65,224.000000
0.086583	0.2	-65,239.000000
0.089917	0.2	-65,263.000000
0.093250	0.2	-65,293.000000
0.096583	0.2	-65,320.000000
0.099917	0.2	-65,339.000000
0.103250	0.2	-65,354.000000
0.106583	0.2	-65,358.000000
0.109917	0.2	-65,348.000000
0.113250	0.2	-65,327.000000
0.116583	0.2	-65,292.000000
0.119917	0.2	-65,241.000000
0.123250	0.2	-65,177.000000
0.126583	0.2	-65,106.000000
0.129917	0.2	-65,038.000000
0.133250	0.2	-64,979.000000
0.136583	0.2	-64,927.000000
0.139917	0.2	-64,884.000000
0.143250	0.2	-64,847.000000
0.146583	0.2	-64,815.000000
0.149917	0.2	-64,792.000000
0.153250	0.2	-64,788.000000
0.156583	0.2	-64,815.000000
0.159917	0.2	-64,874.000000
0.163250	0.2	-64,946.000000
0.166583	0.2	-65,007.000000
0.169917	0.2	-65,052.000000
0.173250	0.2	-65,078.000000
0.176583	0.2	-65,085.000000
0.179917	0.2	-65,079.000000
0.183250	0.2	-65,069.000000
0.186583	0.2	-65,058.000000
