URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.16.26 asgr1 secretion test.seq/837.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.16.26 asgr1 secretion test
Name	asgr liver 2
Number	3
Position	RA4
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/16/2026 7:13:47 PM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003333
Time Max. (min)	107.503333
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-72,785.000000
Signal Max.	223,102.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003333	n.a.	1,143.000000
0.006667	0.2	1,143.000000
0.010000	0.2	1,143.000000
0.013333	0.2	1,143.000000
0.016667	0.2	1,143.000000
0.020000	0.2	1,143.000000
0.023333	0.2	1,143.000000
0.026667	0.2	1,143.000000
0.030000	0.2	1,143.000000
0.033333	0.2	1,143.000000
0.036667	0.2	-57,209.000000
0.040000	0.2	-57,200.000000
0.043333	0.2	-57,195.000000
0.046667	0.2	-57,212.000000
0.050000	0.2	-57,248.000000
0.053333	0.2	-57,304.000000
0.056667	0.2	-57,378.000000
0.060000	0.2	-57,453.000000
0.063333	0.2	-57,522.000000
0.066667	0.2	-57,585.000000
0.070000	0.2	-57,642.000000
0.073333	0.2	-57,690.000000
0.076667	0.2	-57,730.000000
0.080000	0.2	-57,760.000000
0.083333	0.2	-57,788.000000
0.086667	0.2	-57,821.000000
0.090000	0.2	-57,865.000000
0.093333	0.2	-57,905.000000
0.096667	0.2	-57,920.000000
0.100000	0.2	-57,910.000000
0.103333	0.2	-57,886.000000
0.106667	0.2	-57,862.000000
0.110000	0.2	-57,846.000000
0.113333	0.2	-57,841.000000
0.116667	0.2	-57,850.000000
0.120000	0.2	-57,882.000000
0.123333	0.2	-57,938.000000
0.126667	0.2	-58,002.000000
0.130000	0.2	-58,061.000000
0.133333	0.2	-58,105.000000
0.136667	0.2	-58,130.000000
0.140000	0.2	-58,132.000000
0.143333	0.2	-58,117.000000
0.146667	0.2	-58,088.000000
0.150000	0.2	-58,055.000000
0.153333	0.2	-58,034.000000
0.156667	0.2	-58,026.000000
0.160000	0.2	-58,025.000000
0.163333	0.2	-58,026.000000
0.166667	0.2	-58,032.000000
0.170000	0.2	-58,045.000000
0.173333	0.2	-58,064.000000
0.176667	0.2	-58,083.000000
0.180000	0.2	-58,095.000000
0.183333	0.2	-58,100.000000
0.186667	0.2	-58,101.000000
0.190000	0.2	-58,096.000000
0.193333	0.2	-58,094.000000
0.196667	0.2	-58,114.000000
0.200000	0.2	-58,158.000000
0.203333	0.2	-58,219.000000
0.206667	0.2	-58,301.000000
0.210000	0.2	-58,399.000000
0.213333	0.2	-58,492.000000
0.216667	0.2	-58,568.000000
0.220000	0.2	-58,630.000000
0.223333	0.2	-58,684.000000
0.226667	0.2	-58,736.000000
0.230000	0.2	-58,786.000000
0.233333	0.2	-58,823.000000
0.236667	0.2	-58,834.000000
0.240000	0.2	-58,806.000000
0.243333	0.2	-58,746.000000
0.246667	0.2	-58,663.000000
0.250000	0.2	-58,561.000000
0.253333	0.2	-58,450.000000
0.256667	0.2	-58,333.000000
0.260000	0.2	-58,213.000000
0.263333	0.2	-58,087.000000
