URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.16.26 asgr1 secretion test.seq/808.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.16.26 asgr1 secretion test
Name	asgr liver 4
Number	7
Position	RA8
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/17/2026 2:29:51 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003383
Time Max. (min)	107.503383
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-77,625.000000
Signal Max.	198,720.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003383	n.a.	762.000000
0.006717	0.2	762.000000
0.010050	0.2	762.000000
0.013383	0.2	762.000000
0.016717	0.2	762.000000
0.020050	0.2	762.000000
0.023383	0.2	762.000000
0.026717	0.2	762.000000
0.030050	0.2	762.000000
0.033383	0.2	762.000000
0.036717	0.2	-64,375.000000
0.040050	0.2	-64,392.000000
0.043383	0.2	-64,410.000000
0.046717	0.2	-64,423.000000
0.050050	0.2	-64,428.000000
0.053383	0.2	-64,429.000000
0.056717	0.2	-64,422.000000
0.060050	0.2	-64,405.000000
0.063383	0.2	-64,387.000000
0.066717	0.2	-64,375.000000
0.070050	0.2	-64,380.000000
0.073383	0.2	-64,412.000000
0.076717	0.2	-64,473.000000
0.080050	0.2	-64,562.000000
0.083383	0.2	-64,672.000000
0.086717	0.2	-64,794.000000
0.090050	0.2	-64,918.000000
0.093383	0.2	-65,035.000000
0.096717	0.2	-65,135.000000
0.100050	0.2	-65,213.000000
0.103383	0.2	-65,264.000000
0.106717	0.2	-65,285.000000
0.110050	0.2	-65,284.000000
0.113383	0.2	-65,270.000000
0.116717	0.2	-65,253.000000
0.120050	0.2	-65,236.000000
0.123383	0.2	-65,226.000000
0.126717	0.2	-65,227.000000
0.130050	0.2	-65,236.000000
0.133383	0.2	-65,246.000000
0.136717	0.2	-65,241.000000
0.140050	0.2	-65,208.000000
0.143383	0.2	-65,146.000000
0.146717	0.2	-65,070.000000
0.150050	0.2	-64,987.000000
0.153383	0.2	-64,896.000000
0.156717	0.2	-64,794.000000
0.160050	0.2	-64,679.000000
0.163383	0.2	-64,562.000000
0.166717	0.2	-64,453.000000
0.170050	0.2	-64,356.000000
0.173383	0.2	-64,278.000000
0.176717	0.2	-64,227.000000
0.180050	0.2	-64,210.000000
0.183383	0.2	-64,237.000000
0.186717	0.2	-64,306.000000
0.190050	0.2	-64,404.000000
0.193383	0.2	-64,509.000000
0.196717	0.2	-64,601.000000
0.200050	0.2	-64,658.000000
0.203383	0.2	-64,670.000000
0.206717	0.2	-64,645.000000
0.210050	0.2	-64,606.000000
0.213383	0.2	-64,573.000000
0.216717	0.2	-64,557.000000
0.220050	0.2	-64,563.000000
0.223383	0.2	-64,576.000000
0.226717	0.2	-64,584.000000
0.230050	0.2	-64,583.000000
0.233383	0.2	-64,565.000000
0.236717	0.2	-64,519.000000
0.240050	0.2	-64,450.000000
0.243383	0.2	-64,374.000000
0.246717	0.2	-64,304.000000
0.250050	0.2	-64,243.000000
0.253383	0.2	-64,186.000000
0.256717	0.2	-64,131.000000
0.260050	0.2	-64,086.000000
0.263383	0.2	-64,054.000000
0.266717	0.2	-64,046.000000
0.270050	0.2	-64,079.000000
0.273383	0.2	-64,151.000000
0.276717	0.2	-64,246.000000
0.280050	0.2	-64,343.000000
0.283383	0.2	-64,425.000000
0.286717	0.2	-64,486.000000
0.290050	0.2	-64,520.000000
0.293383	0.2	-64,533.000000
0.296717	0.2	-64,533.000000
0.300050	0.2	-64,524.000000
0.303383	0.2	-64,509.000000
0.306717	0.2	-64,483.000000
0.310050	0.2	-64,446.000000
0.313383	0.2	-64,405.000000
0.316717	0.2	-64,366.000000
0.320050	0.2	-64,329.000000
0.323383	0.2	-64,297.000000
0.326717	0.2	-64,270.000000
0.330050	0.2	-64,257.000000
0.333383	0.2	-64,261.000000
0.336717	0.2	-64,284.000000
0.340050	0.2	-64,320.000000
0.343383	0.2	-64,366.000000
0.346717	0.2	-64,412.000000
0.350050	0.2	-64,451.000000
0.353383	0.2	-64,475.000000
0.356717	0.2	-64,479.000000
0.360050	0.2	-64,472.000000
0.363383	0.2	-64,472.000000
0.366717	0.2	-64,480.000000
0.370050	0.2	-64,486.000000
0.373383	0.2	-64,479.000000
0.376717	0.2	-64,451.000000
0.380050	0.2	-64,398.000000
0.383383	0.2	-64,318.000000
0.386717	0.2	-64,216.000000
0.390050	0.2	-64,103.000000
0.393383	0.2	-63,999.000000
0.396717	0.2	-63,921.000000
0.400050	0.2	-63,875.000000
0.403383	0.2	-63,856.000000
0.406717	0.2	-63,854.000000
0.410050	0.2	-63,862.000000
0.413383	0.2	-63,877.000000
0.416717	0.2	-63,911.000000
0.420050	0.2	-63,976.000000
0.423383	0.2	-64,071.000000
0.426717	0.2	-64,181.000000
0.430050	0.2	-64,294.000000
0.433383	0.2	-64,401.000000
0.436717	0.2	-64,486.000000
0.440050	0.2	-64,538.000000
0.443383	0.2	-64,550.000000
0.446717	0.2	-64,517.000000
0.450050	0.2	-64,442.000000
0.453383	0.2	-64,353.000000
0.456717	0.2	-64,284.000000
0.460050	0.2	-64,252.000000
0.463383	0.2	-64,256.000000
0.466717	0.2	-64,294.000000
0.470050	0.2	-64,355.000000
0.473383	0.2	-64,421.000000
0.476717	0.2	-64,491.000000
0.480050	0.2	-64,568.000000
0.483383	0.2	-64,645.000000
0.486717	0.2	-64,711.000000
0.490050	0.2	-64,754.000000
0.493383	0.2	-64,761.000000
0.496717	0.2	-64,737.000000
0.500050	0.2	-64,689.000000
0.503383	0.2	-64,622.000000
0.506717	0.2	-64,546.000000
0.510050	0.2	-64,480.000000
0.513383	0.2	-64,436.000000
0.516717	0.2	-64,418.000000
0.520050	0.2	-64,428.000000
0.523383	0.2	-64,462.000000
0.526717	0.2	-64,511.000000
0.530050	0.2	-64,563.000000
0.533383	0.2	-64,612.000000
0.536717	0.2	-64,655.000000
0.540050	0.2	-64,686.000000
0.543383	0.2	-64,700.000000
0.546717	0.2	-64,690.000000
0.550050	0.2	-64,643.000000
0.553383	0.2	-64,553.000000
0.556717	0.2	-64,427.000000
0.560050	0.2	-64,285.000000
0.563383	0.2	-64,145.000000
0.566717	0.2	-64,026.000000
0.570050	0.2	-63,938.000000
0.573383	0.2	-63,882.000000
0.576717	0.2	-63,861.000000
0.580050	0.2	-63,871.000000
0.583383	0.2	-63,904.000000
0.586717	0.2	-63,952.000000
0.590050	0.2	-64,011.000000
0.593383	0.2	-64,072.000000
0.596717	0.2	-64,128.000000
0.600050	0.2	-64,169.000000
0.603383	0.2	-64,186.000000
0.606717	0.2	-64,156.000000
0.610050	0.2	-64,049.000000
0.613383	0.2	-63,842.000000
0.616717	0.2	-63,511.000000
0.620050	0.2	-63,055.000000
0.623383	0.2	-62,482.000000
0.626717	0.2	-61,809.000000
0.630050	0.2	-61,055.000000
0.633383	0.2	-60,245.000000
0.636717	0.2	-59,407.000000
