URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.16.26 asgr1 secretion test.seq/560.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.16.26 asgr1 secretion test
Name	asgr liver 5
Number	9
Position	RB2
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/17/2026 6:07:54 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003333
Time Max. (min)	107.503333
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-75,639.000000
Signal Max.	263,985.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003333	n.a.	1,143.000000
0.006667	0.2	1,143.000000
0.010000	0.2	1,143.000000
0.013333	0.2	1,143.000000
0.016667	0.2	1,143.000000
0.020000	0.2	1,143.000000
0.023333	0.2	1,143.000000
0.026667	0.2	1,143.000000
0.030000	0.2	1,143.000000
0.033333	0.2	1,143.000000
0.036667	0.2	-59,032.000000
0.040000	0.2	-59,009.000000
0.043333	0.2	-58,991.000000
0.046667	0.2	-58,998.000000
0.050000	0.2	-59,035.000000
0.053333	0.2	-59,095.000000
0.056667	0.2	-59,170.000000
0.060000	0.2	-59,264.000000
0.063333	0.2	-59,373.000000
0.066667	0.2	-59,492.000000
0.070000	0.2	-59,612.000000
0.073333	0.2	-59,726.000000
0.076667	0.2	-59,833.000000
0.080000	0.2	-59,924.000000
0.083333	0.2	-59,993.000000
0.086667	0.2	-60,039.000000
0.090000	0.2	-60,065.000000
0.093333	0.2	-60,073.000000
0.096667	0.2	-60,056.000000
0.100000	0.2	-60,012.000000
0.103333	0.2	-59,954.000000
0.106667	0.2	-59,918.000000
0.110000	0.2	-59,920.000000
0.113333	0.2	-59,954.000000
0.116667	0.2	-60,001.000000
0.120000	0.2	-60,039.000000
0.123333	0.2	-60,059.000000
0.126667	0.2	-60,065.000000
0.130000	0.2	-60,066.000000
0.133333	0.2	-60,067.000000
0.136667	0.2	-60,072.000000
0.140000	0.2	-60,088.000000
0.143333	0.2	-60,115.000000
0.146667	0.2	-60,142.000000
0.150000	0.2	-60,174.000000
0.153333	0.2	-60,217.000000
0.156667	0.2	-60,264.000000
0.160000	0.2	-60,308.000000
0.163333	0.2	-60,354.000000
0.166667	0.2	-60,402.000000
0.170000	0.2	-60,436.000000
0.173333	0.2	-60,438.000000
0.176667	0.2	-60,405.000000
0.180000	0.2	-60,352.000000
0.183333	0.2	-60,301.000000
0.186667	0.2	-60,274.000000
0.190000	0.2	-60,265.000000
0.193333	0.2	-60,256.000000
0.196667	0.2	-60,245.000000
0.200000	0.2	-60,240.000000
0.203333	0.2	-60,246.000000
0.206667	0.2	-60,268.000000
0.210000	0.2	-60,308.000000
0.213333	0.2	-60,363.000000
0.216667	0.2	-60,435.000000
0.220000	0.2	-60,517.000000
0.223333	0.2	-60,599.000000
0.226667	0.2	-60,668.000000
0.230000	0.2	-60,716.000000
0.233333	0.2	-60,730.000000
0.236667	0.2	-60,702.000000
0.240000	0.2	-60,636.000000
0.243333	0.2	-60,539.000000
0.246667	0.2	-60,423.000000
0.250000	0.2	-60,295.000000
0.253333	0.2	-60,160.000000
0.256667	0.2	-60,036.000000
0.260000	0.2	-59,936.000000
0.263333	0.2	-59,857.000000
