URL	chrom://farber-hplc/test001/Josh/Tabea ASGR/4.22.26 absorption remainder.seq/907.smp/Emission_1.channel/Emission_1.chm
Channel	Emission_1

Injection Information:
Data Vault	test001
Sequence	4.22.26 absorption remainder
Name	asgr liver 8
Number	6
Position	RB6
Comment	
Processing Method	New Processing Method
Instrument Method	MAY14_21_FLD AND CAD
Type	Unknown
Status	Finished
Inject Time	4/23/2026 4:51:42 AM -04:00
Volume (µl)	20.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.003350
Time Max. (min)	107.503350
Data Points	32251
Detector	FLD
Generating Data System	Chromeleon 7.3.0.60919
Exporting Data System	Chromeleon 7.3.0.0
Operator	Instrument Controller
Signal Quantity	
Signal Unit	counts
Signal Min.	-87,632.000000
Signal Max.	700,725.000000
Channel	Emission_1
Driver Name	FLD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	488 nm /520 nm

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.003350	n.a.	2,667.000000
0.006683	0.2	2,667.000000
0.010017	0.2	2,667.000000
0.013350	0.2	2,667.000000
0.016683	0.2	2,667.000000
0.020017	0.2	2,667.000000
0.023350	0.2	2,667.000000
0.026683	0.2	2,667.000000
0.030017	0.2	2,667.000000
0.033350	0.2	2,667.000000
0.036683	0.2	-56,373.000000
0.040017	0.2	-56,458.000000
0.043350	0.2	-56,557.000000
0.046683	0.2	-56,649.000000
0.050017	0.2	-56,719.000000
0.053350	0.2	-56,762.000000
0.056683	0.2	-56,785.000000
0.060017	0.2	-56,809.000000
0.063350	0.2	-56,847.000000
0.066683	0.2	-56,891.000000
0.070017	0.2	-56,936.000000
0.073350	0.2	-56,980.000000
0.076683	0.2	-57,032.000000
0.080017	0.2	-57,095.000000
0.083350	0.2	-57,172.000000
0.086683	0.2	-57,258.000000
0.090017	0.2	-57,345.000000
0.093350	0.2	-57,420.000000
0.096683	0.2	-57,479.000000
0.100017	0.2	-57,511.000000
0.103350	0.2	-57,502.000000
0.106683	0.2	-57,447.000000
0.110017	0.2	-57,363.000000
0.113350	0.2	-57,275.000000
0.116683	0.2	-57,200.000000
0.120017	0.2	-57,150.000000
0.123350	0.2	-57,133.000000
0.126683	0.2	-57,144.000000
0.130017	0.2	-57,164.000000
0.133350	0.2	-57,181.000000
0.136683	0.2	-57,189.000000
0.140017	0.2	-57,192.000000
0.143350	0.2	-57,204.000000
0.146683	0.2	-57,233.000000
0.150017	0.2	-57,286.000000
0.153350	0.2	-57,369.000000
0.156683	0.2	-57,475.000000
0.160017	0.2	-57,589.000000
0.163350	0.2	-57,702.000000
0.166683	0.2	-57,806.000000
0.170017	0.2	-57,892.000000
0.173350	0.2	-57,951.000000
0.176683	0.2	-57,982.000000
0.180017	0.2	-57,997.000000
0.183350	0.2	-57,998.000000
0.186683	0.2	-57,983.000000
0.190017	0.2	-57,957.000000
0.193350	0.2	-57,937.000000
0.196683	0.2	-57,926.000000
0.200017	0.2	-57,929.000000
0.203350	0.2	-57,953.000000
0.206683	0.2	-57,983.000000
0.210017	0.2	-57,999.000000
0.213350	0.2	-57,995.000000
0.216683	0.2	-57,968.000000
0.220017	0.2	-57,926.000000
0.223350	0.2	-57,862.000000
0.226683	0.2	-57,781.000000
0.230017	0.2	-57,698.000000
0.233350	0.2	-57,620.000000
0.236683	0.2	-57,547.000000
0.240017	0.2	-57,484.000000
0.243350	0.2	-57,438.000000
0.246683	0.2	-57,414.000000
0.250017	0.2	-57,425.000000
0.253350	0.2	-57,472.000000
0.256683	0.2	-57,537.000000
0.260017	0.2	-57,603.000000
0.263350	0.2	-57,665.000000
0.266683	0.2	-57,717.000000
0.270017	0.2	-57,753.000000
0.273350	0.2	-57,769.000000
0.276683	0.2	-57,764.000000
0.280017	0.2	-57,743.000000
0.283350	0.2	-57,717.000000
0.286683	0.2	-57,676.000000
0.290017	0.2	-57,617.000000
0.293350	0.2	-57,547.000000
0.296683	0.2	-57,475.000000
0.300017	0.2	-57,413.000000
0.303350	0.2	-57,365.000000
0.306683	0.2	-57,331.000000
0.310017	0.2	-57,307.000000
0.313350	0.2	-57,291.000000
0.316683	0.2	-57,276.000000
0.320017	0.2	-57,256.000000
0.323350	0.2	-57,229.000000
0.326683	0.2	-57,201.000000
0.330017	0.2	-57,172.000000
0.333350	0.2	-57,147.000000
0.336683	0.2	-57,139.000000
0.340017	0.2	-57,151.000000
0.343350	0.2	-57,186.000000
0.346683	0.2	-57,254.000000
0.350017	0.2	-57,349.000000
0.353350	0.2	-57,466.000000
0.356683	0.2	-57,597.000000
0.360017	0.2	-57,729.000000
0.363350	0.2	-57,847.000000
0.366683	0.2	-57,940.000000
0.370017	0.2	-58,006.000000
0.373350	0.2	-58,035.000000
0.376683	0.2	-58,011.000000
0.380017	0.2	-57,937.000000
0.383350	0.2	-57,831.000000
0.386683	0.2	-57,713.000000
0.390017	0.2	-57,601.000000
0.393350	0.2	-57,514.000000
0.396683	0.2	-57,457.000000
0.400017	0.2	-57,423.000000
0.403350	0.2	-57,411.000000
0.406683	0.2	-57,423.000000
0.410017	0.2	-57,448.000000
0.413350	0.2	-57,473.000000
0.416683	0.2	-57,496.000000
0.420017	0.2	-57,521.000000
0.423350	0.2	-57,545.000000
0.426683	0.2	-57,571.000000
0.430017	0.2	-57,613.000000
0.433350	0.2	-57,668.000000
0.436683	0.2	-57,725.000000
0.440017	0.2	-57,775.000000
0.443350	0.2	-57,813.000000
0.446683	0.2	-57,833.000000
0.450017	0.2	-57,837.000000
0.453350	0.2	-57,837.000000
0.456683	0.2	-57,844.000000
0.460017	0.2	-57,863.000000
0.463350	0.2	-57,891.000000
0.466683	0.2	-57,920.000000
0.470017	0.2	-57,942.000000
0.473350	0.2	-57,941.000000
0.476683	0.2	-57,916.000000
0.480017	0.2	-57,873.000000
0.483350	0.2	-57,812.000000
0.486683	0.2	-57,727.000000
0.490017	0.2	-57,623.000000
0.493350	0.2	-57,509.000000
0.496683	0.2	-57,403.000000
0.500017	0.2	-57,314.000000
0.503350	0.2	-57,245.000000
0.506683	0.2	-57,198.000000
0.510017	0.2	-57,166.000000
0.513350	0.2	-57,147.000000
0.516683	0.2	-57,143.000000
0.520017	0.2	-57,154.000000
0.523350	0.2	-57,169.000000
0.526683	0.2	-57,180.000000
0.530017	0.2	-57,186.000000
0.533350	0.2	-57,195.000000
0.536683	0.2	-57,207.000000
0.540017	0.2	-57,231.000000
0.543350	0.2	-57,267.000000
0.546683	0.2	-57,318.000000
0.550017	0.2	-57,378.000000
0.553350	0.2	-57,435.000000
0.556683	0.2	-57,494.000000
0.560017	0.2	-57,547.000000
0.563350	0.2	-57,588.000000
0.566683	0.2	-57,613.000000
0.570017	0.2	-57,628.000000
0.573350	0.2	-57,636.000000
0.576683	0.2	-57,629.000000
0.580017	0.2	-57,592.000000
0.583350	0.2	-57,534.000000
0.586683	0.2	-57,468.000000
0.590017	0.2	-57,398.000000
0.593350	0.2	-57,333.000000
0.596683	0.2	-57,274.000000
0.600017	0.2	-57,217.000000
0.603350	0.2	-57,145.000000
0.606683	0.2	-57,023.000000
0.610017	0.2	-56,790.000000
0.613350	0.2	-56,397.000000
0.616683	0.2	-55,815.000000
0.620017	0.2	-55,025.000000
0.623350	0.2	-54,021.000000
0.626683	0.2	-52,813.000000
0.630017	0.2	-51,449.000000
0.633350	0.2	-49,995.000000
0.636683	0.2	-48,524.000000
0.640017	0.2	-47,111.000000
0.643350	0.2	-45,815.000000
0.646683	0.2	-44,684.000000
0.650017	0.2	-43,747.000000
0.653350	0.2	-43,018.000000
0.656683	0.2	-42,511.000000
0.660017	0.2	-42,230.000000
0.663350	0.2	-42,166.000000
0.666683	0.2	-42,282.000000
0.670017	0.2	-42,502.000000
0.673350	0.2	-42,736.000000
0.676683	0.2	-42,920.000000
0.680017	0.2	-43,019.000000
0.683350	0.2	-43,016.000000
0.686683	0.2	-42,906.000000
0.690017	0.2	-42,697.000000
0.693350	0.2	-42,386.000000
0.696683	0.2	-41,963.000000
0.700017	0.2	-41,422.000000
0.703350	0.2	-40,754.000000
0.706683	0.2	-39,965.000000
0.710017	0.2	-39,074.000000
0.713350	0.2	-38,120.000000
0.716683	0.2	-37,137.000000
0.720017	0.2	-36,148.000000
0.723350	0.2	-35,173.000000
0.726683	0.2	-34,226.000000
0.730017	0.2	-33,322.000000
0.733350	0.2	-32,482.000000
0.736683	0.2	-31,723.000000
0.740017	0.2	-31,052.000000
0.743350	0.2	-30,469.000000
0.746683	0.2	-29,979.000000
0.750017	0.2	-29,599.000000
0.753350	0.2	-29,352.000000
0.756683	0.2	-29,250.000000
0.760017	0.2	-29,290.000000
0.763350	0.2	-29,464.000000
0.766683	0.2	-29,765.000000
0.770017	0.2	-30,178.000000
0.773350	0.2	-30,692.000000
0.776683	0.2	-31,288.000000
0.780017	0.2	-31,949.000000
0.783350	0.2	-32,652.000000
0.786683	0.2	-33,357.000000
0.790017	0.2	-34,025.000000
0.793350	0.2	-34,637.000000
0.796683	0.2	-35,183.000000
0.800017	0.2	-35,666.000000
0.803350	0.2	-36,096.000000
0.806683	0.2	-36,480.000000
0.810017	0.2	-36,825.000000
0.813350	0.2	-37,136.000000
0.816683	0.2	-37,422.000000
0.820017	0.2	-37,692.000000
0.823350	0.2	-37,948.000000
0.826683	0.2	-38,189.000000
